Facility Name,Address,Capacity,County,Phone Number,Licensee,State Facility Type 1 Literal,State Facility Type 2 Literal,City,Zip Code,Date Accessed,State
Open Arms Personal Care Home,1914 SHADY LANE DRIVE,6,Hinds,(601) 715-9911,CAROLYN YARN,PERSONAL CARE HOME,RESIDENTIAL LIVING,Jackson,39209,8/11/21,MS
Paradise Personal Care Home,20114 HIGHWAY 18,5,Claiborne,(601) 535-2495,GLORIA SHOULDERS,PERSONAL CARE HOME,RESIDENTIAL LIVING,Hermanville,39086,8/11/21,MS
Parker'S Personal Care Home,532 EARLE STREET,16,Hinds,(601) 355-2030,RUBY T. PARKER,PERSONAL CARE HOME,RESIDENTIAL LIVING,Jackson,39203,8/11/21,MS
Peachtree Village,6100 OLD BRANDON ROAD,71,Rankin,(601) 933-1100,"SENTRY-BRANDON, INC.",PERSONAL CARE HOME,ASSISTED LIVING,Brandon,39042,8/11/21,MS
Phillips Personal Care Home,1207 SANDLIN ROAD,14,Itawamba,(662) 862-2665,DWIGHT PHILLIPS,PERSONAL CARE HOME,RESIDENTIAL LIVING,Fulton,38843,8/11/21,MS
Plain View Assisted Living,"214 SPELL DRIVE                         (1355 LYNNFIELD ROAD, SUITE 110, MEMPHIS, TN 38119)",55,Rankin,(601) 664-1966,"COUNTRYVIEW PARTNERS, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Richland Ms 39218,39218,8/11/21,MS
Platinum Plus Care 2,617 HIGHWAY 82 WEST                (PO BOX 649),13,Sunflower,(662) 445-2600,MAPLE CAMBELL,PERSONAL CARE HOME,ASSISTED LIVING,Indianola,38751,8/11/21,MS
Pressicare Personal Care Home,20434 OLD HOUSTON ROAD,10,Monroe,(662) 369-0070,CHINA DANETTE JOHNSON,PERSONAL CARE HOME,RESIDENTIAL LIVING,Aberdeen,39730,8/11/21,MS
Providence Pcc Of Grenada,1855 HILL DRIVE,63,Grenada,(662) 226-8556,"PROVIDENCE PCC OF GRENADA 2, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Grenada,38901,8/11/21,MS
Providence Pcc Of Senatobia,700 MOORE’S CROSSING,70,Tate,(662) 562-9229,PROVIDENCE PCC OF SENATOBIA LLC,PERSONAL CARE HOME,ASSISTED LIVING,Senatobia,38668,8/11/21,MS
Providence Personal Care Community,800 3RD STREET,85,Bolivar,(662) 846-6160,"CLEVELAND PERSONAL CARE HOME RESIDENTIAL LIVING, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Cleveland,38732,8/11/21,MS
Provision Living At Hattiesburg,217 METHODIST BOULEVARD,100,Lamar,(601) 329-2030,"PVL TENANT-HATTIESBURG, LLC  ",PERSONAL CARE HOME,ASSISTED LIVING,Hattiesburg,39402,8/11/21,MS
Rest Haven,686 CR 370,15,Clarke,(601) 274-5308,MELVIN L. MONCRIEF,PERSONAL CARE HOME,RESIDENTIAL LIVING,Enterprise,39330,8/11/21,MS
Rest Haven 2,684 CR 370,10,Clarke,(601) 274-2610,MELVIN L. MONCRIEF,PERSONAL CARE HOME,RESIDENTIAL LIVING,Enterprise,39330,8/11/21,MS
Ridgeland Place Assisted Living And Memory Care,"410 ORCHARD PARK                  (17330 PRESTON ROAD, SUITE 240B, DALLAS, TX 75252)",100,Madison,(601) 957-0727,"WELLTOWER PEGASUS TENANT, LLC,",PERSONAL CARE HOME,ASSISTED LIVING,Ridgeland,39157,8/11/21,MS
Riggs Manor Retirement Community,2300 SEVEN SPRINGS ROAD,94,Hinds,(601) 857-5011,UNITED METHODIST SENIOR SERVICES INC.,PERSONAL CARE HOME,ASSISTED LIVING,Raymond,39154,8/11/21,MS
River Birch Estate,606 EAST JACKSON ROAD,21,Newton,(601) 774-9149,ALISA BURKES-MUNN,PERSONAL CARE HOME,RESIDENTIAL LIVING,Union,39365,8/11/21,MS
Riverbirch Residence,2554 MAIN STREET                         (PO BOX 159),30,Lee,(662) 844-3451,ROBERT LEMMONS,PERSONAL CARE HOME,ASSISTED LIVING,Plantersville,38862,8/11/21,MS
Rosewood Tupelo,"2441 MCCOLLOUGH BOULEVARD (1355 LYNNFIELD ROAD, SUITE 110, MEMPHIS, TN 38119)",75,Lee,(662) 844-5856,"ROSEWOOD TUPELO, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Belden,38826,8/11/21,MS
Ruleville Nursing & Rehabilitation Center,800 STANSEL DRIVE                         (PO BOX 368),9,Sunflower,(662) 756-4361,"RULEVILLE NURSING & REHABILITATION CENTER, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Ruleville,38771,8/11/21,MS
Samaritan Garden,2603 SOUTH GLOSTER STREET,28,Lee,(662) 566-9974,MARY E. PULLIAM,PERSONAL CARE HOME,ASSISTED LIVING,Tupelo,38801,8/11/21,MS
"Sanctuary House, Llc","4331 WELCH STREET                       (PO BOX 1161, PASCAGOULA, MS 39568)",10,Jackson,(228) 990-5195,JANE C. HICKSON,PERSONAL CARE HOME,RESIDENTIAL LIVING,Moss Point,39563,8/11/21,MS
Seashore Highlands,12170 HIGHLAND WAY,75,Harrison,(228) 831-7000,"SEASHORE CAMPGROUNDS RETIREMENT HOME, INC.",PERSONAL CARE HOME,ASSISTED LIVING,Gulfport,39503,8/11/21,MS
Seashore Oaks Assisted Living,"1450 BEACH BOULEVARD               (PO BOX 8056, BILOXI, MS 39535)",42,Harrison,(228) 207-5225,"SEASHORE OAKS ASSISTED LIVING, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Biloxi,39530,8/11/21,MS
Seasons,1421-A EAST PEACE STREET          (PO BOX 488),10,Madison,(601) 855-5760,MADISON COUNTY NURSING HOME BOARD OF TRUSTEES,PERSONAL CARE HOME,ASSISTED LIVING,Canton,39046,8/11/21,MS
Seasons Of Columbus,"912 11TH AVENUE SOUTH (PO BOX 1466, COLUMBUS, MS  39703) ",24,Lowndes,(662) 328-4236,COLUMBUS COMMUNITY HOUSING DEVELOPMENT ORGANIZATION,PERSONAL CARE HOME,ASSISTED LIVING,Columbus,39701,8/11/21,MS
"Senior Oaks, Llc",210 ROBERTS AVENUE,11,Harrison,(228) 868-7199,BRENDA CHAPMAN,PERSONAL CARE HOME,RESIDENTIAL LIVING,Long Beach,39560,8/11/21,MS
Serenity Pearl Living Center,340 SYCAMORE ROAD,15,Pearl River,(601) 916-1085,"ROBERT BRIGNAC, JR.",PERSONAL CARE HOME,RESIDENTIAL LIVING,Carriere,39426,8/11/21,MS
"Serenity Personal Care Home And Assisted Living, Llc",31 BRITT ROAD                                  (27 BRITT ROAD),6,Sunflower,(662) 347-9230,ANNIE PIERSON,PERSONAL CARE HOME,ASSISTED LIVING,Indianola,38751,8/11/21,MS
Serenity Springs Personal Care Home,9405 TUCKER ROAD,8,Jackson,(228) 872-3373,NATASHA BARKLEY,PERSONAL CARE HOME,RESIDENTIAL LIVING,Biloxi,39532,8/11/21,MS
Shanell’S Assisted Living,4022 CALIFORNIA AVENUE,15,Hinds,(601) 362-4549,SHANELL'S RESIDENTIAL CARE HOME INC.,PERSONAL CARE HOME,ASSISTED LIVING,Jackson,39213,8/11/21,MS
Shirley’S Personal Care Home,1000 BB KING DRIVE,12,Sunflower,(662) 887-3000,SHIRLEY MONROE,PERSONAL CARE HOME,ASSISTED LIVING,Indianola,38751,8/11/21,MS
Silas Personal Care Home,532 BURNS STREET,16,Hinds,(601) 960-7426,ROBERT SILAS,PERSONAL CARE HOME,ASSISTED LIVING,Jackson,39203,8/11/21,MS
Silvercreek Retirement Communities,6630 CRUMPLER BOULEVARD,118,Desoto,(662) 895-8952,"SILVERCREEK RETIREMENT COMMUNITIES, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Olive Branch,38654,8/11/21,MS
"Sincere Home Care, Llc",5911 HOLMES COURT,40,Hinds,(601) 321-9653,DEBORAH WRIGHT,PERSONAL CARE HOME,ASSISTED LIVING,Jackson,39213,8/11/21,MS
Smith Manor,15255 HWY 613,15,George,(601) 947-7796,AMY BOUNDS,PERSONAL CARE HOME,RESIDENTIAL LIVING,Lucedale,39452,8/11/21,MS
Southern Living Specialty Care,511 GRAY DRIVE,25,Wayne,(601) 735-0120,ROBERT STAN TRIGG,PERSONAL CARE HOME,RESIDENTIAL LIVING,Waynesboro,39367,8/11/21,MS
Southern Magnolia Golden,"267 FRONT STREET                       (1355 LYNNFIELD ROAD, SUITE 110, MEMPHIS, TN 38119)",42,Tishomingo,(662) 454-0544,"SME II-BELMONT/GOLDEN, LLC",PERSONAL CARE HOME,RESIDENTIAL LIVING,Golden,38847,8/11/21,MS
Southern Magnolia Iuka I,"1308 NORTH PEARL STREET        (1355 LYNNFIELD ROAD, SUITE 110, MEMPHIS, TN 38119)",37,Tishomingo,(662) 424-0023,"SME I-IUKA, LLC",PERSONAL CARE HOME,RESIDENTIAL LIVING,Iuka,38852,8/11/21,MS
Southern Magnolia Iuka Ii,"1309 NORTH PEARL STREET        (1355 LYNNFIELD ROAD, SUITE 110, MEMPHIS, TN 38119)",18,Tishomingo,(662) 424-0023,"SME I-IUKA, LLC",PERSONAL CARE HOME,RESIDENTIAL LIVING,Iuka,38852,8/11/21,MS
"Sparrow Hills, Inc.",4285 BEAVER DAM ROAD,26,George,(601) 766-9106,TODD & VALERIE TANNER,PERSONAL CARE HOME,RESIDENTIAL LIVING,Lucedale,39452,8/11/21,MS
St. Catherine’S Village/Campbell Cove,200 DOMINICAN DRIVE,60,Madison,(601) 856-0100,CLAUDE W. HARBARGER,PERSONAL CARE HOME,ASSISTED LIVING,Madison,39110,8/11/21,MS
St. Catherine'S Village/Marian Hall,200 DOMINICAN DRIVE,60,Madison,(601) 856-0100,CLAUDE W. HARBARGER,PERSONAL CARE HOME,ASSISTED LIVING,Madison,39110,8/11/21,MS
St. David’S Personal Care Home,"714 ROSE STREET                            (PO BOX 6712, JACKSON, MS 39282)",8,Hinds,(601) 354-0690,JOYCE MORGAN,PERSONAL CARE HOME,RESIDENTIAL LIVING,Jackson,39203,8/11/21,MS
St. Oaks Care Center,83 WHITE CHAPEL ROAD,30,Pearl River,(769) 926-2596,"RICHARD HECK, JR.",PERSONAL CARE HOME,RESIDENTIAL LIVING,Carriere,39426,8/11/21,MS
Stoneridge Of Farmington,15 CR 106,30,Alcorn,(662) 594-8455,"STONERIDGE OF FARMINGTON, INC.",PERSONAL CARE HOME,ASSISTED LIVING,Corinth,38834,8/11/21,MS
Strong River Villa,2994 HIGHWAY 13                       (160 FAITH LANE),24,Simpson,(601) 214-8296,C. FAITH KENNEDY,PERSONAL CARE HOME,ASSISTED LIVING,Mendenhall,39114,8/11/21,MS
Summerfield Senior Living,14744 NORTH SWAN ROAD,92,Harrison,(228) 678-1100,"SUMMERFIELD SENIOR LIVING OF GULFPORT, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Gulfport,39503,8/11/21,MS
Summerland Manor,12 SUMMERLAND ROAD                (PO BOX 527),48,Jasper,(601) 764-2130,JAMES KNOTTS,PERSONAL CARE HOME,ASSISTED LIVING,Bay Springs,39422,8/11/21,MS
Sunset Residential Center,20114-B HIGHWAY 18,15,Claiborne,(601) 535-2495,GLORIA J SHOULDERS ,PERSONAL CARE HOME,RESIDENTIAL LIVING,Hermanville,39086,8/11/21,MS
The Arrington,234 WINDSOR BOULEVARD,70,Lowndes,(662) 241-0001,"THE ARRINGTON, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Columbus,39702,8/11/21,MS
The Aspen Of Brookhaven,"500 SILVER CROSS DRIVE                 (PO BOX 1490, MAGEE, MS 39111)",48,Lincoln,(769) 300-5380,"THE ASPEN OF BROOKHAVEN, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Brookhaven,39601,8/11/21,MS
The Blake At Biloxi,1651 POPP'S FERRY ROAD,40,Harrison,(228) 354-8100,"THE BLAKE AT BILOXI SERVICES, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Biloxi,39532,8/11/21,MS
The Blake At Flowood,"350 TOWN CENTER WAY, SUITE A",130,Rankin,(601) 345-2202,"DOGWOOD SENIOR CARE, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Flowood,39232,8/11/21,MS
The Blake At Oxford,110 ED PERRY BOULEVARD,115,Lafayette,(662) 234-5050,"THE BLAKE AT OXFORD, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Oxford,38655,8/11/21,MS
The Blake At Township,608 STEED ROAD,115,Madison,(601) 607-1200,"COLONY PARK SENIOR CARE, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Ridgeland,39157,8/11/21,MS
The Claiborne At Adelaide,74 CLAIBORNE WAY,77,Oktibbeha,(662) 268-9555,WAYPOINT ADELAIDE SR OWNER LLC,PERSONAL CARE HOME,ASSISTED LIVING,Starkville,39759,8/11/21,MS
The Claiborne At Hattiesburg,200 WHISPERING PINES BOULEVARD,80,Forrest,(601) 909-2385,"WHISPERING PINES ALF, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Hattiesburg,39401,8/11/21,MS
The Claiborne At Mccomb,209 DOUG RUSHING DRIVE,82,Pike,(601) 324-5511,"THE CLAIBORNE AT MCCOMB, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Mccomb,39648,8/11/21,MS
The Fiser Spradling House,1251 LEE DRIVE,15,Coahoma,(662) 627-2222,"UNITED METHODIST SR. SERVICES CLARKSDALE AREA, INC.",PERSONAL CARE HOME,RESIDENTIAL LIVING,Clarksdale,38614,8/11/21,MS
The Goldton At Southaven,2782 STAR LANDING ROAD EAST,101,Desoto,(662) 913-7900,"SHAVEN 1818 ALF, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Southaven,38672,8/11/21,MS
The Grove,11 PECAN DRIVE,8,Marion,(601) 736-4747,2ND GENERATION HEALTHCARE LLC,PERSONAL CARE HOME,ASSISTED LIVING,Columbia,39429,8/11/21,MS
The Landmark Community,701 WEST CHURCH STREET,40,Prentiss,(662) 728-3539,TRAVIS CHILDERS,PERSONAL CARE HOME,RESIDENTIAL LIVING,Booneville,38829,8/11/21,MS
The Orchard,600 SOUTH PEAR ORCHARD ROAD,104,Madison,(601) 856-2205,"JACKSON METRO, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Ridgeland,39157,8/11/21,MS
The Pinnacle Of Greenville,1880 FAIRGROUNDS ROAD,55,Washington,(662) 334-4646,GREENVILLE ASSISTED LIVING LLC,PERSONAL CARE HOME,ASSISTED LIVING,Greenville,38703,8/11/21,MS
The Pinnacle Of Oxford,"1488 BELK BOULEVARD            (14005 OUTLOOK STREET, OVERLAND, KS 66223)",55,Lafayette,(662) 234-8244,"MFF OXFORD, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Oxford,38655,8/11/21,MS
The Pinnacle Of Southaven,"108 CLARINGTON AVENUE       (14005 OUTLOOK STREET, OVERLAND, KS 66223)",65,Desoto,(662) 349-9043,"MFF SOUTHAVEN, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Southaven,38671,8/11/21,MS
The Quarters,585 BEASLEY ROAD,68,Hinds,(601) 914-9422,CARNELL KITCHENS,PERSONAL CARE HOME,ASSISTED LIVING,Jackson,39206,8/11/21,MS
The Sunshine Inn,1645 HWY 178                               (PO BOX 378),20,Union,(662) 988-3959,MICHAEL HALE,PERSONAL CARE HOME,ASSISTED LIVING,Myrtle,38650,8/11/21,MS
Timeless Grace,424 JAKE SMITH ROAD,15,Pearl River,(601) 799-1600,REBECCA WELCH,PERSONAL CARE HOME,RESIDENTIAL LIVING,Carriere,39426,8/11/21,MS
Tomorrow'S Promise,945 WEST DRIVE,47,Jones,(601) 342-2470,SHEILA MACK,PERSONAL CARE HOME,RESIDENTIAL LIVING,Laurel,39440,8/11/21,MS
Trinity Place Personal Care,250 AIRLINE ROAD,62,Lowndes,(662) 327-6795,"UNITED METHODIST SENIOR SERVICES OF GOLDEN TRIANGLE AREA, INC.",PERSONAL CARE HOME,ASSISTED LIVING,Columbus,39702,8/11/21,MS
"Truewood By Merrill, Ocean Springs","1260 OCEAN SPRINGS ROAD     (1938 FAIRVIEW AVENUE EAST, SUITE 300, SEATTLE, WA 98102)",72,Jackson,(228) 382-1761,"MG OCEAN SPRINGS SUBTENANT, LLC",PERSONAL CARE HOME,RESIDENTIAL LIVING,Ocean Springs,39564,8/11/21,MS
Utopia Assisted Living,"3811 WEST NORTHSIDE DRIVE      (PO BOX 11503, JACKSON, MS 39283)",20,Hinds,(769) 572-7242,PATRICIA MAGEE ,PERSONAL CARE HOME,ASSISTED LIVING,Jackson,39209,8/11/21,MS
Vickers Personal Care Home,238 SPRING VALLEY ROAD,14,Webster,(662) 263-4685,RHEA DAWN VICKERS,PERSONAL CARE HOME,RESIDENTIAL LIVING,Mathiston,39752,8/11/21,MS
Villa South Assisted Living,271 COLLEGE STREET                       (PO BOX 709),50,Rankin,(601) 845-1888,"VILLA SOUTH, INC.",PERSONAL CARE HOME,ASSISTED LIVING,Florence,39073,8/11/21,MS
Waverly Care Home,377 WEST BROAD STREET                   (PO BOX 797),21,Clay,(662) 494-0074,ROBIN B. FOSTER,PERSONAL CARE HOME,RESIDENTIAL LIVING,West Point,39773,8/11/21,MS
Wesley Meadows Personal Care/Assisted Living,1325 MCINGVALE ROAD                 (PO BOX 487),101,Desoto,(662) 429-2070,"METHODIST SENIOR SERVICES OF DESOTO COUNTY, INC.",PERSONAL CARE HOME,ASSISTED LIVING,Hernando,38632,8/11/21,MS
Westhaven Residential Facility,1625 WESTHAVEN BOULEVARD,12,Hinds,(601) 487-8875,DORA JONES,PERSONAL CARE HOME,RESIDENTIAL LIVING,Jackson,39209,8/11/21,MS
Willard F. Bond Home,"7521 OLD CANTON ROAD              (PO BOX 720, MADISON, MS 39130)",40,Madison,(601) 856-8041,STEVE RIMMER,PERSONAL CARE HOME,RESIDENTIAL LIVING,Madison,39110,8/11/21,MS
Wisteria Gardens,5420 HIGHWAY 80 EAST,6,Rankin,(601) 988-6800,"WISTERIA GARDENS, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Pearl,39208,8/11/21,MS
Wisteria Manor,421 CR 280,30,Clarke,(601) 776-0426,DOROTHY CRANE,PERSONAL CARE HOME,RESIDENTIAL LIVING,Shubuta,39360,8/11/21,MS
Woodland Court Personal Care Home,260 NORTHSIDE DRIVE,41,Newton,(601) 683-2330,CHARLES NORMAN RAWSON,PERSONAL CARE HOME,RESIDENTIAL LIVING,Newton,39345,8/11/21,MS
