Facility Name,Assisted Living,Address,Location,Capacity,County,Phone Number,Licensee
The Quarters,X,585 Beasley Road,"Jackson, MS 39206",68,Hinds,(601) 914-9422,Carnell Kitchens
The Sunshine Inn,X,1645 Hwy 178                               (PO Box 378),"Myrtle, MS 38650",20,Union,(662) 988-3959,Michael Hale
Timeless Grace,,424 Jake Smith Road,"Carriere, MS 39426",15,Pearl River,(601) 799-1600,Rebecca Welch
Tomorrow's Promise,,945 West Drive,"Laurel, MS 39440",47,Jones,(601) 342-2470,Sheila Mack
Trinity Place Personal Care,X,250 Airline Road,"Columbus, MS 39702",62,Lowndes,(662) 327-6795,"United Methodist Senior Services of Golden Triangle Area, Inc."
"Truewood by Merrill, Ocean Springs",,"1260 Ocean Springs Road     (1938 Fairview Avenue East, Suite 300, Seattle, WA 98102)","Ocean Springs, MS 39564",72,Jackson,(228) 382-1761,"MG Ocean Springs Subtenant, LLC"
Utopia Assisted Living,X,"3811 West Northside Drive      (PO Box 11503, Jackson, MS 39283)","Jackson, MS 39209",20,Hinds,(769) 572-7242,Patricia Magee 
Vickers Personal Care Home,,238 Spring Valley Road,"Mathiston, MS 39752",14,Webster,(662) 263-4685,Rhea Dawn Vickers
Villa South Assisted Living,X,271 College Street                       (PO Box 709),"Florence, MS 39073",50,Rankin,(601) 845-1888,"Villa South, Inc."
Waverly Care Home,,377 West Broad Street                   (PO Box 797),"West Point, MS 39773",21,Clay,(662) 494-0074,Robin B. Foster
Wesley Meadows Personal Care/Assisted Living,X,1325 McIngvale Road                 (PO Box 487),"Hernando, MS 38632",101,DeSoto,(662) 429-2070,"Methodist Senior Services of DeSoto County, Inc."
Westhaven Residential Facility,,1625 Westhaven Boulevard,"Jackson, MS 39209",12,Hinds,(601) 487-8875,Dora Jones
Willard F. Bond Home,,"7521 Old Canton Road              (PO Box 720, Madison, MS 39130)","Madison, MS 39110",40,Madison,(601) 856-8041,Steve Rimmer
Wisteria Gardens,X,5420 Highway 80 East,"Pearl, MS 39208",6,Rankin,(601) 988-6800,"Wisteria Gardens, LLC"
Wisteria Manor,,421 CR 280,"Shubuta, MS 39360",30,Clarke,(601) 776-0426,Dorothy Crane
Woodland Court Personal Care Home,,260 Northside Drive,"Newton, MS 39345",41,Newton,(601) 683-2330,Charles Norman Rawson
