Facility Name,Facility ID,License Number,Phone Number,Email Address,Address,City,State,Zip Code,County,Capacity,Licensee,State Facility Type 1 Literal
CHAPEL GROVE INN THE,OHL50121,2387R,7405224663,amy@chapelgroveinn.com,1400 CHAPEL WAY,HEATH,OH,43056,LICKING,120,"CHAPEL GROVE MANAGEMENT COMPANY, LTD",Residential Care Facility
CHAPEL HILL COMMUNITY,OHL500108,1180R,3308544177,ddurbin@uchinc.org,"12200 STRAUSSER STREET, NORTHWEST",CANAL FULTON,OH,44614,STARK,44,"UNITED CHURCH HOME, INC.",Residential Care Facility
CHARTER SENIOR LIVING OF OAK OPENINGS,OHL42153,2841R,4198820029,kelleys@charterseniorliving.com,6805 SYLVANIA AVENUE,SYLVANIA,OH,43560,LUCAS,88,"EBS SYLVANIA, LLC",Residential Care Facility
CHELSEA PLACE CARE LTD,OHL40423,2245R,5138134259,bwenning@hillandale.com,8073 TYLERSVILLE ROAD,WEST CHESTER,OH,45069,BUTLER,18,DIXON FAMILY OPERATIONS,Residential Care Facility
CHELSEA PLACE CARE LTD,OHL40423,2245R,5138134259,bwenning@hillandale.com,8073 TYLERSVILLE ROAD,WEST CHESTER,OH,45069,BUTLER,18,CHELSEA PLACE CARE LTD.,Residential Care Facility
CHERRY BLOSSOM SENIOR LIVING,OHL42198,2863R,6145307726,exd@cherryblossomseniorliving.com,79 BLOSSOM FIELD BLVD,COLUMBUS,OH,43213,FRANKLIN,150,,Residential Care Facility
CHESTNUT HILL SENIOR LIVING,OHL00989,2017R,6148553700,mwatson@chestnuthillseniorliving.com,5055 THOMPSON ROAD,COLUMBUS,OH,43230,FRANKLIN,125,"ARROW SENIOR LIVING COLUMBUS, LLC",Residential Care Facility
CHESTNUT HILL SENIOR LIVING,OHL00989,2017R,6148553700,mwatson@chestnuthillseniorliving.com,5055 THOMPSON ROAD,COLUMBUS,OH,43230,FRANKLIN,125,"SUMMERVILLE AT CHESTNUT HILL, LLC",Residential Care Facility
CHRISTIAN HOUSE,OHL41988,2759R,3308860386,bdavis@achristianhouse.com,82 GARFIELD AVENUE,EAST PALESTINE,OH,44413,COLUMBIANA,49,"CHRISTIAN HOUSE, LLC",Residential Care Facility
CLAREMONT RETIREMENT VILLAGE,OHL41700,2631R,6147612011,leann@crvillage.com,7041 BENT TREE BLVD,COLUMBUS,OH,43235,FRANKLIN,57,CLAREMONT RETIREMENT VILLAGE LP,Residential Care Facility
CLAREMONT RETIREMENT VILLAGE,OHL41700,2631R,6147612011,leann@crvillage.com,7041 BENT TREE BLVD,COLUMBUS,OH,43235,FRANKLIN,57,"CLAREMONT PARTNERS, LP",Residential Care Facility
CLARK MEMORIAL HOME,OHL01612,1113R,9373994262,clarkmemorial@att.net,106 KEWBURY ROAD,SPRINGFIELD,OH,45504,CLARK,20,CLARK MEMORIAL HOME ASSOCIATION,Residential Care Facility
CLAY GARDENS PLACE,OHL01489,2160R,7404502744,sfriece@enlivant.com,3784 FRAZEYSBURG ROAD,ZANESVILLE,OH,43701,MUSKINGUM,65,CLAY AID OPCO LLC,Residential Care Facility
CLEARVIEW LANTERN SUITES,OHL00356,2096R,3308476800,lkovarik@keystonesenior.com,596 CHAMPION AVENUE WEST,WARREN,OH,44483,TRUMBULL,73,"KSMS CLEARVIEW LANTERN, LLC",Residential Care Facility
CLEARVIEW LANTERN SUITES,OHL00356,2096R,3308476800,lkovarik@keystonesenior.com,596 CHAMPION AVENUE WEST,WARREN,OH,44483,TRUMBULL,73,"TERRE FORME ENTERPRISES, INC.",Residential Care Facility
"CLOSE TO HOME II, LLC",OHL40492,2445R,5134230111,skhartwig@yahoo.com,3712 ROOSEVELT BLVD,MIDDLETOWN,OH,45042,BUTLER,36,CLOSE TO HOME II LLC,Residential Care Facility
"CLOSE TO HOME II, LLC",OHL40492,2445R,5134230111,skhartwig@yahoo.com,3712 ROOSEVELT BLVD,MIDDLETOWN,OH,45042,BUTLER,36,SHARON HARTWIG,Residential Care Facility
"CLOSE TO HOME III, LLC",OHL41465,2581R,7405341100,skhartwig@yahoo.com,617 CENTER ST,IRONTON,OH,45638,LAWRENCE,45,"CLOSE TO  HOME III, LLC",Residential Care Facility
"CLOSE TO HOME, INC",OHL41862,2697R,7405342143,skhartwig@yahoo.com,503 VERNON STREET,IRONTON,OH,45638,LAWRENCE,25,"CLOSE TO HOME, INC.",Residential Care Facility
"CLOSE TO HOME, IV ASSISTED LIVING, INC",OHL42112,2817R,5137576047,skhartwig@yahoo.com,12681 US 62,SARDINIA,OH,45171,BROWN,67,"CLOSE TO HOME, IV ASSISTED LIVING, INC",Residential Care Facility
"CLOSE TO HOME, V INC",OHL41807,2673R,7406983631,skhartwwig@yahoo.com,5176 WASHINTON ROAD,ALBANY,OH,45710,ATHENS,22,"CLOSE TO HOME, V INC.",Residential Care Facility
CLYDE GARDENS PLACE,OHL00677,1715R,4195477746,rweiker@enlivant.com,700 COULSON STREET,CLYDE,OH,43410,SANDUSKY,40,GARDENS AT CLYDE AID OPCO LLC,Residential Care Facility
COLONIAL NURSING CENTER OF ROCKFORD,OHL40044,2358R,4193632193,rcordonnier@hillstonehc.com,201 BUCKEYE STREET,ROCKFORD,OH,45882,MERCER,15,COLONIAL HEALTHCARE LLC,Residential Care Facility
COLONIES AT WINDSOR MEDICAL CE,OHL01490,0166R,3304998300,trswallen@aol.com,1454 EASTON STREET N.W.,NORTH CANTON,OH,44720,STARK,100,THOMAS R SWALLEN,Residential Care Facility
COMMONS OF PROVIDENCE SPECIALIZED ASSISTED LIVING,OHL32939,2310R,4196241171,samison@chilivingcomm.org,4901 PROVIDENCE DRIVE,SANDUSKY,OH,44870,ERIE,60,FRANCISCAN SERVICES CORPORATION,Residential Care Facility
COMMONS OF PROVIDENCE THE,OHL00850,2137R,4196241171,samison@chilivingcomm.org,5000 PROVIDENCE DRIVE,SANDUSKY,OH,44870,ERIE,112,PROVIDENCE CARE CENTER,Residential Care Facility
COMMONS OF PROVIDENCE THE,OHL00850,2137R,4196241171,samison@chilivingcomm.org,5000 PROVIDENCE DRIVE,SANDUSKY,OH,44870,ERIE,112,SPECIALIZED ASSISTED LIVING,Residential Care Facility
COMMONS OF PROVIDENCE THE,OHL00850,2137R,4196241171,samison@chilivingcomm.org,5000 PROVIDENCE DRIVE,SANDUSKY,OH,44870,ERIE,112,SISTERS OF ST FRANCIS,Residential Care Facility
COMMUNITY COMMONS,OHL50043,2382R,3303943037,rreynolds@communityskilled.com,1340 MAHONING AVENUE NW,WARREN,OH,44483,TRUMBULL,44,COMMUNITY SKILLED HEALTH CARE CENTRE,Residential Care Facility
CONARD HOUSE ASSISTED LIVING,OHL03233,2312R,4197745160,timhoff@mansfieldmh.com,71 BLYMYER AVENUE,MANSFIELD,OH,44903,RICHLAND,25,"MANSFIELD MEMORIAL HOMES, INC.",Residential Care Facility
CONCORD RESERVE (PARAGON BUILDING),OHL41073,0442R,4408710090,bruce.mcnabb@lec.org,2116 DOVER CENTER ROAD,WESTLAKE,OH,44145,CUYAHOGA,43,LUTHERAN HOME,Residential Care Facility
CONCORDIA AT SUMNER,OHL32961,2389R,3306641000,snedolast@concordiaatsumner.org,970 SUMNER PARKWAY,COPLEY,OH,44321,SUMMIT,44,CONCORDIA OF OHIO,Residential Care Facility
CONCORDIA AT SUMNER,OHL42185,2857R,3306641337,edorland@concordiaatsumner.org,855 SUMNER PARKWAY,COPLEY,OH,44321,SUMMIT,245,CONCORDIA OF OHIO,Residential Care Facility
CONTINUING HEALTHCARE AT STERLING SUITES,OHL42285,2602R,7404522087,bparsons@continuinghc.com,1126 ADAIR ROAD,ZANESVILLE,OH,43701,MUSKINGUM,38,"CONTINUING HEALTHCARE STERLING SUITES, LLC",Residential Care Facility
CONTINUING HEALTHCARE BEACON HOUSE,OHL01346,1864R,2167723192,bparsons@continuinghc.com,100 RESERVOIR ROAD,SAINT CLAIRSVILLE,OH,43950,BELMONT,62,ZANDEX HEALTH CARE CORPORATION,Residential Care Facility
CONTINUING HEALTHCARE BEACON HOUSE,OHL01346,1864R,2167723192,bparsons@continuinghc.com,100 RESERVOIR ROAD,SAINT CLAIRSVILLE,OH,43950,BELMONT,62,"CONTINUING HEALTHCARE BEACON HOUSE, LLC",Residential Care Facility
CONVALARIUM AT INDIAN RUN THE,OHL00978,1900R,6147611188,sandy.st.clair@amfincorp.com,6430 POST ROAD,DUBLIN,OH,43017,FRANKLIN,8,"HEALTHCARE VENTURES OF OHIO, LLC",Residential Care Facility
CONVALARIUM AT INDIAN RUN THE,OHL00978,1900R,6147611188,sandy.st.clair@amfincorp.com,6430 POST ROAD,DUBLIN,OH,43017,FRANKLIN,8,"DUBLIN CONVALARIUM OPERATING COMPANY, LLC",Residential Care Facility
COPELAND OAKS REST HOME,OHL00040,1747R,3309386126,randi@copelandoaksinc.com,800 SOUTH 15TH STREET,SEBRING,OH,44672,MAHONING,211,COPELAND OAKS,Residential Care Facility
COTTAGE AT WEXNER HERITAGE VILLAGE THE,OHL41583,0967R,6145595500,kfullerton@whv.org,1149 COLLEGE AVENUE,COLUMBUS,OH,43209,FRANKLIN,20,CREEKSIDE AT THE VILLAGE,Residential Care Facility
"COTTAGES OF CLAYTON, INC  THE",OHL40807,2490R,9372473202,mmohr@thecottagesofclayton.com,8212 NORTH MAIN STREET,DAYTON,OH,45415,MONTGOMERY,114,"COTTAGES OF CLAYTON, INC. THE",Residential Care Facility
COTTINGHAM RETIREMENT COMMUNITY,OHL01626,1792R,5135633600,sowens@cottinghamcare.com,3995 COTTINGHAM DRIVE,CINCINNATI,OH,45241,HAMILTON,141,"DEACONESS LONG TERM CARE, INC.",Residential Care Facility
COTTINGHAM RETIREMENT COMMUNITY,OHL01626,1792R,5135633600,sowens@cottinghamcare.com,3995 COTTINGHAM DRIVE,CINCINNATI,OH,45241,HAMILTON,141,"COTTINGHAM OPERATIONS, LLC",Residential Care Facility
COUNTRY CLUB CENTER II,OHL00971,1690R,7403972350,thead@ccrcii.com,1350 YAUGER ROAD,MOUNT VERNON,OH,43050,KNOX,58,"MOUNT VERNON ELDERLY SERVICES, INC.",Residential Care Facility
COUNTRY CLUB CENTER II,OHL00971,1690R,7403972350,thead@ccrcii.com,1350 YAUGER ROAD,MOUNT VERNON,OH,43050,KNOX,58,"MOUNT VERNON HOUSING, LTD",Residential Care Facility
"COUNTRY CLUB CENTER/HOMES, INC",OHL01491,1601R,3303435568,administrator@ccrc1.com,860 IRON AVENUE,DOVER,OH,44622,TUSCARAWAS,169,"COUNTRY CLUB CENTER/HOMES, INC",Residential Care Facility
COUNTRY CLUB RETIREMENT CENTER,OHL01345,1858R,7406762300,administrator@ccrciv.com,55801 CONNO-MARA DRIVE,BELLAIRE,OH,43906,BELMONT,74,"COUNTRY CLUB RETIREMENT CENTER IV, INC.",Residential Care Facility
COUNTRY CLUB RETIREMENT CENTER III,OHL00042,1794R,4409920022,officemanager@ccrciii.com,925 EAST 26TH STREET,ASHTABULA,OH,44004,ASHTABULA,67,"COUNTRY CLUB RETIREMENT CENTER, INC.",Residential Care Facility
COUNTRY CLUB RETIREMENT CENTER III,OHL00042,1794R,4409920022,officemanager@ccrciii.com,925 EAST 26TH STREET,ASHTABULA,OH,44004,ASHTABULA,67,COUNTRY CLUB RETIREMENT CENTER II,Residential Care Facility
COUNTRY CLUB RETIREMENT CENTER III,OHL00042,1794R,4409920022,officemanager@ccrciii.com,925 EAST 26TH STREET,ASHTABULA,OH,44004,ASHTABULA,67,COUNTRY CLUB RETIREMENT CENTER I,Residential Care Facility
COUNTRY INN ENHANCED LIVING CENTER,OHL32982,2398R,4193992345,msinn4699@hotmail.com,12651 ROAD 82,PAULDING,OH,45879,PAULDING,48,APOSTOLIC CHRISTIAN COUNTRY VILLA,Residential Care Facility
COUNTRY LIVING,OHL39995,2339R,7408586327,ssu54@yahoo.com,13028 W US HIGHWAY 52,PORTSMOUTH,OH,45663,SCIOTO,42,REBECCA & JAMES MONTLER,Residential Care Facility
COUNTRYSIDE AT THE ELMWOOD,OHL41772,2662R,3305688127,jsee@chcccompanies.com,871 ELMWOOD DRIVE,HUBBARD,OH,44425,TRUMBULL,136,"ELMWOOD ASSISTED LIVING, LLC",Residential Care Facility
COURT HOUSE MANOR,OHL42125,2601R,7403359290,administrator@courthousemanor.com,555 NORTH GLENN AVENUE,WASHINGTON COURT HOU,OH,43160,FAYETTE,48,"HCF OF WASHINGTON, INC.",Residential Care Facility
COURTYARD AT SEASONS,OHL01916,1888R,5139849400,ncarson@seniorlifestyle.com,7100 DEARWESTER DRIVE,CINCINNATI,OH,45236,HAMILTON,166,"GA HC REIT II SEASONS TRS SUB, LLC",Residential Care Facility
CREEKSIDE AT THE VILLAGE,OHL40343,2432R,6145595500,bweinschneider@whv.org,2200 WELCOME PLACE,COLUMBUS,OH,43209,FRANKLIN,138,CREEKSIDE AT THE VILLAGE,Residential Care Facility
CROSSROADS AT BEAVER CREEK INC,OHL40763,2485R,3303582211,info@crossroadsal.com,13280 ECHO DELL ROAD,EAST LIVERPOOL,OH,43920,COLUMBIANA,110,"CROSSROADS AT BEAVER CREEK, INC.",Residential Care Facility
CROWN CENTER AT LAUREL LAKE,OHL00053,1903R,3306551753,tarmagno@laurellake.org,200 LAUREL LAKE DRIVE,HUDSON,OH,44236,SUMMIT,67,CATHOLIC HEALTHCARE PARTNERS,Residential Care Facility
CROWN CENTER AT LAUREL LAKE,OHL00053,1903R,3306551753,tarmagno@laurellake.org,200 LAUREL LAKE DRIVE,HUDSON,OH,44236,SUMMIT,67,"LAUREL LAKE RETIREMENT COMMUNITY, INC.",Residential Care Facility
CYPRESS POINTE HEALTH CAMPUS,OHL41364,2561R,9378363149,tony.valentine@cypresspointehs.com,600 WEST NATIONAL ROAD,ENGLEWOOD,OH,45322,MONTGOMERY,58,"TRILOGY HEALTHCARE OF MONTGOMERY, LLC",Residential Care Facility
"DANBURY AT CARRIAGE TRAILS, LLC",OHL42105,2813R,9372151851,dbossart@danburyseniorliving.com,8001 RED BUCKEYE DRIVE,TIPP CITY,OH,45371,MIAMI,133,"BROOKWOOD MANAGEMENT COMPANY, LLC",Residential Care Facility
DANBURY MILLERSBURG,OHL42323,2920R,3304137166,ddavis@danburyseniorliving.com,4245 GLEN DRIVE,MILLERSBURG,OH,44654,HOLMES,115,"BROOKWOOD MANAGEMENT COMPANY, LLC",Residential Care Facility
DANBURY OF BRUNSWICK,OHL42075,2798R,3304604244,phaney@danburyseniorliving.com,3430 BRUNSWICK LAKE PARKWAY,BRUNSWICK,OH,44212,MEDINA,133,"BROOKWOOD MANAGEMENT COMPANY, LLC",Residential Care Facility
DANBURY OF NORTH RIDGEVILLE,OHL42245,2883R,4405963797,msosinski@danburyseniorliving.com,33770 BAGLEY ROAD,NORTH RIDGEVILLE,OH,44039,LORAIN,144,"BROOKWOOD MANAGEMENT COMPANY, LLC",Residential Care Facility
DANBURY SENIOR LIVING,OHL41854,2691R,6143390459,ccrossetti@danburyseniorliving.com,2870 SNOUFFER ROAD,COLUMBUS,OH,43235,FRANKLIN,133,"AUTUMN CHASE COLUMBUS NORTH, LTD",Residential Care Facility
DANBURY SENIOR LIVING BROADVIEW HEIGHTS,OHL41913,2723R,4405963047,kaneshansel@danburyseniorliving.com,9500 BROADVIEW ROAD,BROADVIEW HEIGHTS,OH,44147,CUYAHOGA,171,"BROADVIEW HEIGHTS SENIOR LIVING, LLC",Residential Care Facility
DANBURY SENIOR LIVING MASSILLON,OHL41957,2742R,3308337229,nhively@danburyseniorliving.com,2550 UNIVERSITY DRIVE SE,MASSILLON,OH,44646,STARK,138,"MASSILLON SENIOR LIVING, LTD",Residential Care Facility
DANBURY WOODS,OHL41648,2615R,3309403000,amoore@damburyseniorliving.com,1691 QUEENS GATE CIRCLE,CUYAHOGA FALLS,OH,44221,SUMMIT,46,DANBURY WOODS LTD,Residential Care Facility
"DANBURY WOODS AT GREENFIELD CROSSING, LLC",OHL41766,2660R,3302640355,lhess@danburyseniorliving.com,939 PORTAGE ROAD,WOOSTER,OH,44691,WAYNE,126,"DANBURY WOODS AT GREENFIELD CROSSING, LLC",Residential Care Facility
DAYVIEW ASSISTED LIVING,OHL41294,2553R,9378458219,sfolker@vancrest.com,1885 N DAYTON-LAKEVIEW RD,NEW CARLISLE,OH,45344,CLARK,32,"NEW CARLISLE HEALTH FACILITIES, LLC",Residential Care Facility
DEUPREE HOUSE II - RESIDENTIAL CARE FACILITY,OHL41362,2560R,5135616363,awilliams@erslife.org,3939 ERIE AVENUE,CINCINNATI,OH,45208,HAMILTON,120,"EPISCOPAL RETIREMENT HOMES, INC.",Residential Care Facility
DEVON OAKS,OHL39991,2315R,4402502300,agasparro@elizajen.org,2345 CROCKER ROAD,WESTLAKE,OH,44145,CUYAHOGA,100,ELIZA JENNINGS GROUP THE,Residential Care Facility
DEWOLFE PLACE,OHL01165,2108R,7403879817,jmorgan1@enlivant.com,1140 WILSON AVENUE,MARION,OH,43302,MARION,45,DEWOLFE AID OPCO LLC,Residential Care Facility
DIAMOND VIEW RESIDENTIAL CARE,OHL00675,1457R,4195224450,taej1515@aol.com,111 SOUTH DIAMOND STREET,MANSFIELD,OH,44902,RICHLAND,130,TAEJ RESIDENTIAL CARE LIMITED LIABILITY COMPANY,Residential Care Facility
DIVERSICARE OF BRADFORD PLACE,OHL500113,1507R,5138674100,ray.sill@dvcr.com,1302 MILLVILLE AVENUE,HAMILTON,OH,45013,BUTLER,72,"DIVERSICARE OF BRADFORD PLACE, LLC",Residential Care Facility
DIVERSICARE OF SIENA WOODS,OHL499984,2379R,9372788211,john.ramsey@dvcr.com,6105 N MAIN STREET,DAYTON,OH,45415,MONTGOMERY,68,COMMUNITY MERCY HEALTH PARTNERS,Residential Care Facility
DIVERSICARE OF ST THERESA,OHL500086,2011R,5132717010,62admn@dvcr.com,7010 ROWAN HILL DRIVE,CINCINNATI,OH,45227,HAMILTON,92,"DIVERSICARE OF ST. THERESA, LLC",Residential Care Facility
DIVINE LIVING OF MADISON,OHL42091,2806R,4409693040,charlotte@divinelivingofmadison.com,2358 HUBBARD ROAD,MADISON,OH,44057,LAKE,16,"DIVINE LIVING OF MADISON, LLC",Residential Care Facility
DOLLEY MADISON HOUSE,OHL41778,2664R,3307677444,lbyer22@gmail.com,264 MOHICAN STREET NE,BREWSTER,OH,44613,STARK,16,BREWSTER PARKE INC.,Residential Care Facility
DR. ROY A. BURKHART CENTER,OHL00965,1057R,6144869511,sgrote@nationalchurchresidences.org,1802 RIVERSIDE DRIVE,COLUMBUS,OH,43212,FRANKLIN,74,FIRST COMMUNITY VILLAGE,Residential Care Facility
DUBLIN ASSISTED LIVING AND MEMORY SUPPORT BY SENIO,OHL41919,2726R,6143890308,dnicol@seniorstar.com,6480 POST ROAD,DUBLIN,OH,43016,FRANKLIN,165,"DUBLIN SENIOR COMMUNITY LSP, LLC",Residential Care Facility
DUBLIN ASSISTED LIVING AND MEMORY SUPPORT BY SENIO,OHL41919,2726R,6143890308,dnicol@seniorstar.com,6480 POST ROAD,DUBLIN,OH,43016,FRANKLIN,165,"SENIOR STAR TENANT DUBLIN CARE, LLC",Residential Care Facility
EAST PARK MEMORY CARE FACILITY,OHL41859,2695R,2162677067,cdykin@epretire.com,6 EAST PARK CIRCLE,BROOK PARK,OH,44142,CUYAHOGA,30,"EAST PARK RETIREMENT COMMUNITY, INC.",Residential Care Facility
EAST PARK RETIREMENT COMMUNITY,OHL499899,2372R,2162677067,cdykin@epretire.com,6360 ELMDALE ROAD,BROOK PARK,OH,44142,CUYAHOGA,80,"EAST PARK RETIREMENT COMMUNITY, INC.",Residential Care Facility
EAST PARK RETIREMENT COMMUNITY,OHL499899,2372R,2162677067,cdykin@epretire.com,6360 ELMDALE ROAD,BROOK PARK,OH,44142,CUYAHOGA,80,OLMSTED MANOR CARE CENTER,Residential Care Facility
EATON GRAND MANOR,OHL01601,0717R,9374563640,ohiogrouph.1@att.net,119 WEST SOMERS STREET,EATON,OH,45320,PREBLE,21,"NEW HORIZONS HEALTHCARE, LLC",Residential Care Facility
EATON GRAND MANOR,OHL01601,0717R,9374563640,ohiogrouph.1@att.net,119 WEST SOMERS STREET,EATON,OH,45320,PREBLE,21,"OHIO GROUP HOME OF MIDDLETOWN, LLC",Residential Care Facility
"ECHELON ASSISTED LIVING, THE",OHL42143,2836R,3305912777,hirise12@aol.com,635 N HUNTINGTON DRIVE,MEDINA,OH,44256,MEDINA,115,"ECHELON ASSISTED LIVING OPERATIONS, LLC",Residential Care Facility
"EDGEWATER PLACE, INC",OHL41233,2546R,6148739700,sharris@edgewaterplace.us,11351 LAFAYETTE - PLAIN CITY ROAD,PLAIN CITY,OH,43064,MADISON,80,"EDGEWATER PLACE, INC",Residential Care Facility
"EDGEWATER PLACE, INC",OHL41233,2546R,6148739700,sharris@edgewaterplace.us,11351 LAFAYETTE - PLAIN CITY ROAD,PLAIN CITY,OH,43064,MADISON,80,"EDGEWATER ASSISTED LIVING, LLC",Residential Care Facility
ELIZABETH SCOTT COMMUNITY,OHL00842,0184R,4198653002,pbucher@elizabethscott.org,2720 ALBON ROAD,MAUMEE,OH,43537,LUCAS,108,"ELIZABETH SCOTT, INC",Residential Care Facility
ELIZABETH SCOTT COMMUNITY,OHL00842,0184R,4198653002,pbucher@elizabethscott.org,2720 ALBON ROAD,MAUMEE,OH,43537,LUCAS,108,"ELIZABETH SCOTT COMMUNITY, INC.",Residential Care Facility
ELMCROFT OF  XENIA,OHL01952,2217R,9373721530,mwoosley@elmcroft.com,60 PACELINE CIRCLE,XENIA,OH,45385,GREENE,120,"AL XENIA OPERATIONS, LLC",Residential Care Facility
ELMCROFT OF  XENIA,OHL01952,2217R,9373721530,mwoosley@elmcroft.com,60 PACELINE CIRCLE,XENIA,OH,45385,GREENE,120,"EC OPCO XENIA, LLC",Residential Care Facility
ELMCROFT OF LIMA,OHL00871,2206R,4193312442,georgiana.saffle@elmcroft.com,2075 NORTH EASTOWN ROAD,LIMA,OH,45807,ALLEN,80,"AL LIMA OPERATIONS, LLC",Residential Care Facility
ELMCROFT OF LIMA,OHL00871,2206R,4193312442,georgiana.saffle@elmcroft.com,2075 NORTH EASTOWN ROAD,LIMA,OH,45807,ALLEN,80,"EC OPCO LIMA, LLC",Residential Care Facility
ELMCROFT OF LORAIN,OHL02973,2301R,4409602813,craig.rukande@elmcroft.com,3290 COOPER FOSTER PARK ROAD,LORAIN,OH,44053,LORAIN,133,HEARTSTONE ASSISTED LIVING,Residential Care Facility
ELMCROFT OF LORAIN,OHL02973,2301R,4409602813,craig.rukande@elmcroft.com,3290 COOPER FOSTER PARK ROAD,LORAIN,OH,44053,LORAIN,133,"LORAIN ASSISTED LIVING, LTD.",Residential Care Facility
ELMCROFT OF LORAIN,OHL02973,2301R,4409602813,craig.rukande@elmcroft.com,3290 COOPER FOSTER PARK ROAD,LORAIN,OH,44053,LORAIN,133,"EC OPCO LORAIN, LLC",Residential Care Facility
ELMCROFT OF MARIETTA,OHL01488,2151R,7403739600,mindy.payne@elmcroft.com,150 BROWNS ROAD,MARIETTA,OH,45750,WASHINGTON,99,EMERITUS CORPORATION,Residential Care Facility
ELMCROFT OF MARIETTA,OHL01488,2151R,7403739600,mindy.payne@elmcroft.com,150 BROWNS ROAD,MARIETTA,OH,45750,WASHINGTON,99,BISHOP MARIETTA LESSEE LLC,Residential Care Facility
ELMCROFT OF MEDINA,OHL00404,2227R,3307643877,licensing@eclipseseniorliving.com,1046 NORTH JEFFERSON STREET,MEDINA,OH,44256,MEDINA,137,"EC OPCO MEDINA, LLC",Residential Care Facility
ELMCROFT OF MEDINA,OHL00404,2227R,3307643877,licensing@eclipseseniorliving.com,1046 NORTH JEFFERSON STREET,MEDINA,OH,44256,MEDINA,137,"BCC MEDINA OPERATIONS, LLC",Residential Care Facility
ELMCROFT OF MEDINA,OHL00404,2227R,3307643877,licensing@eclipseseniorliving.com,1046 NORTH JEFFERSON STREET,MEDINA,OH,44256,MEDINA,137,SENIOR CARE INC.,Residential Care Facility
ELMCROFT OF ONTARIO,OHL00870,2205R,4197471119,sholland@elmcroft.com,2010 WALKER LAKE ROAD,MANSFIELD,OH,44906,RICHLAND,67,"BCC ONTARIO OPERATIONS, LLC",Residential Care Facility
ELMCROFT OF ONTARIO,OHL00870,2205R,4197471119,sholland@elmcroft.com,2010 WALKER LAKE ROAD,MANSFIELD,OH,44906,RICHLAND,67,"EC OPCO ONTARIO, LLC",Residential Care Facility
ELMCROFT OF SAGAMORE HILLS,OHL00431,2271R,3309081166,david.kreuzer@elmcroft.com,997 WEST AURORA ROAD,SAGAMORE HILLS,OH,44067,SUMMIT,214,"EC OPCO SAGAMORE HILLS, LLC",Residential Care Facility
ELMCROFT OF SAGAMORE HILLS,OHL00431,2271R,3309081166,david.kreuzer@elmcroft.com,997 WEST AURORA ROAD,SAGAMORE HILLS,OH,44067,SUMMIT,214,"AL SAGAMORE HILLS OPERATIONS, LLC",Residential Care Facility
ELMCROFT OF WASHINGTON TOWNSHIP,OHL01966,2260R,9372913211,kdavis@elmcroft.com,8630 WASHINGTON CHURCH ROAD,MIAMISBURG,OH,45342,MONTGOMERY,198,"BBC WASHINGTON TOWNSHIP OPERATIONS, LLC",Residential Care Facility
ELMCROFT OF WASHINGTON TOWNSHIP,OHL01966,2260R,9372913211,kdavis@elmcroft.com,8630 WASHINGTON CHURCH ROAD,MIAMISBURG,OH,45342,MONTGOMERY,198,"EC OPCO WASHINGTON TOWNSHIP, LLC",Residential Care Facility
ELMS ASSISTED LIVING THE,OHL00068,1992R,3306506155,cfazekas@aomhc.com,563 WEST STREETSBORO ROAD,HUDSON,OH,44236,SUMMIT,49,"HUDSON HEALTH CARE, INC.",Residential Care Facility
ELMS ASSISTED LIVING THE,OHL00068,1992R,3306506155,cfazekas@aomhc.com,563 WEST STREETSBORO ROAD,HUDSON,OH,44236,SUMMIT,49,HUDSON ELMS OPCO LLC,Residential Care Facility
ELMS RETIREMENT VILLAGE,OHL00420,1194R,4406472414,rcarroll@sprengerhealthcare.com,115 PROSPECT AVE,WELLINGTON,OH,44090,LORAIN,36,"ASSISTED LIVING SERVICES, INC.",Residential Care Facility
ELMS RETIREMENT VILLAGE,OHL00420,1194R,4406472414,rcarroll@sprengerhealthcare.com,115 PROSPECT AVE,WELLINGTON,OH,44090,LORAIN,36,HORN RETIREMENT VILLAGE INC,Residential Care Facility
ELMS RETIREMENT VILLAGE,OHL00420,1194R,4406472414,rcarroll@sprengerhealthcare.com,115 PROSPECT AVE,WELLINGTON,OH,44090,LORAIN,36,LORAIN MANOR INC,Residential Care Facility
ELMWOOD ASSISTED LIVING AND SKILLED NURSING OF FRE,OHL03203,2173R,4193326533,aluhring@elmwoodcommunities.com,1545 FANGBONER,FREMONT,OH,43420,SANDUSKY,97,ELMWOOD OF FREMONT LTD & FACILITY,Residential Care Facility
ELMWOOD ASSISTED LIVING OF NEW BREMEN,OHL41427,2572R,4199772711,khunt@elmwoodcommunities.com,711 WALNUT STREET,NEW BREMEN,OH,45869,AUGLAIZE,95,"ELMWOOD OF NEW BREMEN, LTD",Residential Care Facility
ELMWOOD AT THE SHAWHAN,OHL03204,2242R,4194476885,tmjones@elmwoodcommunities.com,54 S WASHINGTON STREET,TIFFIN,OH,44883,SENECA,66,"ELMWOOD AT THE SHAWHAN, LTD",Residential Care Facility
ELMWOOD AT THE SHAWHAN,OHL03204,2242R,4194476885,tmjones@elmwoodcommunities.com,54 S WASHINGTON STREET,TIFFIN,OH,44883,SENECA,66,KATHY HUNT,Residential Care Facility
