Facility Name,Facility ID,License Number,Phone Number,Email Address,Address,City,State,Zip Code,County,Capacity,Licensee,State Facility Type 1 Literal,Date Accessed
Brookdale Pinnacle,OHL40832,2492R,6142771200,gary.sesco@brookdale.com,1305 LAMPLIGHTER DRIVE,Grove City,OH,43123,Franklin,135,"INN AT GROVE CITY LLC, THE",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Piqua,OHL01918,2132R,9377730500,sobringer@brookdale.com,1744 WEST HIGH STREET,Piqua,OH,45356,Miami,50,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Salem,OHL01497,2214R,3303379096,kleslie@brookdale.com,1916 SOUTH LINCOLN AVENUE,Salem,OH,44460,Columbiana,50,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Springdale,OHL01933,2156R,5137727878,dcopeland1@brookdale.com,11320 SPRINGFIELD PIKE,Springdale,OH,45246,Hamilton,60,BROOKDALE SENIOR LIVING,RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Trillium Crossing,OHL39987,2355R,6147341000,rstonge@brookdale.com,3500 TRILLIUM CROSSING,Columbus,OH,43235,Franklin,120,"BROOKDALE LIVING COMMUNITIES OF OHIO-SP,LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Troy,OHL01909,2122R,9373355900,jfritts@brookdaleliving.com,81 SOUTH STANFIELD ROAD,Troy,OH,45373,Miami,75,ALTERRA HEALTHCARE CORPORATION - PARENT,RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Westerville,OHL01191,2215R,6149012100,jwhite9@brookdale.com,6377 COOPER ROAD,Columbus,OH,43231,Franklin,50,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Westlake Village,OHL00067,1991R,4408924200,kdorsey3@brookdale.com,28460 WESTLAKE VILLAGE DRIVE,Westlake,OH,44145,Cuyahoga,60,AMERICAN RETIREMENT CORP,RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Westlake Village,OHL41741,2649R,4408924200,kdorsey3@brookdale.com,28635 WESTLAKE VILLAGE DRIVE,Westlake,OH,44145,Cuyahoga,32,"ARC WESTLAKE VILLAGE, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Wickliffe,OHL00396,2201R,4409432050,mchappell5@brookdale.com,30630 RIDGE ROAD,Wickliffe,OH,44092,Lake,95,"BLC THE FAIRWAYS LH, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Wooster,OHL00385,2174R,3302621615,amber.maier@brookdale.com,1615 CLEVELAND ROAD,Wooster,OH,44691,Wayne,79,"BROOKDALE PLACE OF WOOSTER, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Wooster,OHL41910,2720R,3302621615,amber.maier@brookdale.com,1613 CLEVELAND ROAD,Wooster,OH,44691,Wayne,38,"BROOKDALE PLACE OF WOOSTER, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Zanesville,OHL01475,2091R,7404509999,sarah.vincenzo@brookdale.com,1575 BOWERS LANE,Zanesville,OH,43701,Muskingum,122,"BD ZANESVILLE OPCO, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brooklyn Pointe,OHL42138,2833R,2162305690,bpnt.adm@meridiansenior.com,4800 IDLEWOOD DRIVE,Brooklyn,OH,44144,Cuyahoga,100,"BROOKLYN POINTE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brookwood Place,OHL00366,1516R,4192891585,kmiller@brethrencarevillage.org,1998 CENTER STREET,Ashland,OH,44805,Ashland,60,"BRETHREN CARE VILLAGE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brookwood Retirement Community,OHL01632,1869R,5136052002,rachel.wirth@hcmg.com,12100 REED HARTMAN HIGHWAY,Cincinnati,OH,45241,Hamilton,120,"C. MICAH RAND, INC.",RESIDENTIAL CARE FACILITY,6/29/21
"Brown Memorial Home, Inc",OHL50033,1058R,7404746238,ncarder@brownmemorialhome.com,158 EAST MOUND STREET,Circleville,OH,43113,Pickaway,15,BROWN MEMORIAL HOME INC,RESIDENTIAL CARE FACILITY,6/29/21
"Browning Masonic Community, Inc",OHL00886,2269R,4198784055,nfielder@ohiomasonichome.org,8883 BROWNING DRIVE,Waterville,OH,43566,Lucas,86,"BROWNING MASONIC COMMUNITY, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Buckeye Rest Home,OHL00670,0248R,4195479866,resthome@buckeyefamily.com,234 WEST BUCKEYE STREET,Clyde,OH,43410,Sandusky,25,BUCKEYE FAMILY RESIDENTIAL CARE SERVICES INC,RESIDENTIAL CARE FACILITY,6/29/21
Burbank Parke Care Center,OHL41244,2544R,3306241030,amcadow@jaghealthcare.com,14976 BURBANK ROAD,Burbank,OH,44214,Wayne,5,"BURBANK PARKE CARE CENTER, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Burton'S Ridge,OHL00865,2185R,4192288412,jenna.poor@burtonsridge.com,2651 FORT AMANDA ROAD,Lima,OH,45804,Allen,60,WAPAKONETA MANOR,RESIDENTIAL CARE FACILITY,6/29/21
Cambridge Place,OHL01347,1911R,7402555005,thitzel@cambridgeplaceal.com,1480 DEERPATH DRIVE,Cambridge,OH,43725,Guernsey,56,IPM CAMBRIDGE SENIOR LIVING LLC,RESIDENTIAL CARE FACILITY,6/29/21
Campbell Place,OHL01906,2106R,9375926089,pcusick@enlivant.com,356 KENT DRIVE,Bellefontaine,OH,43311,Logan,41,CAMPBELL AID OPCO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Canal Winchester Care Center,OHL42087,2805R,6148346800,craig.nelson@mmclp.com,6800 GENDER ROAD,Canal Winchester,OH,43110,Franklin,40,"CANAL WINCHESTER CARE CENTER, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Canfield Place,OHL00394,2199R,3307930085,sgray1@enlivant.com,2300 CANFIELD ROAD,Youngstown,OH,44511,Mahoning,50,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Canton Christian Home,OHL01339,1618R,3304560004,mkerr@cantonchristianhome.org,"2550 CLEVELAND AVENUE, NW",Canton,OH,44709,Stark,61,"CANTON CHRISTIAN HOME, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Canton Regency,OHL02950,1875R,3304777664,kgraber@capitalseniorliving.net,4515 22ND STREET NW,Canton,OH,44708,Stark,100,"CAPITAL SENIORLIVING-ILM-B, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Canton Regency Residential Care Facility,OHL01502,2300R,3304777664,kgraber@capitalseniorliving.net,4507 22ND STREET NW,Canton,OH,44708,Stark,78,"CAPITAL SENIORLIVING-ILM-B, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Cardinal Court Alzheimer'S Special Care Center,OHL42032,2779R,4402689180,kimberly.wilfong@sunshineret.com,18719 DRAKE ROAD,Strongsville,OH,44136,Cuyahoga,66,"STRONGSVILLE CARE GROUP, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Cardinal Place,OHL01478,2130R,7404395710,rstephens@enlivant.com,163 MEADOW PARK DRIVE,Cambridge,OH,43725,Guernsey,45,CARDINAL AID OPCO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Cardinal Retirement Village,OHL00432,2273R,3309287888,eapplegate@cardinalretirement.com,171 GRAHAM RD,Cuyahoga Falls,OH,44223,Summit,60,"CARDINAL TITAN HOLDINGS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Carlin House Assisted Living,OHL40199,2415R,7403806383,eriksten.llc@aol.com,12 CARLIN DRIVE,Logan,OH,43138,Hocking,50,"ERIKSTEN, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Carlisle Place,OHL00839,2099R,4195624927,carlislemail@alcco.com,1721 WHETSTONE STREET,Bucyrus,OH,44820,Crawford,41,CARLISLE AID OPCO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Carlyle House The,OHL41704,2634R,9372933490,bnelson@carlylehouseassistedliving.com,3490 FAR HILLS AVENUE,Kettering,OH,45429,Montgomery,111,"CARLYLE HOUSE, INC",RESIDENTIAL CARE FACILITY,6/29/21
Carriage Court Of  Washington Court House,OHL01153,2058R,7403333434,moliva@pathwaytoliving.com,500 NORTH GLENN AVENUE,Washington Court Hou,OH,43160,Fayette,84,"WELL PATH TENANT, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Carriage Court Of Grove City,OHL00985,1984R,6148718000,moliva@pathwaytoliving.com,2320 SONORA DRIVE,Grove City,OH,43123,Franklin,92,"WELL PATH TENANT, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Carriage Court Of Hilliard,OHL01196,2248R,6145297470,eohly@carriagecourthilliard.com,3570 HERITAGE CLUB DRIVE,Hilliard,OH,43026,Franklin,136,"HILLIARD SENIOR HOUSING I OPCO, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Carriage Court Of Kenwood,OHL01953,2218R,5137929697,moliva@pathwaytoliving.com,4650 EAST GALBRAITH ROAD,Cincinnati,OH,45236,Hamilton,128,"WELL PATH TENANT, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Carriage Court Of Lancaster,OHL01154,2061R,7406544422,moliva@pathwaytoliving.com,800 BECKS KNOB ROAD,Lancaster,OH,43130,Fairfield,104,"WELL PATH TENANT, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Carriage Court Of Marysville,OHL01152,2054R,9376422202,moliva@pathwaytoliving.com,717 SOUTH WALNUT STREET,Marysville,OH,43040,Union,70,"WELL PATH TENANT, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Carriage House Assisted Living,OHL01504,2283R,7402647667,jaime.herald@capitalhcn.com,3106 ST. CHARLES DRIVE,Steubenville,OH,43952,Jefferson,69,CAPITAL HEALTH SERVICES,RESIDENTIAL CARE FACILITY,6/29/21
Carriage House Of Fisher-Titus,OHL00868,2191R,4196684228,crunkle@ftmc.com,175 SHADY LANE,Norwalk,OH,44857,Huron,92,FISHER-TITUS MEDICAL CENTER,RESIDENTIAL CARE FACILITY,6/29/21
Carroll Place,OHL01150,1709R,7406544529,award1@enlivant.com,"3682 DOLSON COURT, NW",Carroll,OH,43112,Fairfield,56,SPRINGS AT CARROLL AID OPCO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Cedar Living At Mayfield Heights,OHL42242,2881R,2162426928,derek@ariacares.com,30091 CEDAR ROAD,Mayfield Heights,OH,44124,Cuyahoga,18,SONG ONE LLC,RESIDENTIAL CARE FACILITY,6/29/21
Cedar Village Senior Living,OHL500123,2109R,5137543100,cedarvillage-administrator@cardon.us,5467 CEDAR VILLAGE DRIVE,Mason,OH,45040,Warren,172,"INDIANA SENIOR HOUSING HEALTH CARE PROPERTIES, INC",RESIDENTIAL CARE FACILITY,6/29/21
Center For Assisted Living The,OHL00054,1904R,4402357100,aritchie@elizajen.org,26376 JOHN ROAD,Olmsted Twp,OH,44138,Cuyahoga,28,ELIZA JENNINGS,RESIDENTIAL CARE FACILITY,6/29/21
"Center For Respite Care, Inc",OHL42078,2800R,5136211868,finance@centerforrespitecare.org,1615 REPUBLIC STREET,Cincinnati,OH,45202,Hamilton,20,"CENTER FOR RESPITE CARE, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Center Haven - Hamilton,OHL01615,1216R,5138689600,centerhaven1@aol.com,422 NORTH SECOND STREET,Hamilton,OH,45011,Butler,26,"CENTER HAVEN, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Centerville Place Assisted Living,OHL01599,0423R,9374333441,ejboggs@centervillerehab.com,7415 LIBERTY WOODS LANE,Dayton,OH,45459,Montgomery,78,"PRISTINE SENIOR LIVING OF DAYTON-CENTERVILLE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Central Parke Alzheimer'S Special Care Center,OHL41870,2702R,5133233725,penny.coffey@sunshineret.com,7495 CENTRAL PARKE BLVD,Mason,OH,45040,Warren,66,"MASON CARE GROUP, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Centreville Village,OHL41966,2748R,3304884905,centrevillevillage@gmail.com,1082 KENSINGTON ROAD NE,Carrollton,OH,44615,Carroll,108,"CENTREVILLE VILLAGE OF CARROLL COUNTY, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Centrum At Willow Brook The,OHL01161,2085R,7403690048,sfleak@willow-brook.org,100 WILLOW BROOK WAY SOUTH,Delaware,OH,43015,Delaware,133,CENTRUM AT WILLOW BROOK THE,RESIDENTIAL CARE FACILITY,6/29/21
Champion Estates Assisted Living,OHL41659,2619R,3308411555,vdalesandro@windsorhouseinc.com,1 WINDSOR PLACE,Warren,OH,44483,Trumbull,65,"CHAMPION ESTATES, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Chapel Grove Inn The,OHL50121,2387R,7405224663,amy@chapelgroveinn.com,1400 CHAPEL WAY,Heath,OH,43056,Licking,120,"CHAPEL GROVE MANAGEMENT COMPANY, LTD",RESIDENTIAL CARE FACILITY,6/29/21
Chapel Hill Community,OHL500108,1180R,3308544177,ddurbin@uchinc.org,"12200 STRAUSSER STREET, NORTHWEST",Canal Fulton,OH,44614,Stark,44,"UNITED CHURCH HOME, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Charter Senior Living Of Oak Openings,OHL42153,2841R,4198820029,kelleys@charterseniorliving.com,6805 SYLVANIA AVENUE,Sylvania,OH,43560,Lucas,88,"EBS SYLVANIA, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Chelsea Place Care Ltd,OHL40423,2245R,5138134259,bwenning@hillandale.com,8073 TYLERSVILLE ROAD,West Chester,OH,45069,Butler,18,DIXON FAMILY OPERATIONS,RESIDENTIAL CARE FACILITY,6/29/21
Cherry Blossom Senior Living,OHL42198,2863R,6145307726,exd@cherryblossomseniorliving.com,79 BLOSSOM FIELD BLVD,Columbus,OH,43213,Franklin,150,,RESIDENTIAL CARE FACILITY,6/29/21
Chestnut Hill Senior Living,OHL00989,2017R,6148553700,mwatson@chestnuthillseniorliving.com,5055 THOMPSON ROAD,Columbus,OH,43230,Franklin,125,"ARROW SENIOR LIVING COLUMBUS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Christian House,OHL41988,2759R,3308860386,bdavis@achristianhouse.com,82 GARFIELD AVENUE,East Palestine,OH,44413,Columbiana,49,"CHRISTIAN HOUSE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Claremont Retirement Village,OHL41700,2631R,6147612011,leann@crvillage.com,7041 BENT TREE BLVD,Columbus,OH,43235,Franklin,57,CLAREMONT RETIREMENT VILLAGE LP,RESIDENTIAL CARE FACILITY,6/29/21
Clark Memorial Home,OHL01612,1113R,9373994262,clarkmemorial@att.net,106 KEWBURY ROAD,Springfield,OH,45504,Clark,20,CLARK MEMORIAL HOME ASSOCIATION,RESIDENTIAL CARE FACILITY,6/29/21
Clay Gardens Place,OHL01489,2160R,7404502744,sfriece@enlivant.com,3784 FRAZEYSBURG ROAD,Zanesville,OH,43701,Muskingum,65,CLAY AID OPCO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Clearview Lantern Suites,OHL00356,2096R,3308476800,lkovarik@keystonesenior.com,596 CHAMPION AVENUE WEST,Warren,OH,44483,Trumbull,73,"KSMS CLEARVIEW LANTERN, LLC",RESIDENTIAL CARE FACILITY,6/29/21
"Close To Home Ii, Llc",OHL40492,2445R,5134230111,skhartwig@yahoo.com,3712 ROOSEVELT BLVD,Middletown,OH,45042,Butler,36,CLOSE TO HOME II LLC,RESIDENTIAL CARE FACILITY,6/29/21
"Close To Home Iii, Llc",OHL41465,2581R,7405341100,skhartwig@yahoo.com,617 CENTER ST,Ironton,OH,45638,Lawrence,45,"CLOSE TO  HOME III, LLC",RESIDENTIAL CARE FACILITY,6/29/21
"Close To Home, Inc",OHL41862,2697R,7405342143,skhartwig@yahoo.com,503 VERNON STREET,Ironton,OH,45638,Lawrence,25,"CLOSE TO HOME, INC.",RESIDENTIAL CARE FACILITY,6/29/21
"Close To Home, Iv Assisted Living, Inc",OHL42112,2817R,5137576047,skhartwig@yahoo.com,12681 US 62,Sardinia,OH,45171,Brown,67,"CLOSE TO HOME, IV ASSISTED LIVING, INC",RESIDENTIAL CARE FACILITY,6/29/21
"Close To Home, V Inc",OHL41807,2673R,7406983631,skhartwwig@yahoo.com,5176 WASHINTON ROAD,Albany,OH,45710,Athens,22,"CLOSE TO HOME, V INC.",RESIDENTIAL CARE FACILITY,6/29/21
Clyde Gardens Place,OHL00677,1715R,4195477746,rweiker@enlivant.com,700 COULSON STREET,Clyde,OH,43410,Sandusky,40,GARDENS AT CLYDE AID OPCO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Colonial Nursing Center Of Rockford,OHL40044,2358R,4193632193,rcordonnier@hillstonehc.com,201 BUCKEYE STREET,Rockford,OH,45882,Mercer,15,COLONIAL HEALTHCARE LLC,RESIDENTIAL CARE FACILITY,6/29/21
Colonies At Windsor Medical Ce,OHL01490,0166R,3304998300,trswallen@aol.com,1454 EASTON STREET N.W.,North Canton,OH,44720,Stark,100,THOMAS R SWALLEN,RESIDENTIAL CARE FACILITY,6/29/21
Commons Of Providence Specialized Assisted Living,OHL32939,2310R,4196241171,samison@chilivingcomm.org,4901 PROVIDENCE DRIVE,Sandusky,OH,44870,Erie,60,FRANCISCAN SERVICES CORPORATION,RESIDENTIAL CARE FACILITY,6/29/21
Commons Of Providence The,OHL00850,2137R,4196241171,samison@chilivingcomm.org,5000 PROVIDENCE DRIVE,Sandusky,OH,44870,Erie,112,PROVIDENCE CARE CENTER,RESIDENTIAL CARE FACILITY,6/29/21
Community Commons,OHL50043,2382R,3303943037,rreynolds@communityskilled.com,1340 MAHONING AVENUE NW,Warren,OH,44483,Trumbull,44,COMMUNITY SKILLED HEALTH CARE CENTRE,RESIDENTIAL CARE FACILITY,6/29/21
Conard House Assisted Living,OHL03233,2312R,4197745160,timhoff@mansfieldmh.com,71 BLYMYER AVENUE,Mansfield,OH,44903,Richland,25,"MANSFIELD MEMORIAL HOMES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Concord Reserve (Paragon Building),OHL41073,0442R,4408710090,bruce.mcnabb@lec.org,2116 DOVER CENTER ROAD,Westlake,OH,44145,Cuyahoga,43,LUTHERAN HOME,RESIDENTIAL CARE FACILITY,6/29/21
Concordia At Sumner,OHL32961,2389R,3306641000,snedolast@concordiaatsumner.org,970 SUMNER PARKWAY,Copley,OH,44321,Summit,44,CONCORDIA OF OHIO,RESIDENTIAL CARE FACILITY,6/29/21
Concordia At Sumner,OHL42185,2857R,3306641337,edorland@concordiaatsumner.org,855 SUMNER PARKWAY,Copley,OH,44321,Summit,245,CONCORDIA OF OHIO,RESIDENTIAL CARE FACILITY,6/29/21
Continuing Healthcare At Sterling Suites,OHL42285,2602R,7404522087,bparsons@continuinghc.com,1126 ADAIR ROAD,Zanesville,OH,43701,Muskingum,38,"CONTINUING HEALTHCARE STERLING SUITES, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Continuing Healthcare Beacon House,OHL01346,1864R,2167723192,bparsons@continuinghc.com,100 RESERVOIR ROAD,Saint Clairsville,OH,43950,Belmont,62,ZANDEX HEALTH CARE CORPORATION,RESIDENTIAL CARE FACILITY,6/29/21
Convalarium At Indian Run The,OHL00978,1900R,6147611188,sandy.st.clair@amfincorp.com,6430 POST ROAD,Dublin,OH,43017,Franklin,8,"HEALTHCARE VENTURES OF OHIO, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Copeland Oaks Rest Home,OHL00040,1747R,3309386126,randi@copelandoaksinc.com,800 SOUTH 15TH STREET,Sebring,OH,44672,Mahoning,211,COPELAND OAKS,RESIDENTIAL CARE FACILITY,6/29/21
Cottage At Wexner Heritage Village The,OHL41583,0967R,6145595500,kfullerton@whv.org,1149 COLLEGE AVENUE,Columbus,OH,43209,Franklin,20,CREEKSIDE AT THE VILLAGE,RESIDENTIAL CARE FACILITY,6/29/21
"Cottages Of Clayton, Inc  The",OHL40807,2490R,9372473202,mmohr@thecottagesofclayton.com,8212 NORTH MAIN STREET,Dayton,OH,45415,Montgomery,114,"COTTAGES OF CLAYTON, INC. THE",RESIDENTIAL CARE FACILITY,6/29/21
Cottingham Retirement Community,OHL01626,1792R,5135633600,sowens@cottinghamcare.com,3995 COTTINGHAM DRIVE,Cincinnati,OH,45241,Hamilton,141,"DEACONESS LONG TERM CARE, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Country Club Center Ii,OHL00971,1690R,7403972350,thead@ccrcii.com,1350 YAUGER ROAD,Mount Vernon,OH,43050,Knox,58,"MOUNT VERNON ELDERLY SERVICES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
"Country Club Center/Homes, Inc",OHL01491,1601R,3303435568,administrator@ccrc1.com,860 IRON AVENUE,Dover,OH,44622,Tuscarawas,169,"COUNTRY CLUB CENTER/HOMES, INC",RESIDENTIAL CARE FACILITY,6/29/21
Country Club Retirement Center,OHL01345,1858R,7406762300,administrator@ccrciv.com,55801 CONNO-MARA DRIVE,Bellaire,OH,43906,Belmont,74,"COUNTRY CLUB RETIREMENT CENTER IV, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Country Club Retirement Center Iii,OHL00042,1794R,4409920022,officemanager@ccrciii.com,925 EAST 26TH STREET,Ashtabula,OH,44004,Ashtabula,67,"COUNTRY CLUB RETIREMENT CENTER, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Country Inn Enhanced Living Center,OHL32982,2398R,4193992345,msinn4699@hotmail.com,12651 ROAD 82,Paulding,OH,45879,Paulding,48,APOSTOLIC CHRISTIAN COUNTRY VILLA,RESIDENTIAL CARE FACILITY,6/29/21
Country Living,OHL39995,2339R,7408586327,ssu54@yahoo.com,13028 W US HIGHWAY 52,Portsmouth,OH,45663,Scioto,42,REBECCA & JAMES MONTLER,RESIDENTIAL CARE FACILITY,6/29/21
Countryside At The Elmwood,OHL41772,2662R,3305688127,jsee@chcccompanies.com,871 ELMWOOD DRIVE,Hubbard,OH,44425,Trumbull,136,"ELMWOOD ASSISTED LIVING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Court House Manor,OHL42125,2601R,7403359290,administrator@courthousemanor.com,555 NORTH GLENN AVENUE,Washington Court Hou,OH,43160,Fayette,48,"HCF OF WASHINGTON, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Courtyard At Seasons,OHL01916,1888R,5139849400,ncarson@seniorlifestyle.com,7100 DEARWESTER DRIVE,Cincinnati,OH,45236,Hamilton,166,"GA HC REIT II SEASONS TRS SUB, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Creekside At The Village,OHL40343,2432R,6145595500,bweinschneider@whv.org,2200 WELCOME PLACE,Columbus,OH,43209,Franklin,138,CREEKSIDE AT THE VILLAGE,RESIDENTIAL CARE FACILITY,6/29/21
Crossroads At Beaver Creek Inc,OHL40763,2485R,3303582211,info@crossroadsal.com,13280 ECHO DELL ROAD,East Liverpool,OH,43920,Columbiana,110,"CROSSROADS AT BEAVER CREEK, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Crown Center At Laurel Lake,OHL00053,1903R,3306551753,tarmagno@laurellake.org,200 LAUREL LAKE DRIVE,Hudson,OH,44236,Summit,67,CATHOLIC HEALTHCARE PARTNERS,RESIDENTIAL CARE FACILITY,6/29/21
Cypress Pointe Health Campus,OHL41364,2561R,9378363149,tony.valentine@cypresspointehs.com,600 WEST NATIONAL ROAD,Englewood,OH,45322,Montgomery,58,"TRILOGY HEALTHCARE OF MONTGOMERY, LLC",RESIDENTIAL CARE FACILITY,6/29/21
"Danbury At Carriage Trails, Llc",OHL42105,2813R,9372151851,dbossart@danburyseniorliving.com,8001 RED BUCKEYE DRIVE,Tipp City,OH,45371,Miami,133,"BROOKWOOD MANAGEMENT COMPANY, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Danbury Millersburg,OHL42323,2920R,3304137166,ddavis@danburyseniorliving.com,4245 GLEN DRIVE,Millersburg,OH,44654,Holmes,115,"BROOKWOOD MANAGEMENT COMPANY, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Danbury Of Brunswick,OHL42075,2798R,3304604244,phaney@danburyseniorliving.com,3430 BRUNSWICK LAKE PARKWAY,Brunswick,OH,44212,Medina,133,"BROOKWOOD MANAGEMENT COMPANY, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Danbury Of North Ridgeville,OHL42245,2883R,4405963797,msosinski@danburyseniorliving.com,33770 BAGLEY ROAD,North Ridgeville,OH,44039,Lorain,144,"BROOKWOOD MANAGEMENT COMPANY, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Danbury Senior Living,OHL41854,2691R,6143390459,ccrossetti@danburyseniorliving.com,2870 SNOUFFER ROAD,Columbus,OH,43235,Franklin,133,"AUTUMN CHASE COLUMBUS NORTH, LTD",RESIDENTIAL CARE FACILITY,6/29/21
Danbury Senior Living Broadview Heights,OHL41913,2723R,4405963047,kaneshansel@danburyseniorliving.com,9500 BROADVIEW ROAD,Broadview Heights,OH,44147,Cuyahoga,171,"BROADVIEW HEIGHTS SENIOR LIVING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Danbury Senior Living Massillon,OHL41957,2742R,3308337229,nhively@danburyseniorliving.com,2550 UNIVERSITY DRIVE SE,Massillon,OH,44646,Stark,138,"MASSILLON SENIOR LIVING, LTD",RESIDENTIAL CARE FACILITY,6/29/21
Danbury Woods,OHL41648,2615R,3309403000,amoore@damburyseniorliving.com,1691 QUEENS GATE CIRCLE,Cuyahoga Falls,OH,44221,Summit,46,DANBURY WOODS LTD,RESIDENTIAL CARE FACILITY,6/29/21
"Danbury Woods At Greenfield Crossing, Llc",OHL41766,2660R,3302640355,lhess@danburyseniorliving.com,939 PORTAGE ROAD,Wooster,OH,44691,Wayne,126,"DANBURY WOODS AT GREENFIELD CROSSING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Dayview Assisted Living,OHL41294,2553R,9378458219,sfolker@vancrest.com,1885 N DAYTON-LAKEVIEW RD,New Carlisle,OH,45344,Clark,32,"NEW CARLISLE HEALTH FACILITIES, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Deupree House Ii - Residential Care Facility,OHL41362,2560R,5135616363,awilliams@erslife.org,3939 ERIE AVENUE,Cincinnati,OH,45208,Hamilton,120,"EPISCOPAL RETIREMENT HOMES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Devon Oaks,OHL39991,2315R,4402502300,agasparro@elizajen.org,2345 CROCKER ROAD,Westlake,OH,44145,Cuyahoga,100,ELIZA JENNINGS GROUP THE,RESIDENTIAL CARE FACILITY,6/29/21
Dewolfe Place,OHL01165,2108R,7403879817,jmorgan1@enlivant.com,1140 WILSON AVENUE,Marion,OH,43302,Marion,45,DEWOLFE AID OPCO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Diamond View Residential Care,OHL00675,1457R,4195224450,taej1515@aol.com,111 SOUTH DIAMOND STREET,Mansfield,OH,44902,Richland,130,TAEJ RESIDENTIAL CARE LIMITED LIABILITY COMPANY,RESIDENTIAL CARE FACILITY,6/29/21
Diversicare Of Bradford Place,OHL500113,1507R,5138674100,ray.sill@dvcr.com,1302 MILLVILLE AVENUE,Hamilton,OH,45013,Butler,72,"DIVERSICARE OF BRADFORD PLACE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Diversicare Of Siena Woods,OHL499984,2379R,9372788211,john.ramsey@dvcr.com,6105 N MAIN STREET,Dayton,OH,45415,Montgomery,68,COMMUNITY MERCY HEALTH PARTNERS,RESIDENTIAL CARE FACILITY,6/29/21
