NAME,FACID,STATEID,MCARE_ID,TELEPHONE,FAXPHONE,FACEMAIL,ABBREV,ADDRESS,FAC_CITY,FAC_ST,FAC_ZIP,FACTYPE,OPERSTDESC,CLOSEDDATE,CNTYNAME,LIC_BED_TOTAL,OPENDATE,BED_EFFECTIVE_DATE,CERT_BED_TOTAL,OWNCOMP,OWNPHONE,OWNADDR,OWNCITY,OWNST,OWNZIP,PRIMARYOWN,OWNEROFCODE
CHELSEA PLACE CARE LTD,OHL40423,2245R,,5138134259,5137774249,bwenning@hillandale.com,SL-R,8073 TYLERSVILLE ROAD,WEST CHESTER,OH,45069,L12,ACTIVE,,BUTLER,18,1/6/06,1/7/20,0,CHELSEA PLACE CARE LTD.,,8073 TYLERSVILLE ROAD,WEST CHESTER,OH,45069,1,2
CHERRY BLOSSOM SENIOR LIVING,OHL42198,2863R,,6145307726,,exd@cherryblossomseniorliving.com,SL-R,79 BLOSSOM FIELD BLVD,COLUMBUS,OH,43213,L12,ACTIVE,,FRANKLIN,150,7/2/19,7/2/19,0,,,,,,,,
CHESTNUT HILL SENIOR LIVING,OHL00989,2017R,,6148553700,6148551328,mwatson@chestnuthillseniorliving.com,SL-R,5055 THOMPSON ROAD,COLUMBUS,OH,43230,L12,ACTIVE,,FRANKLIN,125,1/26/94,8/22/13,0,"ARROW SENIOR LIVING COLUMBUS, LLC",,,,,,1,2
CHESTNUT HILL SENIOR LIVING,OHL00989,2017R,,6148553700,6148551328,mwatson@chestnuthillseniorliving.com,SL-R,5055 THOMPSON ROAD,COLUMBUS,OH,43230,L12,ACTIVE,,FRANKLIN,125,1/26/94,8/22/13,0,"SUMMERVILLE AT CHESTNUT HILL, LLC",,,,,,0,
CHRISTIAN HOUSE,OHL41988,2759R,,3308860386,3308860385,bdavis@achristianhouse.com,SL-R,82 GARFIELD AVENUE,EAST PALESTINE,OH,44413,L12,ACTIVE,,COLUMBIANA,49,1/19/17,1/19/17,0,"CHRISTIAN HOUSE, LLC",,,,,,1,2
CLAREMONT RETIREMENT VILLAGE,OHL41700,2631R,,6147612011,6147611892,leann@crvillage.com,SL-R,7041 BENT TREE BLVD,COLUMBUS,OH,43235,L12,ACTIVE,,FRANKLIN,57,1/13/14,3/11/16,0,CLAREMONT RETIREMENT VILLAGE LP,,,,,,0,2
CLAREMONT RETIREMENT VILLAGE,OHL41700,2631R,,6147612011,6147611892,leann@crvillage.com,SL-R,7041 BENT TREE BLVD,COLUMBUS,OH,43235,L12,ACTIVE,,FRANKLIN,57,1/13/14,3/11/16,0,"CLAREMONT PARTNERS, LP",,,,,,1,2
CLARK MEMORIAL HOME,OHL01612,1113R,,9373994262,9373994267,clarkmemorial@att.net,SL-R,106 KEWBURY ROAD,SPRINGFIELD,OH,45504,L12,ACTIVE,,CLARK,20,11/1/49,10/8/02,0,CLARK MEMORIAL HOME ASSOCIATION,,,,,,1,2
CLAY GARDENS PLACE,OHL01489,2160R,,7404502744,7404504270,sfriece@enlivant.com,SL-R,3784 FRAZEYSBURG ROAD,ZANESVILLE,OH,43701,L12,ACTIVE,,MUSKINGUM,65,12/22/97,11/24/08,0,CLAY AID OPCO LLC,,,,,,1,2
CLEARVIEW LANTERN SUITES,OHL00356,2096R,,3308476800,3308476621,lkovarik@keystonesenior.com,SL-R,596 CHAMPION AVENUE WEST,WARREN,OH,44483,L12,ACTIVE,,TRUMBULL,73,10/8/98,12/31/01,0,"KSMS CLEARVIEW LANTERN, LLC",,,,,,1,2
CLEARVIEW LANTERN SUITES,OHL00356,2096R,,3308476800,3308476621,lkovarik@keystonesenior.com,SL-R,596 CHAMPION AVENUE WEST,WARREN,OH,44483,L12,ACTIVE,,TRUMBULL,73,10/8/98,12/31/01,0,"TERRE FORME ENTERPRISES, INC.",,,,,,0,
"CLOSE TO HOME II, LLC",OHL40492,2445R,,5134230111,5134230145,skhartwig@yahoo.com,SL-R,3712 ROOSEVELT BLVD,MIDDLETOWN,OH,45042,L12,ACTIVE,,BUTLER,36,3/22/06,3/22/06,0,CLOSE TO HOME II LLC,,3712 ROOSEVELT BLVD,MIDDLETOWN,OH,45042,1,2
"CLOSE TO HOME II, LLC",OHL40492,2445R,,5134230111,5134230145,skhartwig@yahoo.com,SL-R,3712 ROOSEVELT BLVD,MIDDLETOWN,OH,45042,L12,ACTIVE,,BUTLER,36,3/22/06,3/22/06,0,SHARON HARTWIG,,,,,,0,2
"CLOSE TO HOME III, LLC",OHL41465,2581R,,7405341100,7405341101,skhartwig@yahoo.com,SL-R,617 CENTER ST,IRONTON,OH,45638,L12,ACTIVE,,LAWRENCE,45,10/15/10,10/15/10,0,"CLOSE TO  HOME III, LLC",,,,,,1,
"CLOSE TO HOME, INC",OHL41862,2697R,,7405342143,7405341104,skhartwig@yahoo.com,SL-R,503 VERNON STREET,IRONTON,OH,45638,L12,ACTIVE,,LAWRENCE,25,5/14/15,5/14/15,0,"CLOSE TO HOME, INC.",,,,,,1,2
"CLOSE TO HOME, IV ASSISTED LIVING, INC",OHL42112,2817R,,5137576047,5137576045,skhartwig@yahoo.com,SL-R,12681 US 62,SARDINIA,OH,45171,L12,ACTIVE,,BROWN,67,4/24/18,4/24/18,0,"CLOSE TO HOME, IV ASSISTED LIVING, INC",,,,,,1,2
"CLOSE TO HOME, V INC",OHL41807,2673R,,7406983631,7406984703,skhartwwig@yahoo.com,SL-R,5176 WASHINTON ROAD,ALBANY,OH,45710,L12,ACTIVE,,ATHENS,22,8/19/14,8/19/14,0,"CLOSE TO HOME, V INC.",,,,,,1,2
CLYDE GARDENS PLACE,OHL00677,1715R,,4195477746,4195477870,rweiker@enlivant.com,SL-R,700 COULSON STREET,CLYDE,OH,43410,L12,ACTIVE,,SANDUSKY,40,2/7/95,1/31/02,0,GARDENS AT CLYDE AID OPCO LLC,,,,,,1,2
COLONIAL NURSING CENTER OF ROCKFORD,OHL40044,2358R,,4193632193,4193632460,rcordonnier@hillstonehc.com,SL-R,201 BUCKEYE STREET,ROCKFORD,OH,45882,L12,ACTIVE,,MERCER,15,2/28/02,2/28/02,0,COLONIAL HEALTHCARE LLC,,,,,,1,2
COLONIES AT WINDSOR MEDICAL CE,OHL01490,0166R,,3304998300,3309668300,trswallen@aol.com,SL-R,1454 EASTON STREET N.W.,NORTH CANTON,OH,44720,L12,ACTIVE,,STARK,100,5/7/98,1/31/02,0,THOMAS R SWALLEN,3304998300,1454 EASTON ST NW,N CANTON,OH,44720,0,1
COMMONS OF PROVIDENCE SPECIALIZED ASSISTED LIVING,OHL32939,2310R,,4196241171,4196241175,samison@chilivingcomm.org,SL-R,4901 PROVIDENCE DRIVE,SANDUSKY,OH,44870,L12,ACTIVE,,ERIE,60,11/1/00,6/20/18,0,FRANCISCAN SERVICES CORPORATION,,6832 CONVENT BLVD.,SYLVANIA,OH,43560,0,
COMMONS OF PROVIDENCE THE,OHL00850,2137R,,4196241171,4196241175,samison@chilivingcomm.org,SL-R,5000 PROVIDENCE DRIVE,SANDUSKY,OH,44870,L12,ACTIVE,,ERIE,112,6/12/97,1/29/02,0,PROVIDENCE CARE CENTER,,2025 HAGER AVENUE,SANDUSKY,OH,44870,0,
COMMONS OF PROVIDENCE THE,OHL00850,2137R,,4196241171,4196241175,samison@chilivingcomm.org,SL-R,5000 PROVIDENCE DRIVE,SANDUSKY,OH,44870,L12,ACTIVE,,ERIE,112,6/12/97,1/29/02,0,SPECIALIZED ASSISTED LIVING,,4901 PROVIDENCE AVENUE,SANDUSKY,OH,44870,0,
COMMONS OF PROVIDENCE THE,OHL00850,2137R,,4196241171,4196241175,samison@chilivingcomm.org,SL-R,5000 PROVIDENCE DRIVE,SANDUSKY,OH,44870,L12,ACTIVE,,ERIE,112,6/12/97,1/29/02,0,SISTERS OF ST FRANCIS,4196241171,5000 PROVIDENCE DR,SANDUSKY,OH,44870,1,1
COMMUNITY COMMONS,OHL50043,2382R,,3303943037,3303950017,rreynolds@communityskilled.com,SL-R,1340 MAHONING AVENUE NW,WARREN,OH,44483,L12,ACTIVE,,TRUMBULL,44,3/18/03,3/18/03,0,COMMUNITY SKILLED HEALTH CARE CENTRE,,,,,,0,
CONARD HOUSE ASSISTED LIVING,OHL03233,2312R,,4197745160,4197749481,timhoff@mansfieldmh.com,SL-R,71 BLYMYER AVENUE,MANSFIELD,OH,44903,L12,ACTIVE,,RICHLAND,25,12/7/00,1/11/02,0,"MANSFIELD MEMORIAL HOMES, INC.",,37 BLYMYER AVENUE,MANSFIELD,OH,44901,1,
CONCORD RESERVE (PARAGON BUILDING),OHL41073,0442R,,4408710090,4408924061,bruce.mcnabb@lec.org,SL-R,2116 DOVER CENTER ROAD,WESTLAKE,OH,44145,L12,ACTIVE,,CUYAHOGA,43,12/24/08,12/24/08,0,LUTHERAN HOME,4408710090,2116 DOVER CENTER RD,WESTLAKE,OH,44145,1,2
CONCORDIA AT SUMNER,OHL32961,2389R,,3306641000,3306641368,snedolast@concordiaatsumner.org,SL-R,970 SUMNER PARKWAY,COPLEY,OH,44321,L12,ACTIVE,,SUMMIT,44,11/4/03,7/28/09,0,CONCORDIA OF OHIO,,,,,,1,2
CONCORDIA AT SUMNER,OHL42185,2857R,,3306641337,3306641199,edorland@concordiaatsumner.org,SL-R,855 SUMNER PARKWAY,COPLEY,OH,44321,L12,ACTIVE,,SUMMIT,245,6/28/19,8/6/20,0,CONCORDIA OF OHIO,,,,,,1,2
CONTINUING HEALTHCARE AT STERLING SUITES,OHL42285,2602R,,7404522087,7404524076,bparsons@continuinghc.com,SL-R,1126 ADAIR ROAD,ZANESVILLE,OH,43701,L12,ACTIVE,,MUSKINGUM,38,10/14/20,10/14/20,0,"CONTINUING HEALTHCARE STERLING SUITES, LLC",,"7261 ENGLE ROAD, SUITE 200",MIDDLEBURG HEIGHTS,OH,44130,1,2
CONTINUING HEALTHCARE BEACON HOUSE,OHL01346,1864R,,2167723192,2162780019,bparsons@continuinghc.com,SL-R,100 RESERVOIR ROAD,SAINT CLAIRSVILLE,OH,43950,L12,ACTIVE,,BELMONT,62,3/4/87,3/8/11,0,ZANDEX HEALTH CARE CORPORATION,7406957233,100 RESERVOIR RD,ST. CLAIRSVILLE,OH,43950,0,2
CONTINUING HEALTHCARE BEACON HOUSE,OHL01346,1864R,,2167723192,2162780019,bparsons@continuinghc.com,SL-R,100 RESERVOIR ROAD,SAINT CLAIRSVILLE,OH,43950,L12,ACTIVE,,BELMONT,62,3/4/87,3/8/11,0,"CONTINUING HEALTHCARE BEACON HOUSE, LLC",,,,,,1,2
CONVALARIUM AT INDIAN RUN THE,OHL00978,1900R,,6147611188,6147610410,sandy.st.clair@amfincorp.com,SL-R,6430 POST ROAD,DUBLIN,OH,43017,L12,ACTIVE,,FRANKLIN,8,12/16/88,5/29/14,0,"HEALTHCARE VENTURES OF OHIO, LLC",6147611188,6430 POST ROAD,DUBLIN,OH,43016,0,2
CONVALARIUM AT INDIAN RUN THE,OHL00978,1900R,,6147611188,6147610410,sandy.st.clair@amfincorp.com,SL-R,6430 POST ROAD,DUBLIN,OH,43017,L12,ACTIVE,,FRANKLIN,8,12/16/88,5/29/14,0,"DUBLIN CONVALARIUM OPERATING COMPANY, LLC",,1616 OLD HENDERSON ROAD,COLUMBUS,OH,43220,1,2
COPELAND OAKS REST HOME,OHL00040,1747R,,3309386126,3309389660,randi@copelandoaksinc.com,SL-R,800 SOUTH 15TH STREET,SEBRING,OH,44672,L12,ACTIVE,,MAHONING,211,1/27/94,4/25/18,0,COPELAND OAKS,3309383126,800 SOUTH 15TH ST,SEBRING,OH,44672,0,1
COTTAGE AT WEXNER HERITAGE VILLAGE THE,OHL41583,0967R,,6145595500,6145595638,kfullerton@whv.org,SL-R,1149 COLLEGE AVENUE,COLUMBUS,OH,43209,L12,ACTIVE,,FRANKLIN,20,2/1/12,9/1/15,0,CREEKSIDE AT THE VILLAGE,6145590304,2200 WELCOME PLACE,COLUMBUS,OH,43209,1,2
"COTTAGES OF CLAYTON, INC  THE",OHL40807,2490R,,9372473202,9372800301,mmohr@thecottagesofclayton.com,SL-R,8212 NORTH MAIN STREET,DAYTON,OH,45415,L12,ACTIVE,,MONTGOMERY,114,12/19/07,7/8/19,0,"COTTAGES OF CLAYTON, INC. THE",,,,,,1,2
COTTINGHAM RETIREMENT COMMUNITY,OHL01626,1792R,,5135633600,5135633717,sowens@cottinghamcare.com,SL-R,3995 COTTINGHAM DRIVE,CINCINNATI,OH,45241,L12,ACTIVE,,HAMILTON,141,12/1/84,2/21/03,0,"DEACONESS LONG TERM CARE, INC.",5135633600,3995 COTTINGHAM DR,CINCINNATI,OH,45241,0,1
COTTINGHAM RETIREMENT COMMUNITY,OHL01626,1792R,,5135633600,5135633717,sowens@cottinghamcare.com,SL-R,3995 COTTINGHAM DRIVE,CINCINNATI,OH,45241,L12,ACTIVE,,HAMILTON,141,12/1/84,2/21/03,0,"COTTINGHAM OPERATIONS, LLC",,3995 COTTINGHAM DR,CINCINNATI,OH,45241,1,2
COUNTRY CLUB CENTER II,OHL00971,1690R,,7403972350,7403931197,thead@ccrcii.com,SL-R,1350 YAUGER ROAD,MOUNT VERNON,OH,43050,L12,ACTIVE,,KNOX,58,4/1/79,5/13/15,0,"MOUNT VERNON ELDERLY SERVICES, INC.",7403972350,1350 YAUGER RD,MOUNT VERNON,OH,43050,0,2
COUNTRY CLUB CENTER II,OHL00971,1690R,,7403972350,7403931197,thead@ccrcii.com,SL-R,1350 YAUGER ROAD,MOUNT VERNON,OH,43050,L12,ACTIVE,,KNOX,58,4/1/79,5/13/15,0,"MOUNT VERNON HOUSING, LTD",,,,,,1,2
"COUNTRY CLUB CENTER/HOMES, INC",OHL01491,1601R,,3303435568,3303430514,administrator@ccrc1.com,SL-R,860 IRON AVENUE,DOVER,OH,44622,L12,ACTIVE,,TUSCARAWAS,169,3/11/98,7/17/17,0,"COUNTRY CLUB CENTER/HOMES, INC",3303435568,860 IRON AVE,DOVER,OH,44622,1,2
COUNTRY CLUB RETIREMENT CENTER,OHL01345,1858R,,7406762300,7406761277,administrator@ccrciv.com,SL-R,55801 CONNO-MARA DRIVE,BELLAIRE,OH,43906,L12,ACTIVE,,BELMONT,74,6/1/86,11/22/05,0,"COUNTRY CLUB RETIREMENT CENTER IV, INC.",7406762300,55801 CONNO-MARA DR,BELLAIRE,OH,43906,1,2
COUNTRY CLUB RETIREMENT CENTER III,OHL00042,1794R,,4409920022,4409927423,officemanager@ccrciii.com,SL-R,925 EAST 26TH STREET,ASHTABULA,OH,44004,L12,ACTIVE,,ASHTABULA,67,6/19/84,8/7/13,0,"COUNTRY CLUB RETIREMENT CENTER, INC.",4409920022,925 EAST 26TH ST,ASHTABULA,OH,44004,1,2
COUNTRY CLUB RETIREMENT CENTER III,OHL00042,1794R,,4409920022,4409927423,officemanager@ccrciii.com,SL-R,925 EAST 26TH STREET,ASHTABULA,OH,44004,L12,ACTIVE,,ASHTABULA,67,6/19/84,8/7/13,0,COUNTRY CLUB RETIREMENT CENTER II,,1350 YAUGER ROAD,MT VERNON,OH,43050,0,
COUNTRY CLUB RETIREMENT CENTER III,OHL00042,1794R,,4409920022,4409927423,officemanager@ccrciii.com,SL-R,925 EAST 26TH STREET,ASHTABULA,OH,44004,L12,ACTIVE,,ASHTABULA,67,6/19/84,8/7/13,0,COUNTRY CLUB RETIREMENT CENTER I,,860 IRON AVE,DOVER,OH,44622,0,
COUNTRY INN ENHANCED LIVING CENTER,OHL32982,2398R,,4193992345,4193992341,msinn4699@hotmail.com,SL-R,12651 ROAD 82,PAULDING,OH,45879,L12,ACTIVE,,PAULDING,48,9/7/04,12/3/19,0,APOSTOLIC CHRISTIAN COUNTRY VILLA,,12783 C.R. 82,PAULDING,OH,45879,0,2
COUNTRY LIVING,OHL39995,2339R,,7408586327,7408586327,ssu54@yahoo.com,SL-R,13028 W US HIGHWAY 52,PORTSMOUTH,OH,45663,L12,ACTIVE,,SCIOTO,42,2/19/02,2/19/02,0,REBECCA & JAMES MONTLER,,,,,,0,
COUNTRYSIDE AT THE ELMWOOD,OHL41772,2662R,,3305688127,3305688084,jsee@chcccompanies.com,SL-R,871 ELMWOOD DRIVE,HUBBARD,OH,44425,L12,ACTIVE,,TRUMBULL,136,10/28/14,10/17/17,0,"ELMWOOD ASSISTED LIVING, LLC",,,,,,1,2
COURT HOUSE MANOR,OHL42125,2601R,,7403359290,7403353394,administrator@courthousemanor.com,SL-R,555 NORTH GLENN AVENUE,WASHINGTON COURT HOU,OH,43160,L12,ACTIVE,,FAYETTE,48,6/20/18,6/20/18,0,"HCF OF WASHINGTON, INC.",,,,,,1,2
COURTYARD AT SEASONS,OHL01916,1888R,,5139849400,5139841880,ncarson@seniorlifestyle.com,SL-R,7100 DEARWESTER DRIVE,CINCINNATI,OH,45236,L12,ACTIVE,,HAMILTON,166,2/22/89,10/8/02,0,"GA HC REIT II SEASONS TRS SUB, LLC",,,,,,1,2
CREEKSIDE AT THE VILLAGE,OHL40343,2432R,,6145595500,6145595638,bweinschneider@whv.org,SL-R,2200 WELCOME PLACE,COLUMBUS,OH,43209,L12,ACTIVE,,FRANKLIN,138,12/9/05,6/16/06,0,CREEKSIDE AT THE VILLAGE,6145590304,2200 WELCOME PLACE,COLUMBUS,OH,43209,1,2
CROSSROADS AT BEAVER CREEK INC,OHL40763,2485R,,3303582211,3303858877,info@crossroadsal.com,SL-R,13280 ECHO DELL ROAD,EAST LIVERPOOL,OH,43920,L12,ACTIVE,,COLUMBIANA,110,1/24/08,1/26/15,0,"CROSSROADS AT BEAVER CREEK, INC.",,,,,,1,2
CROWN CENTER AT LAUREL LAKE,OHL00053,1903R,,3306551753,3306551701,tarmagno@laurellake.org,SL-R,200 LAUREL LAKE DRIVE,HUDSON,OH,44236,L12,ACTIVE,,SUMMIT,67,12/22/88,12/7/04,0,CATHOLIC HEALTHCARE PARTNERS,,615 ELSINORE PLACE,CINCINNATI,OH,45206,0,2
CROWN CENTER AT LAUREL LAKE,OHL00053,1903R,,3306551753,3306551701,tarmagno@laurellake.org,SL-R,200 LAUREL LAKE DRIVE,HUDSON,OH,44236,L12,ACTIVE,,SUMMIT,67,12/22/88,12/7/04,0,"LAUREL LAKE RETIREMENT COMMUNITY, INC.",3306551402,200 LAUREL LAKE DR,HUDSON,OH,44236,1,2
CYPRESS POINTE HEALTH CAMPUS,OHL41364,2561R,,9378363149,9378363158,tony.valentine@cypresspointehs.com,SL-R,600 WEST NATIONAL ROAD,ENGLEWOOD,OH,45322,L12,ACTIVE,,MONTGOMERY,58,2/25/10,2/11/20,0,"TRILOGY HEALTHCARE OF MONTGOMERY, LLC",,,,,,1,
"DANBURY AT CARRIAGE TRAILS, LLC",OHL42105,2813R,,9372151851,9376670035,dbossart@danburyseniorliving.com,SL-R,8001 RED BUCKEYE DRIVE,TIPP CITY,OH,45371,L12,ACTIVE,,MIAMI,133,4/26/18,4/23/18,0,"BROOKWOOD MANAGEMENT COMPANY, LLC",3304978686,1201 SOUTH MAIN STREET,NORTH CANTON,OH,44720,1,2
DANBURY MILLERSBURG,OHL42323,2920R,,3304137166,3304736861,ddavis@danburyseniorliving.com,SL-R,4245 GLEN DRIVE,MILLERSBURG,OH,44654,L12,ACTIVE,,HOLMES,115,6/10/21,6/10/21,0,"BROOKWOOD MANAGEMENT COMPANY, LLC",3304978686,1201 SOUTH MAIN STREET,NORTH CANTON,OH,44720,1,2
DANBURY OF BRUNSWICK,OHL42075,2798R,,3304604244,3307414202,phaney@danburyseniorliving.com,SL-R,3430 BRUNSWICK LAKE PARKWAY,BRUNSWICK,OH,44212,L12,ACTIVE,,MEDINA,133,12/6/17,12/6/17,0,"BROOKWOOD MANAGEMENT COMPANY, LLC",3304978686,1201 SOUTH MAIN STREET,NORTH CANTON,OH,44720,1,2
DANBURY OF NORTH RIDGEVILLE,OHL42245,2883R,,4405963797,4405963796,msosinski@danburyseniorliving.com,SL-R,33770 BAGLEY ROAD,NORTH RIDGEVILLE,OH,44039,L12,ACTIVE,,LORAIN,144,2/18/20,2/18/20,0,"BROOKWOOD MANAGEMENT COMPANY, LLC",3304978686,1201 SOUTH MAIN STREET,NORTH CANTON,OH,44720,1,2
DANBURY SENIOR LIVING,OHL41854,2691R,,6143390459,6145153664,ccrossetti@danburyseniorliving.com,SL-R,2870 SNOUFFER ROAD,COLUMBUS,OH,43235,L12,ACTIVE,,FRANKLIN,133,4/1/15,4/1/15,0,"AUTUMN CHASE COLUMBUS NORTH, LTD",,,,,,1,2
DANBURY SENIOR LIVING BROADVIEW HEIGHTS,OHL41913,2723R,,4405963047,4405264505,kaneshansel@danburyseniorliving.com,SL-R,9500 BROADVIEW ROAD,BROADVIEW HEIGHTS,OH,44147,L12,ACTIVE,,CUYAHOGA,171,12/21/15,1/17/19,0,"BROADVIEW HEIGHTS SENIOR LIVING, LLC",,,,,,1,2
DANBURY SENIOR LIVING MASSILLON,OHL41957,2742R,,3308337229,3307063510,nhively@danburyseniorliving.com,SL-R,2550 UNIVERSITY DRIVE SE,MASSILLON,OH,44646,L12,ACTIVE,,STARK,138,6/20/16,6/20/16,0,"MASSILLON SENIOR LIVING, LTD",,,,,,1,2
DANBURY WOODS,OHL41648,2615R,,3309403000,3309403007,amoore@damburyseniorliving.com,SL-R,1691 QUEENS GATE CIRCLE,CUYAHOGA FALLS,OH,44221,L12,ACTIVE,,SUMMIT,46,11/2/12,11/2/12,0,DANBURY WOODS LTD,,,,,,1,2
"DANBURY WOODS AT GREENFIELD CROSSING, LLC",OHL41766,2660R,,3302640355,3302640595,lhess@danburyseniorliving.com,SL-R,939 PORTAGE ROAD,WOOSTER,OH,44691,L12,ACTIVE,,WAYNE,126,3/11/14,7/7/17,0,"DANBURY WOODS AT GREENFIELD CROSSING, LLC",,,,,,1,2
DAYVIEW ASSISTED LIVING,OHL41294,2553R,,9378458219,9378452404,sfolker@vancrest.com,SL-R,1885 N DAYTON-LAKEVIEW RD,NEW CARLISLE,OH,45344,L12,ACTIVE,,CLARK,32,10/30/09,10/24/16,0,"NEW CARLISLE HEALTH FACILITIES, LLC",,,,,,1,1
DEUPREE HOUSE II - RESIDENTIAL CARE FACILITY,OHL41362,2560R,,5135616363,5132710157,awilliams@erslife.org,SL-R,3939 ERIE AVENUE,CINCINNATI,OH,45208,L12,ACTIVE,,HAMILTON,120,3/4/10,3/4/10,0,"EPISCOPAL RETIREMENT HOMES, INC.",5132720600,4001 ROSSLYN DRIVE,CINCINNATI,OH,45209,1,1
DEVON OAKS,OHL39991,2315R,,4402502300,4408080838,agasparro@elizajen.org,SL-R,2345 CROCKER ROAD,WESTLAKE,OH,44145,L12,ACTIVE,,CUYAHOGA,100,11/28/00,2/4/02,0,ELIZA JENNINGS GROUP THE,,,,,,1,
DEWOLFE PLACE,OHL01165,2108R,,7403879817,7403872320,jmorgan1@enlivant.com,SL-R,1140 WILSON AVENUE,MARION,OH,43302,L12,ACTIVE,,MARION,45,5/27/97,2/4/02,0,DEWOLFE AID OPCO LLC,,,,,,1,2
DIAMOND VIEW RESIDENTIAL CARE,OHL00675,1457R,,4195224450,4195224552,taej1515@aol.com,SL-R,111 SOUTH DIAMOND STREET,MANSFIELD,OH,44902,L12,ACTIVE,,RICHLAND,130,5/1/71,12/18/01,0,TAEJ RESIDENTIAL CARE LIMITED LIABILITY COMPANY,4195224450,111 SOUTH DIAMOND ST,MANSFIELD,OH,44903,1,2
DIVERSICARE OF BRADFORD PLACE,OHL500113,1507R,,5138674100,5138671415,ray.sill@dvcr.com,SL-R,1302 MILLVILLE AVENUE,HAMILTON,OH,45013,L12,ACTIVE,,BUTLER,72,6/1/72,2/28/17,0,"DIVERSICARE OF BRADFORD PLACE, LLC",,,,,,1,2
DIVERSICARE OF SIENA WOODS,OHL499984,2379R,,9372788211,9372788046,john.ramsey@dvcr.com,SL-R,6105 N MAIN STREET,DAYTON,OH,45415,L12,ACTIVE,,MONTGOMERY,68,11/12/02,11/12/02,0,COMMUNITY MERCY HEALTH PARTNERS,9373907000,"1 SOUTH LIMESTONE STREET, SUITE 600",SPRINGFIELD,OH,45503,1,
DIVERSICARE OF ST THERESA,OHL500086,2011R,,5132717010,5135270181,62admn@dvcr.com,SL-R,7010 ROWAN HILL DRIVE,CINCINNATI,OH,45227,L12,ACTIVE,,HAMILTON,92,11/19/93,4/26/16,0,"DIVERSICARE OF ST. THERESA, LLC",,,,,,1,2
DIVINE LIVING OF MADISON,OHL42091,2806R,,4409693040,4404285966,charlotte@divinelivingofmadison.com,SL-R,2358 HUBBARD ROAD,MADISON,OH,44057,L12,ACTIVE,,LAKE,16,3/28/18,3/28/18,0,"DIVINE LIVING OF MADISON, LLC",,,,,,1,2
DOLLEY MADISON HOUSE,OHL41778,2664R,,3307677444,3307673452,lbyer22@gmail.com,SL-R,264 MOHICAN STREET NE,BREWSTER,OH,44613,L12,ACTIVE,,STARK,16,10/2/14,9/3/14,0,BREWSTER PARKE INC.,,,,,,1,2
DR. ROY A. BURKHART CENTER,OHL00965,1057R,,6144869511,6144813449,sgrote@nationalchurchresidences.org,SL-R,1802 RIVERSIDE DRIVE,COLUMBUS,OH,43212,L12,ACTIVE,,FRANKLIN,74,7/1/63,11/23/07,0,FIRST COMMUNITY VILLAGE,6144873999,1801 RIVERSIDE DR,COLUMBUS,OH,43212,1,2
DUBLIN ASSISTED LIVING AND MEMORY SUPPORT BY SENIO,OHL41919,2726R,,6143890308,6143891571,dnicol@seniorstar.com,SL-R,6480 POST ROAD,DUBLIN,OH,43016,L12,ACTIVE,,FRANKLIN,165,1/14/16,9/6/18,0,"DUBLIN SENIOR COMMUNITY LSP, LLC",,,,,,0,2
DUBLIN ASSISTED LIVING AND MEMORY SUPPORT BY SENIO,OHL41919,2726R,,6143890308,6143891571,dnicol@seniorstar.com,SL-R,6480 POST ROAD,DUBLIN,OH,43016,L12,ACTIVE,,FRANKLIN,165,1/14/16,9/6/18,0,"SENIOR STAR TENANT DUBLIN CARE, LLC",9185924400,1516 SOUTH BOSTON AVE- STE 301,TULSA,OK,74119,1,2
EAST PARK MEMORY CARE FACILITY,OHL41859,2695R,,2162677067,2162670603,cdykin@epretire.com,SL-R,6 EAST PARK CIRCLE,BROOK PARK,OH,44142,L12,ACTIVE,,CUYAHOGA,30,4/14/15,4/14/14,0,"EAST PARK RETIREMENT COMMUNITY, INC.",,,,,,1,2
EAST PARK RETIREMENT COMMUNITY,OHL499899,2372R,,2162677067,2162670603,cdykin@epretire.com,SL-R,6360 ELMDALE ROAD,BROOK PARK,OH,44142,L12,ACTIVE,,CUYAHOGA,80,12/12/02,1/16/07,0,"EAST PARK RETIREMENT COMMUNITY, INC.",,,,,,1,
EAST PARK RETIREMENT COMMUNITY,OHL499899,2372R,,2162677067,2162670603,cdykin@epretire.com,SL-R,6360 ELMDALE ROAD,BROOK PARK,OH,44142,L12,ACTIVE,,CUYAHOGA,80,12/12/02,1/16/07,0,OLMSTED MANOR CARE CENTER,,27500 MILL ROAD,NORTH OLMSTED,OH,44070,0,
EATON GRAND MANOR,OHL01601,0717R,,9374563640,9374562596,ohiogrouph.1@att.net,SL-R,119 WEST SOMERS STREET,EATON,OH,45320,L12,ACTIVE,,PREBLE,21,10/1/55,10/8/09,0,"NEW HORIZONS HEALTHCARE, LLC",,"4445 FOREST DRIVE, SUITE 164",CINCINNATI,OH,45242,0,2
EATON GRAND MANOR,OHL01601,0717R,,9374563640,9374562596,ohiogrouph.1@att.net,SL-R,119 WEST SOMERS STREET,EATON,OH,45320,L12,ACTIVE,,PREBLE,21,10/1/55,10/8/09,0,"OHIO GROUP HOME OF MIDDLETOWN, LLC",,,,,,1,2
