State Facility Type 1 Literal,Facility ID,Zip Code,Facility Name,Address,License Number,City,State,County,Phone Number,Capacity
ASSISTED LIVING HOME-DIRECTED,AL10379,85205,ASSISTED SENIOR LIVING CARE LLC,4149 EAST GREENWAY CIRCLE,AL10379H,MESA,AZ,MARICOPA,(480)621-6276,10
ASSISTED LIVING HOME-DIRECTED,AL11134,85254,"ASSISTED SENIOR LIVING CARE, LLC",6149 EAST THUNDERBIRD ROAD,AL11134H,SCOTTSDALE,AZ,MARICOPA,(708)237-9000,10
ASSISTED LIVING HOME-DIRECTED,AL9796,86406,ASTER ELDER CARE LLC,3861 ORO GRANDE BLVD,AL9796H,LAKE HAVASU CITY,AZ,MOHAVE,(928)706-3252,5
ASSISTED LIVING HOME-DIRECTED,AL6868,85741,"ASTERION ACRES, LLC",7008 NORTH ASTERION LANE,AL6868H,TUCSON,AZ,PIMA,(520)219-4787,10
ASSISTED LIVING HOME-DIRECTED,AL6869,85741,"ASTERION ACRES, LLC",7012 NORTH ASTERION LANE,AL6869H,TUCSON,AZ,PIMA,(520)742-4947,10
ASSISTED LIVING HOME-DIRECTED,AL11430,85266,ASTORIA ASSISTED LIVING,6828 EAST DUANE LANE,AL11430H,SCOTTSDALE,AZ,MARICOPA,(623)398-5618,8
ASSISTED LIVING HOME-DIRECTED,AL11199,85374,ASTORIA MANOR,16451 NORTH 151ST AVENUE,AL11199H,SURPRISE,AZ,MARICOPA,(623)444-4282,10
ASSISTED LIVING HOME-DIRECTED,AL11624,85028,AT HOME CHOLLA,3429 EAST CHOLLA STREET,AL11624H,PHOENIX,AZ,MARICOPA,(602)403-2735,10
ASSISTED LIVING HOME-DIRECTED,AL10854,85254,AT HOME IN SCOTTSDALE,13650 NORTH 57TH PLACE,AL10854H,SCOTTSDALE,AZ,MARICOPA,(602)403-2735,10
ASSISTED LIVING HOME-DIRECTED,AL11145,85028,AT HOME IN SHEA,2901 EAST NORTH LANE,AL11145H,PHOENIX,AZ,MARICOPA,(602)403-2735,10
ASSISTED LIVING HOME-DIRECTED,AL6526,85338,ATLANTIS II ASSISTED LIVING,16195 WEST GLENROSA AVENUE,AL6526H,GOODYEAR,AZ,MARICOPA,(623)518-3035,10
ASSISTED LIVING HOME-DIRECTED,AL4918,85704,"ATRIUM ASSISTED LIVING, LLC",1302 WEST WHISPERING HILLS,AL4918H,TUCSON,AZ,PIMA,(520)888-4400,9
ASSISTED LIVING HOME-DIRECTED,AL4650,85040,AUDREY'S ADULT CARE HOME I,4031 EAST FAWN DRIVE,AL4650H,PHOENIX,AZ,MARICOPA,(602)431-1109,10
ASSISTED LIVING HOME-DIRECTED,AL2198,85282,AUDREYS ADULT CARE HOME,1898 EAST ELLIS,AL2198H,TEMPE,AZ,MARICOPA,(480)777-8241,10
ASSISTED LIVING HOME-DIRECTED,AL11521,85209,AUGUSTA ASSISTED LIVING HOME,9562 EAST LINDNER AVENUE,AL11521H,MESA,AZ,MARICOPA,(480)584-4962,5
ASSISTED LIVING HOME-DIRECTED,AL5963,85710,AUTUMN HOUSE,2002 SOUTH CATHY AVENUE,AL5963H,TUCSON,AZ,PIMA,(520)747-0116,10
ASSISTED LIVING HOME-DIRECTED,AL10744,85308,"AVALON CARES OF ARIZONA, LLC",4219 WEST VILLA MARIA DRIVE,AL10744H,GLENDALE,AZ,MARICOPA,(602)348-4164,10
ASSISTED LIVING HOME-DIRECTED,AL11402,85284,AVANA ASSISTED LIVING,44 WEST KNIGHT LANE,AL11402H,TEMPE,AZ,MARICOPA,(480)586-3049,10
ASSISTED LIVING HOME-DIRECTED,AL11172,85254,AVANT ONE SENIOR HOMES LLC,12201 NORTH 61ST STREET,AL11172H,SCOTTSDALE,AZ,MARICOPA,(609)800-4719,10
ASSISTED LIVING HOME-DIRECTED,AL9456,85745,"AVRA VALLEY ASSISTED LIVING HOME, LLC",1621 NORTH SILVERBELL ROAD,AL9456H,TUCSON,AZ,PIMA,(520)622-0488,10
ASSISTED LIVING HOME-DIRECTED,AL11536,85142,"AZ ASSISTED LIVING, LLC",21894 SOUTH 199TH WAY,AL11536H,QUEEN CREEK,AZ,MARICOPA,(480)439-4000,10
ASSISTED LIVING HOME-DIRECTED,AL11501,85383,AZ HAPPY VALLEY ROYAL CARE HOME LLC,8307 WEST MISTY WILLOW LANE,AL11501H,PEORIA,AZ,MARICOPA,(623)687-8248,10
ASSISTED LIVING HOME-DIRECTED,AL11102,85209,AZ JOYFUL LIVING,2122 SOUTH 106TH PLACE,AL11102H,MESA,AZ,MARICOPA,(480)708-1613,10
ASSISTED LIVING HOME-DIRECTED,AL10775,85383,"AZ LIFE ASSISTED LIVING HOME II, LLC",9438 WEST DONALD DRIVE,AL10775H,PEORIA,AZ,MARICOPA,(480)319-5749,10
ASSISTED LIVING HOME-DIRECTED,AL9036,85382,AZ LIFE ASSISTED LIVING HOME LLC,9574 WEST ALBERT LANE,AL9036H,PEORIA,AZ,MARICOPA,(623)986-1740,10
ASSISTED LIVING HOME-DIRECTED,AL9516,85249,"AZ LOTUS VALLEY ASSISTED LIVING HOME, INC.",6120 SOUTH KIMBERLEE WAY,AL9516H,CHANDLER,AZ,MARICOPA,(480)629-5318,5
ASSISTED LIVING HOME-DIRECTED,AL10676,85286,AZ OHANA CARE HOME 2,1360 SOUTH JESSE STREET,AL10676H,CHANDLER,AZ,MARICOPA,(808)381-0119,10
ASSISTED LIVING HOME-DIRECTED,AL9529,85374,"AZ TENDER LOVING CARE HOME, LLC",13217 WEST RIMROCK STREET,AL9529H,SURPRISE,AZ,MARICOPA,(602)930-1814,10
ASSISTED LIVING HOME-DIRECTED,AL10887,85298,AZALEA ASSISTED LIVING LLC,3281 EAST AZALEA DRIVE,AL10887H,GILBERT,AZ,MARICOPA,(480)221-8542,10
ASSISTED LIVING HOME-DIRECTED,AL11549,85704,AZI HOUSE LLC,2001 WEST CASSIM LANE,AL11549H,TUCSON,AZ,PIMA,(240)643-0815,10
ASSISTED LIVING HOME-DIRECTED,AL10104,85715,"AZURE CARE HOME, LLC",1955 NORTH ONEIDA DRIVE,AL10104H,TUCSON,AZ,PIMA,(520)989-3901,5
ASSISTED LIVING HOME-DIRECTED,AL11509,85715,"AZURE CARE HOME, LLC",8240 EAST KEUKA COURT,AL11509H,TUCSON,AZ,PIMA,(520)461-2116,5
ASSISTED LIVING HOME-DIRECTED,AL2273,85284,B & H ADULT CARE HOME,7623 SOUTH KENWOOD LANE,AL2273H,TEMPE,AZ,MARICOPA,(480)897-1308,5
ASSISTED LIVING HOME-DIRECTED,AL1080,85282,B AND H ADULT CARE HOME,1884 EAST GREENWAY DRIVE,AL1080H,TEMPE,AZ,MARICOPA,(480)777-7291,10
ASSISTED LIVING HOME-DIRECTED,AL6945,85013,B S D HOME CARE LLC,1413 WEST SAN MIGUEL AVENUE,AL6945H,PHOENIX,AZ,MARICOPA,(602)336-0882,5
ASSISTED LIVING HOME-DIRECTED,AL11778,85710,BANSA ENTERPRISES INC,617 SOUTH DESERT STEPPES DRIVE,AL11778H,TUCSON,AZ,PIMA,(520)891-0513,10
ASSISTED LIVING HOME-DIRECTED,AL10208,85209,BARAKA AT ROSEGARDEN ASSISTED LIVING,10435 EAST MONTEREY AVENUE,AL10208H,MESA,AZ,MARICOPA,(480)516-3966,5
ASSISTED LIVING HOME-DIRECTED,AL11403,85209,BARAKA AT ROSEGARDENS II ASSISTED LIVING,10702 EAST NIDO AVENUE,AL11403H,MESA,AZ,MARICOPA,(480)516-3966,5
ASSISTED LIVING HOME-DIRECTED,AL11239,85338,BARBARA JEAN'S ASST LIVING,2709 SOUTH 159TH LANE,AL11239H,GOODYEAR,AZ,MARICOPA,(623)628-2976,5
ASSISTED LIVING HOME-DIRECTED,AL9800,85339,BEAUTIFUL ASSISTED LIVING 2,5612 WEST EUCLID AVENUE,AL9800H,LAVEEN,AZ,MARICOPA,(602)410-5894,5
ASSISTED LIVING HOME-DIRECTED,AL10570,85383,BECAUSE WE CARE 2 LLC,23157 NORTH 103RD LANE,AL10570H,PEORIA,AZ,MARICOPA,(971)203-6434,10
ASSISTED LIVING HOME-DIRECTED,AL8616,85029,BEEBES ASSISTED LIVING LLC,13242 NORTH 34TH DRIVE,AL8616H,PHOENIX,AZ,MARICOPA,(602)978-8005,10
ASSISTED LIVING HOME-DIRECTED,AL2181,85254,BELL ADULT CARE HOME,5343 EAST WOODRIDGE DRIVE,AL2181H,SCOTTSDALE,AZ,MARICOPA,(602)867-7983,10
ASSISTED LIVING HOME-DIRECTED,AL11826,85029,BELLA AMORE ASSISTED LIVING LLC,3530 WEST WOOD DRIVE,AL11826H,PHOENIX,AZ,MARICOPA,(661)755-9645,9
ASSISTED LIVING HOME-DIRECTED,AL8189,85208,"BELLA VISTA ASSISTED LIVING HOME, LLC",7244 EAST FAIRVIEW AVENUE,AL8189H,MESA,AZ,MARICOPA,(480)209-1685,5
ASSISTED LIVING HOME-DIRECTED,AL10286,85286,BELLA VITA ASSISTED LIVING,1800 EAST INDIGO DRIVE,AL10286H,CHANDLER,AZ,MARICOPA,(480)772-2542,5
ASSISTED LIVING HOME-DIRECTED,AL11669,85283,BELLA VITA OF TEMPE,1859 EAST CORNELL DRIVE,AL11669H,TEMPE,AZ,MARICOPA,(480)772-2542,10
ASSISTED LIVING HOME-DIRECTED,AL11258,85021,BELLA VITA RESIDENTIAL ASSISTED LIVING LLC,1002 WEST LAS PALMARITAS DRIVE,AL11258,PHOENIX,AZ,MARICOPA,(480)770-4660,10
ASSISTED LIVING HOME-DIRECTED,AL11605,85028,BELLA VITA RESIDENTIAL ASSISTED LIVING LLC,4511 EAST CHOLLA STREET,AL11605H,PHOENIX,AZ,MARICOPA,(480)770-4660,10
ASSISTED LIVING HOME-DIRECTED,AL9766,85014,"BELLA'S CARE HOME, LLC",6805 NORTH 14TH PLACE,AL9766H,PHOENIX,AZ,MARICOPA,(602)812-7470,10
ASSISTED LIVING HOME-DIRECTED,AL10898,85234,BENZEN HEALING HANDS,1502 NORTH ROCHESTER DRIVE,AL10898H,GILBERT,AZ,MARICOPA,(480)577-4375,5
ASSISTED LIVING HOME-DIRECTED,AL6421,85249,BEREAN LOVING HOME CARE,2332 EAST JADE COURT,AL6421H,CHANDLER,AZ,MARICOPA,(480)621-6787,5
ASSISTED LIVING HOME-DIRECTED,AL9366,85379,BEST ASSISTED LIVING OF SURPRISE,13846 WEST CROCUS DRIVE,AL9366H,SURPRISE,AZ,MARICOPA,(623)628-3381,8
ASSISTED LIVING HOME-DIRECTED,AL7439,85388,BEST CARE ASSISTED LIVING,18431 WEST PORT ROYALE LANE,AL7439H,SURPRISE,AZ,MARICOPA,(623)466-0857,10
ASSISTED LIVING HOME-DIRECTED,AL10636,85023,BEST CARE HOME OF MOON VALLEY L L C,52 WEST MOON VALLEY DRIVE,AL10636H,PHOENIX,AZ,MARICOPA,(602)296-5596,5
ASSISTED LIVING HOME-DIRECTED,AL7893,85023,"BEST CARE HOME OF MOON VALLEY, L L C",44 WEST MOON VALLEY DRIVE,AL7893H,PHOENIX,AZ,MARICOPA,(602)595-0378,9
ASSISTED LIVING HOME-DIRECTED,AL11367,85226,BEST CHOICE 1 ASSISTED LIVING HOME,690 NORTH CORDOBA AVENUE,AL11367H,CHANDLER,AZ,MARICOPA,(480)240-0940,5
ASSISTED LIVING HOME-DIRECTED,AL11513,85226,BEST CHOICE 2 ASSISTED LIVING HOME,3190 WEST DRAKE STREET,AL11513H,CHANDLER,AZ,MARICOPA,(480)240-0940,5
ASSISTED LIVING HOME-DIRECTED,AL9465,85379,BEST HOME CARE OF SURPRISE LLC,14405 NORTH 151ST DRIVE,AL9465H,SURPRISE,AZ,MARICOPA,(623)328-9268,10
ASSISTED LIVING HOME-DIRECTED,AL4862,86326,BEST OF EUROPE ADULT HOME CARE L L C,1632 EAST COCONINO STREET,AL4862H,COTTONWOOD,AZ,YAVAPAI,(928)634-2856,10
ASSISTED LIVING HOME-DIRECTED,AL10564,85706,BETANIA CARE HOME,5001 SOUTH CASSIA WAY,AL10564H,TUCSON,AZ,PIMA,(520)647-2813,10
ASSISTED LIVING HOME-DIRECTED,AL11312,85373,BETHANY ASSISTED LIVING,10846 WEST DEANNA DRIVE,AL11312H,PEORIA,AZ,MARICOPA,(623)566-3697,10
ASSISTED LIVING HOME-DIRECTED,AL11480,85212,BETTER LIFE ASSISTED LIVING 2,7452 EAST ONZA AVENUE,AL11480H,MESA,AZ,MARICOPA,(480)986-6654,5
ASSISTED LIVING HOME-DIRECTED,AL10000,85249,BETTER LIFE ASSISTED LIVING LLC,4086 SOUTH BIRCH STREET,AL10000H,CHANDLER,AZ,MARICOPA,(480)664-0937,5
ASSISTED LIVING HOME-DIRECTED,AL8327,85208,"BETTER LIVING CAREHOME, LLC",9321 EAST CARMEL AVENUE,AL8327H,MESA,AZ,MARICOPA,(480)205-3595,5
ASSISTED LIVING HOME-DIRECTED,AL11802,85249,"BETTER LIVING HOME, LLC",3016 EAST BLUE RIDGE PLACE,AL11802H,CHANDLER,AZ,MARICOPA,(480)895-0360,5
ASSISTED LIVING HOME-DIRECTED,AL9836,85120,BETTER SENIOR CAREHOME LLC,1151 WEST 20TH AVENUE,AL9836H,APACHE JUNCTION,AZ,PINAL,(480)205-3595,5
ASSISTED LIVING HOME-DIRECTED,AL6493,85306,BEVERLY ASSISTED LIVING HOME,6219 WEST BEVERLY LANE,AL6493H,GLENDALE,AZ,MARICOPA,(602)350-9216,5
ASSISTED LIVING HOME-DIRECTED,AL11057,85053,BEVERLY ASSISTED LIVING I,17647 NORTH 33RD LANE,AL11057H,PHOENIX,AZ,MARICOPA,(602)350-9216,8
ASSISTED LIVING HOME-DIRECTED,AL11838,85226,BIG HEART ANGELS CARE HOME LLC,3703 WEST MEGAN STREET,AL11838H,CHANDLER,AZ,MARICOPA,(224)489-7863,5
ASSISTED LIVING HOME-DIRECTED,AL8666,85016,BILTMORE ASSISTED LIVING LLC,5100 NORTH 24TH STREET,AL8666H,PHOENIX,AZ,MARICOPA,(602)814-9575,10
ASSISTED LIVING HOME-DIRECTED,AL11787,85032,BILTMORE CARE HOME 2,17442 NORTH 28TH STREET,AL11787H,PHOENIX,AZ,MARICOPA,(480)249-6143,10
ASSISTED LIVING HOME-DIRECTED,AL8303,85018,"BILTMORE CARE HOME, LLC",3532 EAST CAMELBACK ROAD,AL8303H,PHOENIX,AZ,MARICOPA,(602)714-6510,10
ASSISTED LIVING HOME-DIRECTED,AL7282,85085,BLAYLOCK SENIOR CARE,2254 WEST BLAYLOCK DRIVE,AL7282H,PHOENIX,AZ,MARICOPA,(602)380-4600,10
ASSISTED LIVING HOME-DIRECTED,AL10737,85249,BLESSED ASSISTED LIVING,6992 SOUTH SHARON COURT,AL10737H,CHANDLER,AZ,MARICOPA,(480)659-6879,5
ASSISTED LIVING HOME-DIRECTED,AL11037,85209,BLESSED ASSISTED LIVING HOME L L C,10714 EAST NIDO AVENUE,AL11037H,MESA,AZ,MARICOPA,(480)590-1864,5
ASSISTED LIVING HOME-DIRECTED,AL11444,85209,BLESSED ASSISTED LIVING HOME LLC - MESA,10720 EAST NIDO AVENUE,AL11444H,MESA,AZ,MARICOPA,(480)593-4708,5
ASSISTED LIVING HOME-DIRECTED,AL8781,85282,"BLESSINGS OF JOY ADULT CARE HOME, LLC",2532 EAST HUNTINGTON DRIVE,AL8781H,TEMPE,AZ,MARICOPA,(480)219-8400,10
ASSISTED LIVING HOME-DIRECTED,AL10260,85382,BLISSFUL ASSISTED LIVING LLC,8222 WEST TONTO LANE,AL10260H,PEORIA,AZ,MARICOPA,(623)200-2885,4
ASSISTED LIVING HOME-DIRECTED,AL11131,85326,BLOOM ASSISTED LIVING LLC,695 SOUTH 221ST DRIVE,AL11131H,BUCKEYE,AZ,MARICOPA,(480)745-9629,4
ASSISTED LIVING HOME-DIRECTED,AL6060,85260,BLOOMFIELD HOUSE,9409 EAST BLOOMFIELD,AL6060H,SCOTTSDALE,AZ,MARICOPA,(480)661-0091,10
ASSISTED LIVING HOME-DIRECTED,AL11467,85202,BLOOMING MEADOWS,2432 WEST PORTOBELLO AVENUE,AL11467H,MESA,AZ,MARICOPA,(480)793-7971,5
ASSISTED LIVING HOME-DIRECTED,AL11599,85711,BLOSSOM VALLEY ASSISTED LIVING,5453 EAST 4TH STREET,AL11599H,TUCSON,AZ,PIMA,(520)849-8784,8
ASSISTED LIVING HOME-DIRECTED,AL9511,85374,BLUE HORIZONS ASSISTED LIVING HOME LLC,16942 WEST BRISTOL LANE,AL9511H,SURPRISE,AZ,MARICOPA,(623)556-1234,6
ASSISTED LIVING HOME-DIRECTED,AL10022,85258,BLUE LAKES ASSISTED LIVING LLC,9815 NORTH 96TH PLACE,AL10022H,SCOTTSDALE,AZ,MARICOPA,(480)361-0031,10
ASSISTED LIVING HOME-DIRECTED,AL9352,85201,"BLUE SKY MANOR, INC.",1510 WEST 5TH PLACE,AL9352H,MESA,AZ,MARICOPA,(480)649-2999,10
ASSISTED LIVING HOME-DIRECTED,AL1434,85730,BONNIE'S CARE HOME,3485 SOUTH MARISSA,AL1434H,TUCSON,AZ,PIMA,(520)722-6755,5
ASSISTED LIVING HOME-DIRECTED,AL11761,85224,BOSTON MANOR 1,1239 WEST BOSTON STREET,AL11761H,CHANDLER,AZ,MARICOPA,(480)781-2750,5
ASSISTED LIVING HOME-DIRECTED,AL8713,85710,"BRADFORD HOME, LLC, THE",710 NORTH MANN AVENUE,AL8713H,TUCSON,AZ,PIMA,(520)822-8416,10
ASSISTED LIVING HOME-DIRECTED,AL10651,85224,BRANSIE TLC HOME,2402 WEST ALAMO DRIVE,AL10651H,CHANDLER,AZ,MARICOPA,(480)656-0786,5
ASSISTED LIVING HOME-DIRECTED,AL9613,85260,BRIDGE ROYAL HOMECARE,8425 EAST CACTUS ROAD,AL9613H,SCOTTSDALE,AZ,MARICOPA,(480)993-3245,5
ASSISTED LIVING HOME-DIRECTED,AL10717,85296,BRIGHT VALLEY GROUP HOME AT ELLIOT GROVES,4245 EAST WEATHER VANE ROAD,AL10717,GILBERT,AZ,MARICOPA,(623)332-6907,10
ASSISTED LIVING HOME-DIRECTED,AL9917,85209,"BRIGHT VALLEY GROUPHOME, LLC",9452 EAST JACOB AVENUE,AL9917H,MESA,AZ,MARICOPA,(480)588-6176,8
ASSISTED LIVING HOME-DIRECTED,AL8171,85308,BRIGHTEST LIGHT SENIOR LIVING,5415 WEST SAINT JOHN ROAD,AL8171H,GLENDALE,AZ,MARICOPA,(602)354-7076,5
ASSISTED LIVING HOME-DIRECTED,AL11864,85374,BROOKHAVEN ASSISTED LIVING,15358 WEST POST CIRCLE,AL11864H,SURPRISE,AZ,MARICOPA,(408)373-9465,8
ASSISTED LIVING HOME-DIRECTED,AL9857,86315,BROOKINGS,7943 EAST GAZELLE ROAD,AL9857H,PRESCOTT VALLEY,AZ,YAVAPAI,(928)277-1210,10
ASSISTED LIVING HOME-DIRECTED,AL10885,85213,BROOKSBY ASSISTED LIVING LLC,2861 EAST QUENTON STREET,AL10885H,MESA,AZ,MARICOPA,(480)352-8071,5
ASSISTED LIVING HOME-DIRECTED,AL11481,85260,BUENAVANTE A L H,12558 NORTH 76TH STREET,AL11481H,SCOTTSDALE,AZ,MARICOPA,(480)285-9176,10
ASSISTED LIVING HOME-DIRECTED,AL11253,85381,"BURZ'S ARROWHEAD HOME CARE, LLC",8249 WEST CROCUS DRIVE,AL11253H,PEORIA,AZ,MARICOPA,(623)487-3962,10
ASSISTED LIVING HOME-DIRECTED,AL11774,85032,"CACTUS STAR 1 ASSISTED LIVING HOME, LLC",4422 EAST SHARON DRIVE,AL11774H,PHOENIX,AZ,MARICOPA,(480)295-6768,5
ASSISTED LIVING HOME-DIRECTED,AL11658,85260,CACTUS VILLA LLC,7366 EAST PARADISE DRIVE,AL11658H,SCOTTSDALE,AZ,MARICOPA,(602)668-0893,10
ASSISTED LIVING HOME-DIRECTED,AL9123,85032,CACTUS-STAR ASSISTED LIVING LLC,2929 EAST CACTUS ROAD,AL9123H,PHOENIX,AZ,MARICOPA,(602)812-3628,10
ASSISTED LIVING HOME-DIRECTED,AL6993,85298,CAISSA ASSISTED LIVING HOME INC,975 EAST LODGEPOLE DRIVE,AL6993H,GILBERT,AZ,MARICOPA,(480)247-6803,9
ASSISTED LIVING HOME-DIRECTED,AL8849,85298,CAISSA ASSISTED LIVING HOME INC,2567 EAST DONATO DRIVE,AL8849H,GILBERT,AZ,MARICOPA,(480)659-4410,10
ASSISTED LIVING HOME-DIRECTED,AL7487,85296,"CAISSA ASSISTED LIVING HOME, INC",460 EAST PHELPS STREET,AL7487H,GILBERT,AZ,MARICOPA,(480)203-2199,10
ASSISTED LIVING HOME-DIRECTED,AL11462,85297,"CAISSA ASSISTED LIVING HOME, INC.",2049 EAST CLAXTON AVENUE,AL11462H,GILBERT,AZ,MARICOPA,(480)227-0069,10
ASSISTED LIVING HOME-DIRECTED,AL6035,85296,"CAISSA ASSISTED LIVING HOME, INC.",561 EAST VERMONT DRIVE,AL6035H,GILBERT,AZ,MARICOPA,(480)219-2025,10
ASSISTED LIVING HOME-DIRECTED,AL9084,85260,CALINI'S ALOS I I,10610 NORTH 84TH STREET,AL9084H,SCOTTSDALE,AZ,MARICOPA,(480)219-8554,5
ASSISTED LIVING HOME-DIRECTED,AL6949,85260,CALLINI'S ASSISTED LIVING,8139 EAST CHOLLA STREET,AL6949H,SCOTTSDALE,AZ,MARICOPA,(480)656-3933,10
ASSISTED LIVING HOME-DIRECTED,AL7776,85226,"CAM ASSISTED LIVING HOME, LLC",3351 WEST ROSS DRIVE,AL7776H,CHANDLER,AZ,MARICOPA,(480)284-7179,5
ASSISTED LIVING HOME-DIRECTED,AL11275,85395,CAMI ASSISTED LIVING HOME LLC,14335 WEST CORONADO ROAD,AL11275H,GOODYEAR,AZ,MARICOPA,(623)440-2304,10
ASSISTED LIVING HOME-DIRECTED,AL11032,85295,CANYON CREEK ASSISTED LIVING & MEMORY CARE,369 EAST CANYON CREEK DRIVE,AL11032H,GILBERT,AZ,MARICOPA,(480)266-4003,10
ASSISTED LIVING HOME-DIRECTED,AL8811,85286,CANYON OAKS ASSISTED LIVING LLC,1890 EAST WOODSMAN PLACE,AL8811H,CHANDLER,AZ,MARICOPA,(480)696-4158,5
ASSISTED LIVING HOME-DIRECTED,AL4278,85718,CANYON VIEW ADULT CARE HOME,1331 EAST SOBRE LOMAS,AL4278H,TUCSON,AZ,PIMA,(520)232-1107,10
ASSISTED LIVING HOME-DIRECTED,AL11540,85379,CARE FIRST - GROUP HOME,14335 WEST YUCATAN STREET,AL11540H,SURPRISE,AZ,MARICOPA,(602)367-6491,10
ASSISTED LIVING HOME-DIRECTED,AL8620,85714,"CARE HAVEN #1 TREJO, LLC",4445 SOUTH 15TH AVENUE,AL8620H,TUCSON,AZ,PIMA,(520)741-8161,10
ASSISTED LIVING HOME-DIRECTED,AL8467,85713,CARE HAVEN TREJO LLC,1625 SOUTH SAN JOAQUIN AVENUE,AL8467H,TUCSON,AZ,PIMA,(520)791-7599,10
ASSISTED LIVING HOME-DIRECTED,AL9545,85029,CARE MORE ASSISTED LIVING,2532 WEST LARKSPUR DRIVE,AL9545H,PHOENIX,AZ,MARICOPA,(602)570-4504,8
ASSISTED LIVING HOME-DIRECTED,AL11123,85037,CAREE ADULT HOME L L C,2509 NORTH 87TH AVENUE,AL11123H,PHOENIX,AZ,MARICOPA,(480)326-2725,5
ASSISTED LIVING HOME-DIRECTED,AL10982,85086,CAREFREE HEIGHT ASSISTED LIVING,35720 NORTH 34TH DRIVE,AL10982H,PHOENIX,AZ,MARICOPA,(623)214-9262,5
ASSISTED LIVING HOME-DIRECTED,AL9257,85377,"CAREFREE MANOR ASSISTED LIVING, LLC",7886 EAST BREATHLESS DRIVE,AL9257H,CAREFREE,AZ,MARICOPA,(480)595-5800,10
ASSISTED LIVING HOME-DIRECTED,AL11126,85254,CAREMERIDIAN LLC,6512 EAST LUDLOW DRIVE,AL11126H,SCOTTSDALE,AZ,MARICOPA,(480)699-3731,8
ASSISTED LIVING HOME-DIRECTED,AL6859,85361,CARING ANGELS ASSISTED LIVING HOME,28428 NORTH RAMBLING ROCK COURT,AL6859H,WITTMANN,AZ,MARICOPA,(623)628-0372,9
ASSISTED LIVING HOME-DIRECTED,AL11096,85286,"CARING ANGELS RESIDENTIAL FOR ELDERLY, L L C",2585 EAST HONEYSUCKLE PLACE,AL11096H,CHANDLER,AZ,MARICOPA,(480)664-7249,5
ASSISTED LIVING HOME-DIRECTED,AL11412,85718,CARING AT HOME L L C,4416 NORTH CAMINO REAL,AL11412H,TUCSON,AZ,PIMA,(408)218-5512,10
ASSISTED LIVING HOME-DIRECTED,AL11439,85712,"CARING FOR GENERATIONS, LLC",4644 EAST SAN CARLOS PLACE SOUTH,AL11439H,TUCSON,AZ,PIMA,(520)490-5749,10
ASSISTED LIVING HOME-DIRECTED,AL11445,85254,CARING FOR LOVED ONES,14810 NORTH 52ND STREET,AL11445H,SCOTTSDALE,AZ,MARICOPA,(480)382-2735,10
ASSISTED LIVING HOME-DIRECTED,AL11447,85254,CARING FOR LOVED ONES,5718 EAST SHARON DRIVE,AL11447H,SCOTTSDALE,AZ,MARICOPA,(602)561-6025,5
ASSISTED LIVING HOME-DIRECTED,AL11523,85032,CARING FOR LOVED ONES,12414 NORTH 38TH STREET,AL11523H,PHOENIX,AZ,MARICOPA,(480)382-2735,10
ASSISTED LIVING HOME-DIRECTED,AL11338,85224,CARING FOR SENIORS,2120 WEST SHANNON STREET,AL11338H,CHANDLER,AZ,MARICOPA,(480)912-0125,5
ASSISTED LIVING HOME-DIRECTED,AL10278,85711,CARING HANDS COMFORT ASSISTED LIVING HOME LLC,5527 EAST HAWTHORNE STREET,AL10278H,TUCSON,AZ,PIMA,(520)838-0018,10
ASSISTED LIVING HOME-DIRECTED,AL10526,86351,CARING HAVEN HOMES TWO,1100 VERDE VALLEY SCHOOL ROAD,AL10526H,SEDONA,AZ,COCONINO,(913)302-1785,10
ASSISTED LIVING HOME-DIRECTED,AL9134,85713,CARING HEARTS ASSISTED LIVING HOME,411 EAST 34TH STREET,AL9134H,TUCSON,AZ,PIMA,(520)269-6708,8
ASSISTED LIVING HOME-DIRECTED,AL8959,85224,CARING HEARTS ASSISTED LIVING LLC,2370 WEST MEGAN STREET,AL8959H,CHANDLER,AZ,MARICOPA,(480)370-9842,5
ASSISTED LIVING HOME-DIRECTED,AL6478,85374,CARING HEARTS SENIOR CARE,15363 WEST MEMORY LANE,AL6478H,SURPRISE,AZ,MARICOPA,(623)570-0211,8
ASSISTED LIVING HOME-DIRECTED,AL8747,85379,CARMEN'S SENIOR CARE HOME,14072 WEST ASTER DRIVE,AL8747H,SURPRISE,AZ,MARICOPA,(623)202-4335,8
ASSISTED LIVING HOME-DIRECTED,AL9804,85711,"CARRINGTON ASSISTED LIVING, LLC",4329 EAST 14TH STREET,AL9804H,TUCSON,AZ,PIMA,(520)325-6000,10
ASSISTED LIVING HOME-DIRECTED,AL10335,85225,CASA APLAYA #4,1091 EAST KENT PLACE,AL10335H,CHANDLER,AZ,MARICOPA,(480)687-0147,5
ASSISTED LIVING HOME-DIRECTED,AL11473,85286,"CASA BUENA ASSISTED LIVING, LLC",2391 WEST THOMPSON WAY,AL11473H,CHANDLER,AZ,MARICOPA,(480)534-6523,5
ASSISTED LIVING HOME-DIRECTED,AL4812,85260,CASA BUENAVANTE,7741 EAST CHARTER OAK ROAD,AL4812H,SCOTTSDALE,AZ,MARICOPA,(480)483-4747,10
