rundate,subtype,FACID,FACTYPE,ZIP,LEGALNAME,ADDRESS,LICENSE,LICENSE_EFFECTIVE,LICENSE_EXPIRATION,CITY,state,COUNTY,TELEPHONE,FAXPHONE,CAPACITY,MCAID_CERT,Supp_Service_Provided,N_LON,N_LAT,N_MCODE,N_LCODE,N_BLOCK
44348,ASSISTED LIVING CENTER-DIRECTED,AL11644,1J1,85207,HERITAGE VILLAGE BLDG 1,8035 EAST BROWN ROAD,AL11644C,44145,44500,MESA,AZ,MARICOPA,(480)686-8540,(480)686-8022,24,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10534,1J1,85207,HERITAGE VILLAGE BLDG 2,"8035 EAST BROWN ROAD, BUILDING 2",AL10534C,44075,44439,MESA,AZ,MARICOPA,(480)686-8540,(480)686-8022,24,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10536,1J1,85207,HERITAGE VILLAGE BLDG 3,"8035 EAST BROWN ROAD, BUILDING 3",AL10536C,44075,44439,MESA,AZ,MARICOPA,(480)686-8540,(480)686-8022,24,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10535,1J1,85207,HERITAGE VILLAGE BLDG 5,"8035 EAST BROWN ROAD, BUILDING 5",AL10535C,44075,44439,MESA,AZ,MARICOPA,(480)686-8540,(480)686-8022,24,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10537,1J1,85207,HERITAGE VILLAGE BLDG 6,"8035 EAST BROWN ROAD, BUILDING 6",AL10537C,44075,44439,MESA,AZ,MARICOPA,(480)686-8540,(480)686-8022,24,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10753,1J1,85207,HERITAGE VILLAGE BLDG 7,"8035 EAST BROWN ROAD, BUILDING 7",AL10753C,44166,44530,MESA,AZ,MARICOPA,(480)686-8540,(480)686-8022,24,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10754,1J1,85207,HERITAGE VILLAGE BLDG 8,"8035 EAST BROWN ROAD, BUILDING 8",AL10754C,44166,44530,MESA,AZ,MARICOPA,(480)686-8540,(480)686-8022,24,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11645,1J1,85207,HERITAGE VILLAGE BLDG 9,8035 EAST BROWN ROAD,AL11645C,44145,44500,MESA,AZ,MARICOPA,(480)686-8540,(480)686-8022,24,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL8333,1J1,86301,HIGHGATE SENIOR LIVING OF PRESCOTT LAKES,1600 PETROGLYPH POINTE DRIVE,AL8333C,44105,44469,PRESCOTT,AZ,YAVAPAI,(928)541-1400,(928)541-1410,97,,,-112.435997,34.582124,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL0962,1J1,85614,HOLMLUND ASSISTED LIVING SUITES AT LA POSADA,"700, 730 AND 750 SOUTH LA POSADA CIRCLE",AL0962C,43922,44651,GREEN VALLEY,AZ,PIMA,(520)648-8400,(520)648-8469,176,,,-110.980583,31.859317,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL9305,1J1,86045,HOPI ASSISTED LIVING FACILITY,"21 SENIOR LANE, NE HOPI SUBDIVISION,",AL9305C,43983,44712,TUBA CITY,AZ,COCONINO,(928)283-8780,(928)283-8787,16,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL0227,1J1,85021,HUGER MERCY LIVING CENTER,2345 WEST ORANGEWOOD AVENUE,AL0227C,43983,44712,PHOENIX,AZ,MARICOPA,(602)406-5600,(602)406-5620,48,T,,-112.109089,33.545723,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL0976,1J1,85345,IMMANUEL CAMPUS OF CARE,11295 NORTH 99TH AVENUE,AL0976C,43922,44651,PEORIA,AZ,MARICOPA,(623)977-8373,(623)876-6133,210,,,-112.272384,33.585165,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11082,1J1,85308,INSPIRA ARROWHEAD,20240 NORTH 78TH AVENUE,AL11082C,44013,44742,GLENDALE,AZ,MARICOPA,(623)235-6400,(623)235-6401,200,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL9757,1J1,86406,JASMINE PLACE,3076 SHOSHONE DRIVE,AL9757C,43983,44712,LAKE HAVASU CITY,AZ,MOHAVE,(928)680-1701,(928)680-1575,43,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11003,1J1,86442,JOSHUA SPRINGS SENIOR LIVING,2995 DESERT SKY BOULEVARD,AL11003C,43862,44592,BULLHEAD CITY,AZ,MOHAVE,(928)763-1212,(520)797-7757,120,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL6929,1J1,85260,JUNE AND FRANK SACKTON ASSISTED LIVING APARTMENTS AT WESTMINSTER VILLAGE,12000 NORTH 90TH STREET,AL6929C,43952,44681,SCOTTSDALE,AZ,MARICOPA,(480)451-2094,(480)451-2057,30,,,-111.887183,33.596174,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL9069,1J1,85374,KINGSWOOD PLACE,15155 WEST MONDELL ROAD,AL9069C,44013,44742,SURPRISE,AZ,MARICOPA,(623)214-6109,(623)214-4912,62,,,-112.38444,33.64146,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL5986,1J1,85018,KIVEL MANOR ASSISTED LIVING CENTER,3040 NORTH 36TH STREET,AL5986C,44013,44742,PHOENIX,AZ,MARICOPA,(602)443-8014,(602)956-6589,53,T,,-112.004373,33.483067,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11734,1J1,86403,LAKE VIEW TERRACE MEMORY CARE RESIDENCE,320 NORTH LAKE HAVASU AVENUE,AL11734C,44266,44620,HAVASU CITY,AZ,MOHAVE,(928)855-8099,(   )   -,72,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL9771,1J1,86301,LAS FUENTES RESORT VILLAGE,1035 SCOTT DRIVE,AL9771C,44013,44742,PRESCOTT,AZ,YAVAPAI,(928)445-9300,(928)445-9304,84,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11154,1J1,85207,LAS PALOMAS SENIOR LIVING,9050 EAST BROWN ROAD,AL11154C,44077,44439,MESA,AZ,MARICOPA,(480)586-3373,(480)590-1747,111,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10586,1J1,85392,LEGACY HOUSE AVONDALE,2635 NORTH DYSART ROAD,AL10586C,43922,44651,AVONDALE,AZ,MARICOPA,(623)478-3800,(623)235-6600,195,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL7495,1J1,85215,LEGACY RETIREMENT RESIDENCE,5625 EAST MCKELLIPS,AL7495C,43891,44620,MESA,AZ,MARICOPA,(480)985-0300,(480)985-0302,170,,,-111.70829,33.451722,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11712,1J1,85258,LEGACY VILLAGE OF SALT RIVER,8170 NORTH 90TH STREET,AL11712,44222,44561,SCOTTSDALE,AZ,MARICOPA,(480)527-2000,(   )   -,235,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL9740,1J1,85363,LIFESTREAM COMPLETE SENIOR LIVING AT COOK HEALTH CARE ASSISTED LIVING,"11527 WEST PEORIA AVENUE, SUITE 500",AL9740C,44105,44469,YOUNGTOWN,AZ,MARICOPA,(623)933-4683,(623)972-7320,24,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10638,1J1,85266,LONE MOUNTAIN MEMORY CARE,7171 EAST LONE MOUNTAIN ROAD,AL10638C,43891,44620,SCOTTSDALE,AZ,MARICOPA,(480)488-0309,(480)488-3979,56,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL1205,1J1,85302,"MANORS AT GLENCROFT, THE",8611 NORTH 67TH AVENUE,AL1205C,43891,44620,GLENDALE,AZ,MARICOPA,(623)939-9475,(623)847-3051,80,,,-112.202776,33.561333,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL8636,1J1,85255,MARAVILLA SCOTTSDALE,7375 EAST PRINCESS BOULEVARD,AL8636C,43952,44681,SCOTTSDALE,AZ,MARICOPA,(480)538-5600,(480)538-5154,84,,,-111.92285,33.646714,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL2349,1J1,86305,MARGARET T MORRIS CENTER,878 SUNSET AVENUE,AL2349C,43831,44561,PRESCOTT,AZ,YAVAPAI,(928)445-6633,(928)445-5368,57,,,-112.484967,34.55594,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10795,1J1,85037,MARIPOSA POINT AT ALGODON CENTER,3100 NORTH 91ST AVENUE,AL10795C,44013,44742,PHOENIX,AZ,MARICOPA,(469)619-5372,(972)385-0029,124,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10307,1J1,85297,MARIPOSA POINT OF GILBERT,1445 EAST WILLIS ROAD,AL10307C,43922,44651,GILBERT,AZ,MARICOPA,(480)545-8900,(972)385-0029,121,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10525,1J1,85209,MARIPOSA POINT OF MESA,1248 SOUTH CRISMON ROAD,AL10525C,44105,44469,MESA,AZ,MARICOPA,(480)331-9957,(972)385-0029,121,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10314,1J1,85374,MARIPOSA POINT OF SURPRISE,16650 NORTH STADIUM WAY,AL10314C,43952,44681,SURPRISE,AZ,MARICOPA,(623)561-7728,(972)385-0029,90,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL8829,1J1,85013,MARYLAND GARDENS CARE CENTER,31 WEST MARYLAND AVENUE,AL8829C,44166,44530,PHOENIX,AZ,MARICOPA,(602)265-7484,(602)279-6030,40,,BEHAVIORAL HEALTH SERVICE,-112.074671,33.530916,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL4769,1J1,85282,MEMORY CARE ASSISTED LIVING AT FRIENDSHIP VILLAGE TEMPE,2525 EAST SOUTHERN AVENUE,AL4769C,43983,44712,TEMPE,AZ,MARICOPA,(480)756-5800,(480)756-5860,24,,,-111.883972,33.392861,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10298,1J1,85086,MERRILL GARDENS AT ANTHEM,2800 WEST ROSE CANYON CIRCLE,AL10298C,43922,44651,ANTHEM,AZ,MARICOPA,(623)344-7800,(623)465-1285,149,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10865,1J1,85201,MESA CHRISTIAN RESIDENTIAL CARE CENTER,215 WEST BROWN ROAD,AL10865C,44136,44500,MESA,AZ,MARICOPA,(480)668-6118,(480)962-1996,60,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL8850,1J1,85257,MIMOSA SPRINGS,8435 EAST MCDOWELL ROAD,AL8850C,44136,44500,SCOTTSDALE,AZ,MARICOPA,(480)874-5300,(480)874-5385,42,T,,-111.899863,33.465633,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL9308,1J1,85382,MONTECITO ASSISTED LIVING,17271 NORTH 87TH AVENUE,AL9308C,43862,44592,PEORIA,AZ,MARICOPA,(623)972-1400,(623)972-7470,141,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL9167,1J1,85018,MORNINGSTAR AT ARCADIA,3200 EAST GLENROSA,AL9167C,43862,44592,PHOENIX,AZ,MARICOPA,(480)300-4700,(602)955-0982,135,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10966,1J1,85308,MORNINGSTAR AT ARROWHEAD,21432 NORTH 75TH AVENUE,AL10966C,44166,44530,GLENDALE,AZ,MARICOPA,(623)227-2582,(623)748-0488,105,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11067,1J1,85345,MORNINGSTAR AT GOLDEN RIDGE,6735 WEST GOLDEN LANE,AL11067C,43983,44712,PEORIA,AZ,MARICOPA,(623)500-4300,(623)498-8710,124,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10506,1J1,85268,MORNINGSTAR OF FOUNTAIN HILLS,16800 EAST PAUL NORDIN PARKWAY,AL10506C,44105,44469,FOUNTAIN HILLS,AZ,MARICOPA,(480)327-6797,(480)566-8555,91,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11012,1J1,85937,"MOUNTAIN CARE OF SNOWFLAKE, LLC",48 EAST 1ST STREET,AL11012C,43862,44592,SNOWFLAKE,AZ,NAVAJO,(928)536-2726,(   )   -,20,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11243,1J1,85044,MOUNTAIN PARK SENIOR LIVING,4475 EAST KNOX ROAD,AL11243C,43747,44469,PHOENIX,AZ,MARICOPA,(480)893-1200,(480)705-0229,86,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL9760,1J1,85704,MOUNTAIN VIEW RETIREMENT VILLAGE,7900 NORTH LA CANADA DRIVE,AL9760C,44013,44742,TUCSON,AZ,PIMA,(520)229-3350,(520)229-3348,99,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL1133,1J1,85390,MY FATHER'S RETIREMENT RANCH,400 NORTH JEFFERSON STREET,AL1133C,44197,44561,WICKENBURG,AZ,MARICOPA,(928)684-5925,(928)684-3247,42,,,-112.736801,33.970814,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11247,1J1,86404,NEIGHBORS ASSISTED LIVING NORTH,2845 HAVASUPAI BOULEVARD,AL11247C,43739,44469,LAKE HAVASU CITY,AZ,MOHAVE,(928)855-5558,(928)438-7789,16,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11246,1J1,86406,NEIGHBORS ASSISTED LIVING SOUTH,2731 JAMAICA BOULEVARD SOUTH,AL11246C,43843,44561,LAKE HAVASU CITY,AZ,MOHAVE,(928)733-3048,(928)438-7789,16,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11189,1J1,85224,NORTH CHANDLER PLACE - A CONTINUUM OF CARE COMMUNITY,2555 NORTH PRICE ROAD,AL11189C,43770,44500,CHANDLER,AZ,MARICOPA,(480)345-7171,(480)849-1541,50,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL1874,1J1,85282,NUNNENKAMP CENTER FRIENDSHIP VILLAGE TEMPE,2635 EAST SOUTHERN AVENUE,AL1874C,44013,44742,TEMPE,AZ,MARICOPA,(480)831-3265,(480)831-3196,72,,,-111.88136,33.392874,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL5276,1J1,85705,OASIS AT EL CORRAL ASSISTED LIVING CENTER,2721 NORTH ORACLE ROAD,AL5276C,43831,44561,TUCSON,AZ,PIMA,(520)624-1771,(520)629-1902,59,,,-110.978389,32.256549,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL9164,1J1,85016,"OLIVE GROVE REAL ESTATE, LLC",3014 EAST INDIAN SCHOOL ROAD,AL9164C,43862,44592,PHOENIX,AZ,MARICOPA,(602)957-7021,(602)957-0830,115,,,-112.017065,33.495263,S80,AS0,040131084001000
44348,ASSISTED LIVING CENTER-DIRECTED,AL10380,1J1,85308,ORCHARD POINTE AT ARROWHEAD,17200 NORTH 67TH AVENUE,AL10380C,43983,44347,GLENDALE,AZ,MARICOPA,(402)933-2561,(402)933-2673,120,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10472,1J1,85374,ORCHARD POINTE AT SURPRISE,"15048 & 15086 WEST YOUNG STREET, BLDG-B AND BLDG-A",AL10472C,44044,44408,SURPRISE,AZ,MARICOPA,(420)400-8392,(623)302-7399,130,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11151,1J1,85383,ORCHARD POINTE AT TERRAZZA OPERATING LLC,6775 WEST HAPPY VALLEY ROAD,AL11151C,44044,44408,PEORIA,AZ,MARICOPA,(402)933-2561,(402)933-2673,135,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL6981,1J1,85032,PACIFICA SENIOR LIVING PARADISE VALLEY,16621 NORTH 38TH STREET,AL6981C,43891,44620,PHOENIX,AZ,MARICOPA,(602)787-0800,(602)787-0531,118,T,,-112.000291,33.637364,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL9322,1J1,85382,PACIFICA SENIOR LIVING PEORIA,9045 WEST ATHENS STREET,AL9322C,43862,44592,PEORIA,AZ,MARICOPA,(623)876-8300,(623)876-9850,98,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL6987,1J1,85712,PACIFICA SENIOR LIVING TUCSON,2675 NORTH WYATT DRIVE,AL6987C,44013,44742,TUCSON,AZ,PIMA,(520)320-7505,(520)320-0688,70,,,-110.884765,32.255643,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL8268,1J1,85382,PALOS VERDES SENIOR LIVING,18441 NORTH 87TH AVENUE,AL8268C,43831,44561,PEORIA,AZ,MARICOPA,(623)878-0087,(623)878-5553,80,,,-112.246164,33.651645,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11510,1J1,85249,PARK SENIOR VILLAS - CHANDLER,"4950 SOUTH LINDSAY ROAD, (VILLA A, B, F & G)",AL11510C,43965,44681,CHANDLER,AZ,MARICOPA,(602)944-1177,(602)944-8899,80,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10650,1J1,85395,PARK SENIOR VILLAS AT GOODYEAR,"4211 NORTH PEBBLE CREEK PARKWAY BUILDING #7, 8 & 9",AL10650C,43922,44651,GOODYEAR,AZ,MARICOPA,(602)218-7627,(602)944-8899,60,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10760,1J1,85248,PARKLAND MEMORY CARE,3500 SOUTH ARIZONA AVENUE,AL10760C,44075,44439,CHANDLER,AZ,MARICOPA,(480)857-4984,(503)675-3927,72,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL9926,1J1,85345,PASEO VILLAGE,10420 NORTH 89TH AVENUE,AL9926C,43862,44592,PEORIA,AZ,MARICOPA,(623)878-5115,(623)878-1604,115,,BEHAVIORAL HEALTH SERVICE,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10048,1J1,85234,PECAN CARE CONCEPTS AT AMERICAN ORCHARDS,"765 NORTH LINDSAY ROAD, SAPWOOD BUILDING 1",AL10048C,44044,44408,GILBERT,AZ,MARICOPA,(480)877-0599,(480)427-2787,53,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10431,1J1,85224,PENNINGTON GARDENS,977 SOUTH PENNINGTON DRIVE,AL10431H,44013,44742,CHANDLER,AZ,MARICOPA,(480)814-9046,(480)814-9058,90,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL9070,1J1,85541,POWELL PLACE,806 WEST LONGHORN ROAD,AL9070C,44013,44742,PAYSON,AZ,GILA,(928)474-6249,(520)474-9467,47,,,-111.334442,34.239384,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL0574,1J1,86406,PRESTIGE ASSISTED LIVING AT CLAREMONT,1221 CLAREMONT DRIVE,AL0574C,43983,44712,LAKE HAVASU CITY,AZ,MOHAVE,(928)855-4843,(928)855-2987,40,,,-114.289629,34.454208,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL2267,1J1,85614,PRESTIGE ASSISTED LIVING AT GREEN VALLEY,1175 SOUTH ABREGO DRIVE,AL2267C,44075,44439,GREEN VALLEY,AZ,PIMA,(520)648-5583,(520)399-0589,75,,,-110.987367,31.853361,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL1768,1J1,86406,PRESTIGE ASSISTED LIVING AT LAKE HAVASU,90 SOUTH SMOKETREE AVENUE,AL1768C,43862,44592,LAKE HAVASU CITY,AZ,MOHAVE,(928)680-1818,(928)680-9188,67,,,-114.332613,34.476085,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL2266,1J1,85635,PRESTIGE ASSISTED LIVING AT SIERRA VISTA,4400 AVENIDA COCHISE,AL2266C,44075,44439,SIERRA VISTA,AZ,COCHISE,(520)452-1402,(520)452-9757,67,,,-110.249029,31.532679,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL8638,1J1,85020,PROJECT  AVISTA SENIOR LIVING NORTH MOUNTAIN,350 EAST EVA STREET,AL8638C,43831,44561,PHOENIX,AZ,MARICOPA,(602)997-6224,(602)944-4199,149,,,-112.068445,33.56927,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11086,1J1,85296,QUAIL PARK AT MORRISON RANCH,3333 EAST MORRISON RANCH PARKWAY,AL11086C,43952,44681,GILBERT,AZ,MARICOPA,(480)793-7000,(480)361-5066,124,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11080,1J1,85704,QUAIL PARK OF ORO VALLEY,9005 NORTH ORACLE ROAD,AL11080C,43982,44681,ORO VALLEY,AZ,PIMA,(520)989-3807,(520)328-8672,103,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL9865,1J1,85206,REFLECTIONS AT FELLOWSHIP SQUARE MESA,159 SOUTH POWER ROAD,AL9865C,44105,44469,MESA,AZ,MARICOPA,(480)654-1800,(480)218-2617,32,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL9867,1J1,85248,RENAISSANCE LUXURY RETIREMENT LIVING,9504 EAST RIGGS ROAD,AL9867C,44136,44500,SUN LAKES,AZ,MARICOPA,(480)802-6400,(480)802-6444,149,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10648,1J1,85365,RIVER VALLEY ESTATES,7053 EAST 31ST PLACE,AL10648C,43891,44620,YUMA,AZ,YUMA,(928)433-6958,(928)726-9060,88,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10578,1J1,85374,ROCK CREEK ALZHEIMER'S SPECIAL CARE CENTER,14552 WEST PARKWOOD DRIVE,AL10578C,44166,44530,SURPRISE,AZ,MARICOPA,(623)214-0100,(623)214-2120,66,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL8634,1J1,85016,ROSE COURT SENIOR LIVING,2935 NORTH 18TH PLACE,AL8634C,43831,44561,PHOENIX,AZ,MARICOPA,(602)265-9813,(602)277-9779,92,,,-112.041925,33.48091,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL4590,1J1,85351,ROYAL OAKS ASSISTED LIVING CENTER,"9965(A), 9925(B) AND 10025(C) WEST ROYAL OAK ROAD",AL4590C,44136,44500,SUN CITY,AZ,MARICOPA,(623)815-4209,(623)815-4121,183,,,-112.2732,33.601277,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL8862,1J1,85302,SARAH'S PLACE AT GLENCROFT,6670 WEST BUTLER DRIVE,AL8862C,44075,44439,GLENDALE,AZ,MARICOPA,(623)847-3025,(623)847-3052,48,,,-112.202325,33.560122,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10284,1J1,85234,SAVANNA HOUSE ASSISTED LIVING & MEMORY CARE,1415 NORTH SAN BENITO DRIVE,AL10284C,43952,44681,GILBERT,AZ,MARICOPA,(480)900-6815,(480)900-6825,135,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL8856,1J1,85258,SCOTTSDALE MEMORY CARE,9450 EAST MOUNTAIN VIEW ROAD,AL8856C,44075,44439,SCOTTSDALE,AZ,MARICOPA,(480)656-4084,(480)656-4278,86,,BEHAVIORAL HEALTH SERVICE,-111.877455,33.575392,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10612,1J1,85257,SCOTTSDALE VILLAGE SQUARE,2620 NORTH 68TH STREET,AL10612C,43862,44592,SCOTTSDALE,AZ,MARICOPA,(480)946-6571,(480)946-0012,140,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL3108,1J1,86351,SEDONA WINDS,475 JACKS CANYON ROAD,AL3108C,43922,44651,SEDONA,AZ,COCONINO,(928)284-9077,(928)284-5081,92,,,-111.754639,34.779303,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11477,1J1,85382,SENITA RIDGE,18172 NORTH 91ST AVENUE,AL11477C,43941,44651,PEORIA,AZ,MARICOPA,(952)361-8935,(952)361-8060,88,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11632,1J1,85028,SHADOW MOUNTAIN MEMORY CARE,10030 NORTH 32ND STREET,AL11632C,44174,44530,PHOENIX,AZ,MARICOPA,(480)923-7979,(971)200-1790,72,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL9495,1J1,85710,SHERWOOD VILLAGE ASSISTED LIVING AND MEMORY CARE,102 SOUTH SHERWOOD VILLAGE DRIVE,AL9495C,44075,44439,TUCSON,AZ,PIMA,(520)298-9242,(520)886-8437,160,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11334,1J1,85901,SHOW LOW ASSISTED LIVING LLC,965 FULL HOUSE LANE,AL11334C,43874,44592,SHOW LOW,AZ,NAVAJO,(928)251-0771,(   )   -,24,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL9830,1J1,85710,SIERRA DEL SOL,8151 EAST SPEEDWAY BOULEVARD,AL9830C,44136,44500,TUCSON,AZ,PIMA,(520)722-8400,(520)722-8480,140,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL8814,1J1,85206,SILVER CREEK INN MEMORY CARE COMMUNITY,6345 EAST BASELINE ROAD,AL8814C,44044,44408,MESA,AZ,MARICOPA,(480)636-1222,(480)636-1330,67,,,-111.696408,33.379212,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL0881,1J1,86442,SILVER CREEK LEISURE LIVING,1670 HIGHWAY 95,AL0881C,43952,44681,BULLHEAD CITY,AZ,MOHAVE,(928)704-7000,(928)763-8070,62,,,-114.579969,35.124126,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL9379,1J1,85614,SILVER SPRINGS,500 WEST CAMINO ENCANTO,AL9379C,43891,44620,GREEN VALLEY,AZ,PIMA,(520)399-3620,(520)399-3622,107,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11659,1J1,85929,"SOLTERRA AT WHITE MOUNTAINS TWO, LLC",5408 ARIZONA HIGHWAY 260,AL11659C,44133,44469,LAKESIDE,AZ,NAVAJO,(928)532-4600,(602)553-7574,78,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL7016,1J1,85224,SOLTERRA SENIOR LIVING,350 SOUTH ALMA SCHOOL ROAD,AL7016C,43983,44712,CHANDLER,AZ,MARICOPA,(480)214-6700,(480)855-5500,110,,,-111.859275,33.298362,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL6963,1J1,85755,SPLENDIDO AT RANCHO VISTOSO,13500 NORTH RANCHO VISTOSO BOULEVARD,AL6963C,43983,44712,TUCSON,AZ,PIMA,(520)878-2600,(520)878-2750,48,,,-110.974302,32.449797,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL8944,1J1,85209,"SUMMIT AT SUNLAND SPRINGS, THE",2415 SOUTH SIGNAL BUTTE ROAD,AL8944C,43831,44561,MESA,AZ,MARICOPA,(480)907-5588,(480)659-5872,176,,,-111.601199,33.370492,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL10877,1J1,85375,"SUN CITY WEST, ASSISTED LIVING & MEMORY CARE",13810 WEST SANDRIDGE DRIVE,AL10877C,44136,44500,SUN CITY,AZ,MARICOPA,(623)584-2338,(623)584-2126,99,,,,,,,
44348,ASSISTED LIVING CENTER-DIRECTED,AL11146,1J1,85374,SUN HEALTH ASSISTED LIVING AT THE COLONNADE,14900 WEST GOLDWATER RIDGE DRIVE,AL11146C,44013,44742,SURPRISE,AZ,MARICOPA,(623)236-3767,(623)832-4101,64,,,,,,,
