State Facility Type 1 Literal,Facility ID,Zip Code,Facility Name,Address,License Number,City,State,County,Phone Number,Capacity,Date Accessed
ASSISTED LIVING HOME-DIRECTED,AL7032,85202,Allegiance Assisted Living Llc,2243 SOUTH GAUCHO,AL7032H,Mesa,AZ,Maricopa,(480)330-9018,6,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8272,85711,"Alma'S Home Care Assisted Living, Llc",4322 EAST 6TH STREET,AL8272H,Tucson,AZ,Pima,(520)406-1790,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL7099,85710,"Aloha Assisted Living Home, Llc",8260 EAST VICKSBURG STREET,AL7099H,Tucson,AZ,Pima,(520)207-0306,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11576,85251,Aloha Assisted Living Llc,3414 NORTH 81ST STREET,AL11576H,Scottsdale,AZ,Maricopa,(480)251-8931,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10378,85207,Alott Of Care,2237 NORTH AVOCA,AL10378H,Mesa,AZ,Maricopa,(480)399-8735,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10978,85050,Alpha Assisted Living,18802 NORTH 38TH STREET,AL10978H,Phoenix,AZ,Maricopa,(602)907-3836,7,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8933,85212,Altercare Assisted Living Home,11104 EAST SOMBRA AVENUE,AL8933H,Mesa,AZ,Maricopa,(480)280-0137,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9824,85295,"Am Home Assisted Living, Llc",1386 EAST BUFFALO STREET,AL9824H,Gilbert,AZ,Maricopa,(480)625-3491,8,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11717,85296,Am Homes 2 Assisted Living,3760 EAST SPRING WHEAT LANE,AL11717,Gilbert,AZ,Maricopa,(602)619-1465,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11743,85212,Amanda'S Care Home,8647 EAST PAMPA AVENUE,AL11743H,Mesa,AZ,Maricopa,(480)373-8437,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11742,85208,"Amanda'S Care Home Ii, Llc",708 SOUTH SABRINA,AL11742H,Mesa,AZ,Maricopa,(480)373-8437,6,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10341,85338,Amazing Care Assisted Living,16345 WEST ROOSEVELT STREET,AL10341H,Goodyear,AZ,Maricopa,(602)327-7334,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8553,85379,Amazing Care Home,14449 WEST BOCA RATON ROAD,AL8553H,Surprise,AZ,Maricopa,(623)466-6273,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10289,85225,Amazing Comfort Homes,1670 EAST CARLA VISTA DRIVE,AL10289H,Chandler,AZ,Maricopa,(480)207-1510,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10911,85225,Amazing Comfort Homes Llc,381 SOUTH 132ND STREET,AL10911H,Chandler,AZ,Maricopa,(480)207-1510,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10268,85308,Amazing Grace Care Home Llc,18046 NORTH 42ND DRIVE,AL10268H,Glendale,AZ,Maricopa,(602)441-1760,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8860,85020,Amber Assisted Living Home,1438 EAST HATCHER ROAD,AL8860H,Phoenix,AZ,Maricopa,(602)770-9679,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11002,85085,Amber Hills Assisted Living L L C,34226 NORTH 26TH AVENUE,AL11002H,Phoenix,AZ,Maricopa,(602)388-8922,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9406,85022,Ambiance Al,2101 EAST EVERETT DRIVE,AL9406H,Phoenix,AZ,Maricopa,(602)368-4484,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11798,85383,Ambiance Assisted Living,9534 WEST BENT TREE DRIVE,AL11798,Peoria,AZ,Maricopa,(623)908-2844,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10697,85345,Ambience Care Home,8941 WEST SELDON LANE,AL10697H,Peoria,AZ,Maricopa,(602)639-2764,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9907,85345,Ambience Care Home 2,9022 WEST ALICE AVENUE,AL9907H,Peoria,AZ,Maricopa,(602)639-2764,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10265,85249,Amenity Home Assisted Living Llc,3921 EAST LEO PLACE,AL10265H,Chandler,AZ,Maricopa,(480)207-1348,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11564,85383,"American Assisted Living, Llc",23430 NORTH 89TH AVENUE,AL11564H,Peoria,AZ,Maricopa,(602)366-5728,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8599,85020,American Dream Retirement,702 EAST ORANGEWOOD AVENUE,AL8599H,Phoenix,AZ,Maricopa,(602)283-5987,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11533,85255,Ammy'S Place,8038 EAST HAPPY VALLEY ROAD,AL11533H,Scottsdale,AZ,Maricopa,(701)870-0051,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9614,85249,"Amore Courtyard Assisted Living Home, Llc",643 EAST LA COSTA DRIVE,AL9614H,Chandler,AZ,Maricopa,(480)219-1498,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9317,85083,Amy'S Assisted Living Llc,6511 WEST STRAIGHT ARROW LANE,AL9317H,Phoenix,AZ,Maricopa,(602)793-9450,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11128,85304,Amy'S Care Assisted Living Home,6058 WEST WETHERSFIELD DRIVE,AL11128H,Glendale,AZ,Maricopa,(602)308-9125,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10836,85053,Amy'S Care Home,16237 NORTH 35TH DRIVE,AL10836H,Phoenix,AZ,Maricopa,(602)308-9125,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9098,85083,Amy'S Senior Living Llc,6528 WEST BROOKHART WAY,AL9098H,Phoenix,AZ,Maricopa,(602)793-9450,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL6985,85379,An Enchanted Assisted Living Llc,15924 WEST MAUNA LOA LANE,AL6985H,Surprise,AZ,Maricopa,(623)556-2516,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10883,85382,Ana And David Assisted Living,9632 WEST RUNION DRIVE,AL10883H,Peoria,AZ,Maricopa,(602)708-7465,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10112,85032,Ana'S Assisted Living Home Llc,13238 NORTH 35TH STREET,AL10112H,Phoenix,AZ,Maricopa,(602)502-4173,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL5398,85224,Ana'S Haven Adult Home Care Ii,872 SOUTH APACHE DRIVE,AL5398H,Chandler,AZ,Maricopa,(480)656-6242,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL6878,85224,Ana'S Haven Adult Homecare,870 SOUTH MEADOWS DRIVE,AL6878H,Chandler,AZ,Maricopa,(480)659-0315,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL7882,85248,Ana'S Haven At Cedar,143 WEST CEDAR DRIVE,AL7882H,Chandler,AZ,Maricopa,(480)699-8516,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10320,85379,"Anastasia Assisted Living Home, Llc",12805 NORTH 145TH AVENUE,AL10320H,Surprise,AZ,Maricopa,(623)218-6564,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10163,85388,Anc Assisted Living Homes I,18429 WEST CARIBBEAN LANE,AL10163H,Surprise,AZ,Maricopa,(623)214-2679,9,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL5729,85224,Andersen Springs Care Home Llc,1541 WEST CORONA DRIVE,AL5729H,Chandler,AZ,Maricopa,(480)857-2519,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8820,85224,"Anderson Springs Care Home, Llc",1764 WEST SAN TAN STREET,AL8820H,Chandler,AZ,Maricopa,(480)306-4726,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11307,85306,Andicare,6008 WEST PARADISE LANE,AL11307H,Glendale,AZ,Maricopa,(310)948-0048,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11606,85008,Angel Care Home,2231 NORTH 38TH STREET,AL11606H,Phoenix,AZ,Maricopa,(602)244-1218,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10469,85027,Angel Hands Home Care Llc,3103 WEST VIA MONTOYA DRIVE,AL10469H,Phoenix,AZ,Maricopa,(623)322-0057,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8533,85940,"Angel Wings Assisted Living, Inc",86 ACR 3148,AL8533H,Vernon,AZ,Apache,(928)537-8098,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9400,85044,"Angel'S Adult Group Home, L L C",15462 SOUTH 47TH PLACE,AL9400H,Phoenix,AZ,Maricopa,(480)889-4288,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9575,85715,Angel'S Kiss,7475 EAST RIO VISTA CIRCLE,AL9575H,Tucson,AZ,Pima,(520)270-7113,8,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL5338,85374,Angel'S Real Home Care,15952 NORTH ULRICH WAY,AL5338H,Surprise,AZ,Maricopa,(623)214-7174,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9883,85044,Angel'S Senior Care Llc,4403 EAST GOLD POPPY WAY,AL9883H,Phoenix,AZ,Maricopa,(480)634-0907,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL3262,86426,Angel'S Touch Care Home,1974 EAST CLEAR LAKE DRIVE,AL3262H,Fort Mohave,AZ,Mohave,(928)788-3990,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL6785,85712,"Angela'S Assisted Living Ii, Llc",5721 EAST WAVERLY STREET,AL6785H,Tucson,AZ,Pima,(520)822-8249,9,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8360,85712,"Angela'S Assisted Living Ii, Llc",1701 NORTH RIDGEWAY ROAD,AL8360H,Tucson,AZ,Pima,(520)867-6161,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10373,85379,Angelic Care Llc,15247 WEST WETHERSFIELD ROAD,AL10373H,Surprise,AZ,Maricopa,(623)400-2604,7,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11679,85226,"Angelic Hand Assisted Livng, Llc",4949 WEST ERIE STREET,AL11679H,Chandler,AZ,Maricopa,(480)293-4724,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10541,85249,Angels Assisted Living Home Llc,4496 EAST LA COSTA DRIVE,AL10541H,Chandler,AZ,Maricopa,(480)802-0379,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10884,85304,Angels Paradise Care Home 2,5582 WEST BECKER LANE,AL10884H,Glendale,AZ,Maricopa,(480)584-0735,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL6343,85710,Angels R Us,1339 SOUTH AVENIDA SIRIO,AL6343H,Tucson,AZ,Pima,(520)721-2161,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10713,85225,Angels Wings Assisted Living Home,2402 EAST DETROIT COURT,AL10713H,Chandler,AZ,Maricopa,(480)512-1773,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10086,85306,Anna'S Angels Assisted Living Home,4670 WEST AIRE LIBRE AVENUE,AL10086H,Glendale,AZ,Maricopa,(602)993-1621,8,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8838,85140,Anna'S Assisted Living Llc,4533 EAST ROLLING RIDGE ROAD,AL8838H,San Tan Valley,AZ,Pinal,(480)358-8323,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11842,85138,"Annes Assisted Living, Llc",20278 NORTH WILFORD AVENUE,AL11842H,Maricopa,AZ,Pinal,(480)748-0009,6,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10698,85306,Annie'S Care Home,6008 WEST JUNIPER AVENUE,AL10698H,Glendale,AZ,Maricopa,(623)440-3617,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10206,85308,Annie'S Loving Care,5929 WEST GREENBRIAR DRIVE,AL10206H,Glendale,AZ,Maricopa,(623)388-1094,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9597,85086,Anthem Senior Living,40401 NORTH COPPER BASIN TRAIL,AL9597H,Anthem,AZ,Maricopa,(602)909-9550,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11584,85053,Anziana Care Home Llc,16250 NORTH 40TH LANE,AL11584H,Phoenix,AZ,Maricopa,(480)234-3568,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11321,85006,Apex Transitional Housing Inc.,2134 EAST PALM LANE,AL11321H,Phoenix,AZ,Maricopa,(605)310-1940,8,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11245,85302,Apollo Residential Assisted Living,4719 WEST HARMONT DRIVE,AL11245,Glendale,AZ,Maricopa,(623)939-3986,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10735,85286,Aqua Garden Care,2020 EAST INDIGO DRIVE,AL10735H,Chandler,AZ,Maricopa,(480)985-0404,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11628,85254,Arabian Views,5501 EAST WOODRIDGE DRIVE,AL11628H,Scottsdale,AZ,Maricopa,(602)329-6226,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11049,85051,Arc Of Care L L C,4113 WEST HAYWARD AVENUE,AL11049H,Phoenix,AZ,Maricopa,(623)889-4029,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8891,85018,Arcadia Assisted Care,4912 NORTH 45TH PLACE,AL8891H,Phoenix,AZ,Maricopa,(602)441-3513,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8888,85018,Arcadia Assisted Care Camelhead,4117 EAST ST JOSEPH WAY,AL8888H,Phoenix,AZ,Maricopa,(602)852-9148,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8889,85018,Arcadia Assisted Care Villa,4132 EAST CAMELBACK ROAD,AL8889H,Phoenix,AZ,Maricopa,(602)388-4945,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11337,85008,"Arcadia Grove Assisted Living Home, Llc",4248 EAST LEWIS AVENUE,AL11337H,Phoenix,AZ,Maricopa,(650)580-7035,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8342,85016,"Arcadia Home Care, Llc",3112 NORTH 34TH STREET,AL8342H,Phoenix,AZ,Maricopa,(480)231-9273,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11729,85008,Arcadia Woods Assisted Living Llc,4654 EAST HOLLY STREET,AL11729H,Phoenix,AZ,Maricopa,(650)580-7035,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10779,85286,Archangel Assisted Living Ii,1442 EAST EBONY DRIVE,AL10779H,Chandler,AZ,Maricopa,(480)404-6694,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9648,85224,Archangel Assisted Living Inc,932 SOUTH BRENTWOOD PLACE,AL9648H,Chandler,AZ,Maricopa,(480)773-6317,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10734,85298,Arden Valley Home Care,3091 EAST LYNX WAY,AL10734H,Gilbert,AZ,Maricopa,(480)251-8931,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11308,85203,Arden Villa Llc,1238 EAST GREENWAY CIRCLE,AL11308H,Mesa,AZ,Maricopa,(480)251-8931,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9568,85379,Arizona Adult Care Home,15268 WEST BOCA RATON ROAD,AL9568H,Surprise,AZ,Maricopa,(602)300-5854,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9316,86314,Arizona Angels,7859 EAST LAS FLORES AVENUE,AL9316H,Prescott Valley,AZ,Yavapai,(928)277-4821,7,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10633,86327,Arizona Angels Llc,1220 NORTH TAPADERO DRIVE,AL10633H,Dewey,AZ,Yavapai,(928)533-2816,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11680,86301,Arizona Angels Prescott,7105 NORTH WILLIAMSON VALLEY ROAD,AL11680H,Prescott,AZ,Yavapai,(928)533-2816,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9016,85711,Arizona Assisted Living Home Llc,5512 EAST 8TH STREET,AL9016H,Tucson,AZ,Pima,(520)373-5370,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL7655,85383,Arizona Buttes Assisted Living Home Llc,23194 NORTH 106TH AVENUE,AL7655H,Peoria,AZ,Maricopa,(602)403-5102,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11063,85379,Arizona Care L.L.C.,14451 NORTH 155TH DRIVE,AL11063H,Surprise,AZ,Maricopa,(623)419-1234,7,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11708,85226,Arizona Caring Hearts Assisted Living,4860 WEST GERONIMO STREET,AL11708H,Chandler,AZ,Maricopa,(480)370-9842,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8632,85388,Arizona Comfort Care,17917 WEST PORT AU PRINCE LANE,AL8632H,Surprise,AZ,Maricopa,(623)271-9455,6,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10410,85207,Arizona Community Assisted Living,9952 EAST BUTTE STREET,AL10410H,Mesa,AZ,Maricopa,(480)232-4647,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10392,85209,Arizona Eldercare Group Llc,2550 SOUTH REVOLTA,AL10392H,Mesa,AZ,Maricopa,(480)459-0517,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10588,85119,Arizona Eldercare Group Llc,5375 EAST SUPERSTITION BOULEVARD,AL10588H,Apache Junction,AZ,Pinal,(480)332-5449,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8569,85020,Arizona Elderly Care Alh,7848 NORTH 4TH PLACE,AL8569H,Phoenix,AZ,Maricopa,(602)466-1384,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL7413,85388,Arizona Golden Life - Llc,15111 NORTH 172ND DRIVE,AL7413H,Surprise,AZ,Maricopa,(623)451-7556,6,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL6521,85207,Arizona Harmony Care Home-Fountain,8129 EAST FOUNTAIN STREET,AL6521H,Mesa,AZ,Maricopa,(480)621-5575,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9047,85212,"Arizona Premier Adult Care Ii, Llc",9716 EAST PAMPA AVENUE,AL9047H,Mesa,AZ,Maricopa,(480)373-9689,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10053,85226,Arizona Premier At Ironwood,3230 WEST IRONWOOD DRIVE,AL10053H,Chandler,AZ,Maricopa,(480)268-7470,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8593,85260,"Arizona Royal Care Home, Llc",9823 EAST JENAN DRIVE,AL8593H,Scottsdale,AZ,Maricopa,(480)264-2668,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10226,85379,Arizona Royal Ranch,14350 WEST CROCUS DRIVE,AL10226H,Surprise,AZ,Maricopa,(623)242-7092,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10235,85018,Arizona Shining Star #2,5401 EAST VERDE LANE,AL10235H,Phoenix,AZ,Maricopa,(480)215-5335,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8049,85018,Arizona Shining Star Assisted Living Home,5402 EAST VERDE LANE,AL8049H,Phoenix,AZ,Maricopa,(480)215-5335,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11662,85032,"Arizona Sun Assisted Living 1, Llc",3142 EAST ACOMA DRIVE,AL11662H,Phoenix,AZ,Maricopa,(480)329-6085,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11661,85310,"Arizona Sun Assisted Living 2, Llc",4618 WEST VILLA LINDA DRIVE,AL11661H,Glendale,AZ,Maricopa,(480)363-0878,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10864,85142,Arizona Sunset Assisted Living,35605 NORTH MOYES ROAD,AL10864H,Queen Creek,AZ,Maricopa,(480)687-1688,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL4928,85383,Arizona'S Best Assisted Living Home,8113 WEST LOUISE DRIVE,AL4928H,Peoria,AZ,Maricopa,(623)376-6525,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL7053,85308,Arizona'S Golden Heart,7016 WEST VILLA THERESA DRIVE,AL7053H,Glendale,AZ,Maricopa,(602)978-0596,7,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8355,85310,Arizona'S Golden Heart I,6523 WEST VIA DEL SOL,AL8355H,Glendale,AZ,Maricopa,(602)502-8524,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11417,85206,Ark Of Angel Assisted Living,3841 EAST ISABELLA AVENUE,AL11417H,Mesa,AZ,Maricopa,(480)354-3783,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10979,85304,Ark Of Life Memory Care,4341 WEST SHAW BUTTE DRIVE,AL10979H,Glendale,AZ,Maricopa,(480)414-9948,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL5759,85284,"Ark Of Life, Inc",1707 EAST CITATION LANE,AL5759H,Tempe,AZ,Maricopa,(480)236-7372,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10989,85207,Armada Care Homes,10038 EAST GLENCOVE CIRCLE,AL10989H,Mesa,AZ,Maricopa,(661)805-3254,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9739,85203,Armada Care Homes,1612 EAST KNOLL CIRCLE,AL9739H,Mesa,AZ,Maricopa,(661)805-3254,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL2405,85308,Arrowhead Lakes Adult Home Care,21428 NORTH 55TH AVENUE,AL2405H,Glendale,AZ,Maricopa,(623)825-3353,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10052,85308,Arrowhead Senior Living,7886 WEST PIUTE AVENUE,AL10052H,Glendale,AZ,Maricopa,(602)818-2310,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11511,85308,Arrowhead Senior Living Ii,6958 WEST KRISTAL WAY,AL11511H,Glendale,AZ,Maricopa,(702)772-1987,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10528,85382,"Arrowhead Shore Senior Living, Llc",16124 NORTH 87TH DRIVE,AL10528H,Peoria,AZ,Maricopa,(602)818-2310,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11459,85308,Arrowhead Sun Lakes A L H Llc,21680 NORTH 58TH DRIVE,AL11459H,Glendale,AZ,Maricopa,(602)740-1084,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9104,85310,"Arrowhead Symphony Assisted Living Home, Llc",6121 WEST FOOTHILL DRIVE,AL9104H,Glendale,AZ,Maricopa,(623)341-7643,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL7687,85308,Arrowhead Valley Assisted Living Inc,17915 NORTH 65TH DRIVE,AL7687H,Glendale,AZ,Maricopa,(623)889-5484,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10334,85308,Arrowhead Village Adult Homecare Llc,19953 NORTH 63RD DRIVE,AL10334H,Glendale,AZ,Maricopa,(602)421-3333,9,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11442,85387,"Asante Sunrise, Llc",23741 NORTH 167TH LANE,AL11442H,Surprise,AZ,Maricopa,(929)268-7622,7,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11531,85204,Ashbrook Home Care Llc,910 SOUTH ASHBROOK,AL11531H,Mesa,AZ,Maricopa,(480)590-5694,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9915,85306,Ashlee Care,4902 WEST BEVERLY LANE,AL9915H,Glendale,AZ,Maricopa,(602)978-1563,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8284,85205,Ashton Gardens Assisted Living Llc,4525 EAST DECATUR STREET,AL8284H,Mesa,AZ,Maricopa,(480)830-6522,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9707,85379,Ashton Ranch Assisted Living,13844 NORTH 150TH DRIVE,AL9707H,Surprise,AZ,Maricopa,(480)776-9207,9,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL0367,85730,Aslan Adult Care Home,7511 EAST 39TH STREET,AL0367H,Tucson,AZ,Pima,(520)750-9510,7,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11097,85730,Aslan Assisted Living Llc,7642 EAST 38TH STREET,AL11097H,Tucson,AZ,Pima,(520)790-6882,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL11358,85704,"Aspen Care Assisted Living Home, Llc",1455 WEST ROLLER COASTER ROAD,AL11358H,Tucson,AZ,Pima,(520)245-7580,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8335,85704,"Aspen Care Assisted Living Home, Llc","1445 WEST ROLLER COASTER ROAD, #2",AL8335H,Tucson,AZ,Pima,(520)638-5399,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL4808,85254,"Assisted Living At Bloomfield Manor, Inc",5815 EAST AIRE LIBRE AVENUE,AL4808H,Scottsdale,AZ,Maricopa,(480)823-9292,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8602,85254,Assisted Living At Mountain Vista,12823 NORTH 65TH PLACE,AL8602H,Scottsdale,AZ,Maricopa,(480)823-9292,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8649,85254,Assisted Living At The Phoenician,5915 EAST ST JOHN ROAD,AL8649H,Scottsdale,AZ,Maricopa,(480)823-9292,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL4974,85254,"Assisted Living At The Woodridge, Inc.",5717 EAST WOODRIDGE DRIVE,AL4974H,Scottsdale,AZ,Maricopa,(602)923-3631,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL4937,85226,Assisted Living By Sholt,660 NORTH BECK AVENUE,AL4937H,Chandler,AZ,Maricopa,(480)705-9124,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9687,85203,Assisted Living Of Mesa,949 NORTH STAPLEY DRIVE,AL9687H,Mesa,AZ,Maricopa,(480)834-9898,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL5797,85253,Assisted Living Of Paradise Valley,6146 EAST VIA ESTRELLA,AL5797H,Scottsdale,AZ,Maricopa,(480)443-9159,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL2868,85254,Assisted Living Of Scottsdale,6819 EAST SHEA BOULEVARD,AL2868H,Scottsdale,AZ,Maricopa,(480)998-0988,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL8727,85254,Assisted Living Of Scottsdale Ii,5431 EAST SHEA BOULEVARD,AL8727H,Scottsdale,AZ,Maricopa,(480)998-0988,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL9197,85379,Assisted Living Of Surprise,14364 WEST DESERT HILLS DRIVE,AL9197H,Surprise,AZ,Maricopa,(602)904-9624,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10626,85323,"Assisted Living Of The Valley, Llc",2114 SOUTH 118TH AVE,AL10626H,Avondale,AZ,Maricopa,(623)792-7930,5,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10580,85379,Assisted Living Place,14302 WEST BECKER LANE,AL10580H,Surprise,AZ,Maricopa,(602)999-2609,10,7/13/21
ASSISTED LIVING HOME-DIRECTED,AL10379,85205,Assisted Senior Living Care Llc,4149 EAST GREENWAY CIRCLE,AL10379H,Mesa,AZ,Maricopa,(480)621-6276,10,7/13/21
