Facility Name,State Facility Type 1 Literal,Status,City,Address,Email Address,Facility ID,Capacity,County,Zip Code,Phone Number
Hilltop Manor,Residential Care Facilities,Closed,Pella,408 Jefferson Street,lgarrard@pellahealth.org,630485,59,Marion,50219-1298,(641) 628-1381
Hilltop Manor South Ii,Residential Care Facilities,Closed,Pella,413 Jefferson Street,nbakken@pellahealth.org,630153,50,Marion,50219-1295,(641) 628-1100
Hofstader Residential Home,Residential Care Facilities,Closed,Estherville,1720 First Avenue North,,320038,5,Emmet,51334-0000,(712) 362-2210
Holland Farms Senior Living,Assisted Living Programs,Active,Norwalk,2800 Sunset Drive,,S0448,120,Warren,50211,(515) 981-1888
Holy Spirit Al For Dementia,Assisted Living Programs,Closed,Sioux City,1701 W 25th St,,S0015,22,Woodbury,51103-0000,(712) 252-2726
Homestead Assisted Living,Assisted Living Programs,Active,Mason City,2501 W. State Street,,S0045,70,Cerro Gordo,50401-8916,(641) 423-4809
Homestead of Albia,Assisted Living Programs,Active,Albia,6592 165th Street,,S0333,70,Monroe,52531,(641) 932-2102
Homestead of Chariton,Assisted Living Programs,Active,Chariton,1110 North 6th Street,,S0233,70,Lucas,50049-1265,(641) 774-2303
Homestead Of Creston Al,Assisted Living Programs,Active,Creston,1709 West Prairie,mjameson@homesteadofosceola.com,S0429,76,Union,50801,(641) 782-3131
Homestead of Knoxville,Assisted Living Programs,Active,Knoxville,908 South Park Lane,,S0132,122,Marion,50138-3176,(641) 828-7878
"Homestead Of Osceola Operations, LLC",Assisted Living Programs,Active,Osceola,334 N. West View Drive,,S0391,74,Clarke,50213,(641) 342-1036
Homestead of Oskaloosa,Assisted Living Programs,Active,Oskaloosa,2107 South Market Street,,S0428,96,Mahaska,52577,(641) 672-1090
Hope Haven Residential Training Center,Residential Care Facilities,Closed,Orange City,4353 Ironwood Avenue,dsassman@hopehaven.org,840548,15,Sioux,51041-7567,(712) 737-4508
Horizons Unlimited,Residential Care Facilities,Active,Emmetsburg,2201 21st Street,,740043,8,Palo Alto,50536-2229,(712) 852-4495
Houser Street Residence,Residential Care Facilities,Closed,Muscatine,1810 Houser Street,nnauman@iowarescare.com,700555,8,Muscatine,52761-2215,(563) 263-5594
Huskamp Haven,Assisted Living Programs,Active,Algona,300 Riverview Drive,,S0242,32,Kossuth,50511-3241,(515) 395-3300
Independence Village of Ames,Assisted Living Programs,Active,Ames,"1325 Coconino Rd, Ste 300",,S0041,122,Story,50014-7842,(515) 292-2858
Independence Village of Ankeny AL,Assisted Living Programs,Active,Ankeny,1275 SW State Street,,S0419,88,Polk,50023,(515) 963-4000
Independence Village Of Pella AL,Assisted Living Programs,Active,Pella,2604 Fifield Road,,S0404,68,Marion,50219,(641) 628-8260
Independence Village Of Waukee AL,Assisted Living Programs,Active,Waukee,1654 SE Holiday Crest Circle,,S0257,80,Dallas,50263-8685,(515) 987-3625
Indian Creek Independent & Assisted Living Apts.,Assisted Living Programs,Active,Nevada,98 South 6th Street,,S0324,36,Story,50201,(515) 382-6556
Indianola Residential,Residential Care Facilities,Closed,Indianola,401 West Salem Avenue,rlhemness@qwestoffice.net,910290,32,Warren,50125-0318,(515) 961-2556
Insight Human Services,Residential Care Facilities,Closed,Mount Pleasant,"915 South Iris Street, Suite101",tmeyer@henrycountyiowa.us,440765,15,Henry,52641-0157,(319) 385-2046
Iowa Jewish Senior Life Center,Residential Care Facilities,Closed,Des Moines,900 Polk Boulevard,ijslc@dwx.com,770384,15,Polk,50312-2225,(515) 255-5433
Iowa Veterans Home,Residential Care Facilities,Active,Marshalltown,1301 Summit Street,"Penny.CutlerBermudez@ivh.state.ia.us; 
 Timon.Oujiri@ivh.state.ia.us",640108,113,Marshall,50158-5485,(641) 752-1501
Irving Point,Assisted Living Programs,Active,Cedar Rapids,910 7th Avenue SE,,S0286,110,Linn,52401,(319) 294-5007
Jefferson Point,Assisted Living Programs,Closed,North Liberty,45 West Jefferson St.,victoria@burnshousing.com,S0267,120,Johnson,52317-9050,(319) 626-3263
Kathleens Residential Care,Residential Care Facilities,Closed,Emmetsburg,1505 East Fifth Street,JudyC@kathleenscare.com,740018,15,Palo Alto,50536-0279,(712) 852-2267
Keelson Harbour Senior Living AL,Assisted Living Programs,Active,Spirit Lake,2810 Aurora Avenue,,S0406,134,Dickinson,51360,(712) 336-4501
Kennybrook Village,Assisted Living Programs,Active,Grimes,200 Sw Brookside Drive,,S0323,68,Polk,50111,(515) 369-3900
Kensington (the),Assisted Living Programs,Active,Fort Madison,2210 Avenue H,,S0381,91,Lee,52627,(319) 372-4233
Kensington Place,Assisted Living Programs,Active,New Hampton,504 Short Avenue,,S0202,68,Chickasaw,50659-1867,(641) 394-4153
Kentucky Ridge Neighborhood AL,Assisted Living Programs,Active,Mason City,2060 Kentucky Avenue South,,S0153,120,Cerro Gordo,50401-7129,(641) 423-5707
"Kevington Lane, Inc.",Residential Care Facilities,Closed,Sidney,2876 230th Street,aaron@klaasmeyerconsulting.com,360305,15,Fremont,51652-9785,(712) 374-2296
Keystone Cedars Assisted Living,Assisted Living Programs,Active,Cedar Rapids,6325 Rockwell Drive NE,,S0389,122,Linn,52402,(319) 393-9500
Keystone Place At Forevergreen AL,Assisted Living Programs,Active,North Liberty,1275 W. Forevergreen Road,,S0393,112,Johnson,52317,(319) 459-1964
Keystone Senior Suites,Assisted Living Programs,Active,Keystone,251 6th St,,S0018,24,Benton,52249-9538,(319) 442-3234
Kingston Court,Assisted Living Programs,Active,Elkader,118 Reimer Street SW,,S0152,42,Clayton,52043-9558,(563) 245-1620
Kingston Hill,Residential Care Facilities,Active,Cedar Rapids,202 12th Street Sw,,578962,12,Linn,52405,(319) 362-1382
Kosgrove Estate,Assisted Living Programs,Active,Sioux Center,4155 Us 75,,S0115,20,Sioux,51250-7522,(712) 722-4972
Kossuth County Care Facility,Residential Care Facilities,Closed,Algona,1906 90th Avenue,,550826,46,Kossuth,50511-7140,(515) 295-2832
Lakeside Assisted Living,Assisted Living Programs,Active,Emmetsburg,401 North Lawler Street,,S0340,24,Palo Alto,50536,(712) 852-4060
Lakeview Village,Assisted Living Programs,Active,Amana,3012 F Drive,,S0103,56,Iowa,52203-8224,(319) 622-6500
Lamoni Assisted Living,Assisted Living Programs,Active,Lamoni,810 East Third,,S0256,10,Decatur,50140-1300,(641) 784-8910
Landsmeer Ridge Retirement Comm,Assisted Living Programs,Active,Orange City,"1007 7th Street, Ne",,S0037,44,Sioux,51041-1190,(712) 737-8947
Lawton Senior Living,Assisted Living Programs,Active,Lawton,200 E Char-mac Dr,,S0074,50,Woodbury,51030-8171,(712) 944-4893
Leahy Grove Independent And Assisted Living,Assisted Living Programs,Active,Hampton,800 Second Street Se,,S0305,32,Franklin,50441-2626,(641) 456-2701
Legacy House,Residential Care Facilities,Closed,Indianola,207 East Salem Avenue,legacyhousercf@yahoo.com,910498,15,Warren,50125-0000,(515) 961-5245
Legacy Pointe,Assisted Living Programs,Active,Iowa City,1020 S. Scott Blvd.,,S0116,136,Johnson,52240-5832,(319) 341-0911
Leland R Smith Assisted Living Residences,Assisted Living Programs,Active,Wilton,309 Ovesen Drive,,S0187,48,Muscatine,52778-9605,(563) 732-2086
Liberty Square Care Center,Residential Care Facilities,Closed,Nora Springs,111 South Boulder Avenue,liberty@ahahealthcare.com,340777,58,Floyd,50458-0519,(641) 749-5372
Lincolnway Villa AL,Assisted Living Programs,Active,Wheatland,320 East Lincolnway,,S0171,28,Clinton,52777-9731,(563) 374-1295
Lincolnwood Assisted Living,Assisted Living Programs,Active,Edgewood,"302 W Lincoln, Po Box 189",,S0082,54,Delaware,52042-0189,(563) 928-6461
Linden Place AL,Assisted Living Programs,Active,Waverly,1802 5th Ave Nw,,S0088,60,Bremer,50677-1903,(319) 352-8851
Lindens,Assisted Living Programs,Active,Ames,2355 Hamilton Circle,,S0327,32,Story,50014,(515) 296-5000
Linnwood Estates,Assisted Living Programs,Active,Glenwood,700 North Linn Street,,S0191,50,Mills,51534-1100,(712) 527-1035
Longhouse-Northshire Ltd,Residential Care Facilities,Closed,Spencer,711 West 11th Street,,210065,15,Clay,51301-0177,(712) 262-2344
Lutheran Home Apts,Assisted Living Programs,Active,Vinton,1413 2nd Ave,,S0034,36,Benton,52349-1695,(319) 472-2092
Madrid Home For The Aging,Residential Care Facilities,Closed,Madrid,613 West North Street,kkudej@madridhome.com,80797,20,Boone,50156-1059,(515) 795-3007
Maggie's House Assisted Living,Assisted Living Programs,Active,Dewitt,107 E 2nd,,S0089,40,Clinton,52742-2140,(563) 659-1678
Main Street Manor,Assisted Living Programs,Active,Swea City,207 3rd Street North,,S0312,34,Kossuth,50590,(515) 477-0139
Makee Manor,Residential Care Facilities,Closed,Waukon,877 Highway 9,janellingson@hotmail.com,30709,45,Allamakee,52172-7757,(563) 568-4266
Mallard View Inc,Residential Care Facilities,Closed,Carroll,17504 Mahogany Avenue,sharikitt@gmail.com,140647,47,Carroll,51401-9590,(712) 792-3785
Malone Creek Estate,Residential Care Facilities,Closed,Independence,2059 Lee Avenue,sdavis3485@yahoo.com,100468,15,Buchanan,50644-9207,(319) 334-2508
Manning Senior Living,Assisted Living Programs,Active,Manning,203 11th Street,,S0356,53,Carroll,51455,(712) 655-4893
Maple Grove Senior Living,Assisted Living Programs,Active,Centerville,1917 South 18th Street,,S0148,30,Appanoose,52544-3136,(641) 856-6601
Maple Manor Village,Assisted Living Programs,Active,Aplington,343 Parriott,,S0048,36,Butler,50604-1063,(319) 347-1502
Maple Ridge AL,Assisted Living Programs,Active,Mt Ayr,1500 East South Street,,S0136,24,Ringgold,50854-2262,(641) 464-3204
Maples Assisted Living,Assisted Living Programs,Active,Fayette,98 Bolger Drive,,S0204,26,Fayette,52142-9716,(563) 425-4160
Marilyn Ott Center,Residential Care Facilities,Closed,Cresco,21668 80th Street,pat.ogden@westernhome.org,450478,49,Howard,52136-8412,(563) 547-2398
Marion County Care Facility Of Tenco,Residential Care Facilities,Closed,Knoxville,1111 Newbold Street,"sgehlhaar@tenco.org; bwright@tenco.org; 
 camason@tenco.org",630531,15,Marion,50138-1836,(641) 828-6281
Mark Residential Care Facility,Residential Care Facilities,Closed,Chariton,309 South Grand,,590089,11,Lucas,50049-2122,(641) 774-4431
Marshall County Care Facility,Residential Care Facilities,Closed,Marshalltown,2369 Jessup Avenue,,640359,0,Marshall,50158-0000,(641) 754-6324
Martina Place,Assisted Living Programs,Active,Johnston,5815 Winwood Dr,,S0002,120,Polk,50131-1666,(515) 251-7999
Mason City Group Home,Residential Care Facilities,Active,Mason City,695 South Illinois,"sarahbeyer@comprehensivesystems.org; 
 melissabollman@comprehensivesystems.org",170064,15,Cerro Gordo,50401-0000,(641) 423-4513
Mayflower Home,Assisted Living Programs,Active,Grinnell,927 1st Ave,,S0071,17,Poweshiek,50112-2480,(641) 236-6151
Mayflower Home,Residential Care Facilities,Active,Grinnell,616 Broad Street,kmcgriff@mayflowerhomes.com,790277,23,Poweshiek,50112-2267,(641) 236-6151
Mccall Residential Care,Residential Care Facilities,Closed,Oskaloosa,709 A Avenue East,dixieray@mchsi.com,620798,9,Mahaska,52577-0532,(641) 673-7328
Meadows (the),Assisted Living Programs,Active,Manchester,200 Mccarren Dr,,S0069,74,Delaware,52057-0000,(563) 927-6467
Meadows Assisted Living,Assisted Living Programs,Active,Clarion,1302 South Main Street,,S0225,42,Wright,50525-2091,(515) 532-2035
Meadows Of Shell Rock,Assisted Living Programs,Active,Shell Rock,528 N Kelly St,,S0084,60,Butler,50670-1006,(319) 885-4341
Mediapolis Care Facility,Residential Care Facilities,Active,Mediapolis,142 North Orchard,cdschwartz22@hotmail.com,290360,30,Des Moines,52637-0129,(319) 394-3432
Melrose Meadows Retirement Community,Assisted Living Programs,Active,Iowa City,350 Dublin Drive,,S0159,52,Johnson,52246-6013,(319) 341-7893
Methodist Manor Retirement Community,Residential Care Facilities,Closed,Storm Lake,1206 West Fourth,manor@mmrcsl.org,110001,12,Buena Vista,50588-0000,(712) 732-1120
Mica Hill Estates,Assisted Living Programs,Active,Hawarden,2121 Ave L,,S0097,28,Sioux,51023-1361,(712) 551-1074
Mill Pond AL,Assisted Living Programs,Active,Ankeny,1201 SE Mill Pond Court,,S0399,80,Polk,50021,(515) 965-3107
Mills Harbour Independent & Assisted Living,Assisted Living Programs,Active,Lake Mills,311 South 10th Avenue E,,S0262,70,Winnebago,50450-1870,(641) 592-4900
Milvern Guest Home #1,Residential Care Facilities,Closed,Waterloo,413 East First Street,,70606,6,Black Hawk,50703-3501,(319) 234-1323
Milvern Guest Home #2,Residential Care Facilities,Closed,Waterloo,407 East First Street,,70645,12,Black Hawk,50703-3501,(319) 234-1323
Mitchell County Care Facility,Residential Care Facilities,Closed,Osage,3834 March Avenue,mtaets@countysocialservices.org,660549,15,Mitchell,50461-8372,(641) 732-3145
MJ Estates,Assisted Living Programs,Active,Exira,411 S. Carthage Street,,S0364,32,Audubon,50076,(712) 268-5393
Morningstar at Jordan Creek,Assisted Living Programs,Active,West Des Moines,525 S. 60th Street,,S0387,93,Dallas,50266,(515) 505-7155
Mosaic,Residential Care Facilities,Closed,Council Bluffs,600 Ninth Avenue,"mary.arndt@mosaicinfo.org; 
 jim.poehlman@mosaicinfo.org",780204,12,Pottawattamie,51501-6469,(712) 328-3957
Mount Carmel Bluffs,Residential Care Facilities,Closed,Dubuque,1170 Carmel Drive,srentz@preshomes.org,310979,67,Dubuque,52003,(563) 556-5474
Mount Carmel Bluffs,Residential Care Facilities,Closed,Dubuque,1170 Carmel Drive,SRENTZ@PRESHOMES.ORG,310979,67,Dubuque,52003,(563) 556-5474
Mount Carmel Bluffs,Residential Care Facilities,Active,Dubuque,1170 Carmel Drive,sara.rentt@preshome.org,310979,67,Dubuque,52003,(563) 556-5474
Mulberry Place,Assisted Living Programs,Active,Bloomfield,11 Deborah Drive,,S0123,28,Davis,52537-1174,(641) 664-2523
Murphy Place Assisted Living,Assisted Living Programs,Active,Corydon,620 East Monroe,,S0190,20,Wayne,50060-1620,(641) 872-3993
New Hampton Group Home,Residential Care Facilities,Active,New Hampton,841 West Main Street,melissabollman@comprehensivesystems.org; lherman@comprehensivesystems.org,190367,12,Chickasaw,50659-0000,(641) 394-2670
New Horizon Residential,Residential Care Facilities,Closed,Tipton,1033 Logan Avenue,NHR@IOWATELECOM.NET,160012,15,Cedar,52772-9410,(563) 886-6675
Newton Village Inc.,Assisted Living Programs,Active,Newton,122 North 5th Avenue West,,S0416,70,Jasper,50208,(641) 792-0115
Ninth Street Group Home,Residential Care Facilities,Active,Charles City,310 9th Street,"judyrust@comprehensivesystems.org; 
 melissabollman@comprehensivesystems.org",340957,12,Floyd,50616-0457,(641) 228-5785
Noelridge Manor,Residential Care Facilities,Closed,Cedar Rapids,1010 Regent Street Ne,,570395,28,Linn,52402-5730,(319) 395-9502
Northridge Village,Assisted Living Programs,Active,Ames,3300 George Washington Carver Avenue,,S0353,68,Story,50010,(515) 232-1000
Northside Court,Residential Care Facilities,Active,Hull,1111 Seventh Street,avanroek@hopehaven.org; kpatters@hopehaven.org; leanblau@hopehaven.org,840980,12,Sioux,51239-0499,(712) 439-2261
Northwood Pines,Assisted Living Programs,Active,Northwood,"700 10th Street, North",,S0271,32,Worth,50459-1004,(641) 324-0061
Oak Estates,Assisted Living Programs,Active,Conrad,110 Alice Street,,S0105,32,Grundy,50621-2019,(641) 366-3115
Oak Park Place,Assisted Living Programs,Active,Dubuque,1381 Oak Park Place,,S0418,84,Dubuque,52002,(563) 585-4900
Oak Street Group Home,Residential Care Facilities,Active,Red Oak,100 Oak Street,wdavies@nishna.org,690223,8,Montgomery,51566-1431,(712) 623-9767
Oakhill Assisted Living,Assisted Living Programs,Active,Hawarden,1126 Oak Hill Drive,,S0102,18,Sioux,51023-1368,(712) 551-4284
Oakland Heights,Assisted Living Programs,Active,Oakland,904 N Scenic Dr,,S0070,24,Pottawattamie,51560-4070,(712) 482-3566
Oaks at Parkview Care Center,Assisted Living Programs,Active,Fairfield,2235 Hwy 34,,S0276,32,Jefferson,52556,(641) 472-5022
Oakview Home,Residential Care Facilities,Closed,Conrad,511 East Center Street,shughes@mchsi.com,380345,8,Grundy,50621-0785,(641) 366-2212
Oakwood Place at Ridgecrest Village,Assisted Living Programs,Active,Davenport,4130 Northwest Blvd.,,S0430,90,Scott,52806,(563) 391-3430
Odebolt Assisted Living,Assisted Living Programs,Active,Odebolt,799 South Des Moines,,S0250,12,Sac,51458-1032,(712) 668-2224
Odessa Residential Care Facility,Residential Care Facilities,Closed,Wapello,12635 County Road G56,odessaadmin@iowatelecom.net,580626,15,Louisa,52653-9427,(319) 523-8365
Oneota Village,Assisted Living Programs,Active,Decorah,5 Ohio Street,,S0206,32,Winneshiek,52101-1563,(563) 382-1869
Orchard Hill Rescare,Residential Care Facilities,Closed,Washington,2175 Lexington Boulevard,dlueck@iowarescare.com,920517,30,Washington,52353-0000,(319) 653-6571
Osage Group Home,Residential Care Facilities,Active,Osage,818 North Seventh Street,"melissabollman@comprehensivesystems.org; 
 michelewagner@comprehensivesystems.org",660487,15,Mitchell,50461-0000,(641) 732-5507
Oskaloosa Care Center,Residential Care Facilities,Closed,Oskaloosa,412 North A,,620170,0,Mahaska,52577-2152,(641) 673-7572
Otsego Place,Assisted Living Programs,Active,Storm Lake,520 Otsego Street,,S0184,84,Buena Vista,50588-1760,(712) 299-4750
Ottumwa Residential Home,Residential Care Facilities,Closed,Ottumwa,1021 Hackberry,,900954,0,Wapello,52501-0000,(641) 682-2608
Palmer House,Residential Care Facilities,Active,Emmetsburg,1501 Palmer Street,"katesimonson@horizons-unlimited.net; 
 ronaskland@horizons-unlimited.net",740209,8,Palo Alto,50536-1852,(712) 852-4722
Panora AL,Assisted Living Programs,Active,Panora,807 East Main Street,,S0255,13,Guthrie,50216-1017,(641) 755-2700
Park Centre,Assisted Living Programs,Closed,Newton,500 1st Street North,,S0201,32,Jasper,50208-3119,(641) 791-5000
Park Centre,Residential Care Facilities,Closed,Newton,500 First Street North,jrau@wesleyservices.org,S0201,20,Jasper,50208-3112,(641) 791-5000
Park Centre,Assisted Living Programs,Active,Newton,500 1st Street North,,S0201,32,Jasper,50208-3119,(641) 791-5000
Park Place Estates,Assisted Living Programs,Active,Lemars,900 Lincoln St Ne,,S0021,60,Plymouth,51031-3345,(712) 546-6793
Park Place Independent & Assisted Living,Assisted Living Programs,Active,Sac City,551 Park Avenue,,S0281,20,Sac,50583,(712) 662-6260
Parkview Assisted Living,Assisted Living Programs,Active,Fairbank,114 Forest Street,,S0189,36,Buchanan,50629-7713,(319) 635-2585
Parkview Assisted Living,Assisted Living Programs,Active,Coon Rapids,210 Park Street,,S0274,24,Carroll,50058,(712) 999-0120
Parkview Home,Residential Care Facilities,Active,Wayland,102 North Jackson Street,,440318,18,Henry,52654-0038,(319) 256-3525
Penn Center,Residential Care Facilities,Active,Delhi,2237 245th Street,,280422,60,Delaware,52223-0273,(563) 922-2881
Pennington Square,Assisted Living Programs,Active,Monticello,502 Pinehaven Dr,,S0110,48,Jones,52310-2062,(319) 465-2013
Pennsylvania Place,Assisted Living Programs,Active,Ottumwa,One Pennsylvania Place,,S0421,102,Wapello,52501,(641) 684-4000
Perry Lutheran Home Al,Assisted Living Programs,Closed,Perry,2323 E Willis Ave,acregeen@perrylutheranhomes.org,S0068,9,Dallas,50220-2148,(515) 465-5342
Perry Lutheran Homes Eden Acres Campus,Assisted Living Programs,Active,Perry,1300 28th Street; Po Box 578,,S0346,16,Dallas,50220,(515) 465-5316
Perry Lutheran Homes Spring Valley Campus,Assisted Living Programs,Active,Perry,501 12th Street,,S0129,77,Dallas,50220-1913,(515) 465-7500
Petersen Commons,Assisted Living Programs,Active,Davenport,1607 West 12th Street,,S0214,102,Scott,52804-4086,(563) 323-3888
Pheasant Ridge,Residential Care Facilities,Closed,Toledo,2840 K Avenue,brenda@genesisdevelopment.com,860419,15,Tama,52342-9405,(641) 484-3561
Pine Acres Assisted Living,Assisted Living Programs,Active,West Des Moines,1499 Office Park Rd,,S0056,56,Polk,50265-6500,(515) 223-1224
Pinicon Place,Residential Care Facilities,Active,Anamosa,1615 Breca Ridge Drive,rhinz@enlivant.com; legalhelp@enlivant.com,530956,51,Jones,52205-0000,(319) 462-3070
Pinnacle Group Home Llc,Residential Care Facilities,Active,Muscatine,3500 Diana Queen Drive,Barbara@pinnaclegrouphomes.com,705289,6,Muscatine,52761,(563) 554-3250
Pleasant Hill Residential,Residential Care Facilities,Active,Pleasant Hill,4755 Parkridge Avenue,"rlhemness@qwestoffice.net; 
 jmoorecare@mediacombb.net",772231,35,Polk,50327,(515) 777-3631
Pleasant House,Residential Care Facilities,Active,Emmetsburg,1901 Pleasant Street,audreyhansen@horizons-unlimited.net; carlafirkins@horizons-unlimited.net,740273,8,Palo Alto,50536-2261,(712) 852-4404
Pleasant Place,Residential Care Facilities,Closed,Ottumwa,1419 East Second Street,,900166,6,Wapello,52501-0000,(641) 683-1158
Pleasant View Assisted Living,Assisted Living Programs,Active,Whiting,200 Shannon Dr,,S0149,26,Monona,51063-1021,(712) 458-2417
Pleasantview Home Rcf,Residential Care Facilities,Closed,Kalona,811 Third Street,njedlicka@pvhome.org,920280,20,Washington,52247-0309,(319) 656-2421
Prairie Creek Assisted Living,Assisted Living Programs,Active,West Bend,301 4th Street NW,,S0173,32,Palo Alto,50597-5113,(515) 887-4071
Prairie Gate Assisted Living,Assisted Living Programs,Active,Council Bluffs,16 Valley View Drive,nurinko@preshomes.org,S0431,48,Pottawattamie,51503,(712) 352-6600
Prairie Hills at Des Moines,Assisted Living Programs,Closed,Des Moines,5815 Se 27th Street,,S0417,94,Polk,50320,(515) 256-9143
Prairie Hills at Des Moines,Assisted Living Programs,Active,Des Moines,5815 SE 27th Street,,S0417,94,Polk,50320,(515) 256-9143
Prairie Hills Senior Living,Assisted Living Programs,Active,Cedar Rapids,2903 F Avenue Nw,,S0277,86,Linn,52405,(319) 390-7700
Prairie Park,Residential Care Facilities,Closed,Muscatine,1810 Houser Street,nnauman@iowarescare.com,700148,30,Muscatine,52761-2297,(563) 263-5585
Prairie View,Residential Care Facilities,Active,Fayette,18569 Lane Road,,330278,10,Fayette,52142-9525,(563) 422-5606
Prairie View Inn,Assisted Living Programs,Active,Sanborn,610 N. Eastern Street,,S0039,26,O'Brien,51248-1089,(712) 930-3228
Prairie Vista Village,Assisted Living Programs,Active,Altoona,2785 1st Avenue South,,S0342,68,Polk,50009,(515) 967-8700
Premier Suites,Assisted Living Programs,Closed,Mt Pleasant,701 E Mapleleaf Dr,,S0073,12,Henry,52641-0000,(319) 385-1400
Pride Group @ 12th Street,Residential Care Facilities,Active,Lemars,200 12th Street Se,jennifer@thepridegroup.org,750040,8,Plymouth,51031-2503,(712) 546-6570
Pride Group @ 6th Avenue,Residential Care Facilities,Active,Lemars,115 6th Avenue S.w.,jennifer@thepridegroup.org,750560,7,Plymouth,51031,(712) 541-6028
Pride Group @ Division Street,Residential Care Facilities,Closed,Sioux City,4038 Division Street,terry@thepridegroup.org,970163,10,Woodbury,51104,(712) 239-7214
Pride Group @ Lincoln Street,Residential Care Facilities,Active,LeMars,1240 Lincoln Street NE,,750562,43,Plymouth,51031-3319,(712) 546-6529
Pride Group @ Okoboji,Residential Care Facilities,Closed,Okoboji,2273 170th Street,"tresak@thepridegroup.org; 
 reneek@thepridegroup.org",300271,38,Dickinson,51355-0000,(712) 332-2134
Pride Group @ Primghar,Residential Care Facilities,Active,Primghar,6059 390th Street,jennifer@thepridegroup.org,710257,34,O'Brien,51245-0000,(712) 757-6375
Prime Assisted Living,Assisted Living Programs,Active,Lemars,108 1st Avenue NW,,S0197,54,Plymouth,51031-3542,(712) 548-5488
Prime Assisted Living,Assisted Living Programs,Active,Sioux City,725 Pearl Street,,S0245,120,Woodbury,51101-1014,(712) 226-6300
Primrose Retirement Community,Assisted Living Programs,Active,Council Bluffs,1801 East Kanesville Blvd.,,S0273,64,Pottawattamie,51503,(712) 352-1111
Proffitts Residential Care Facility,Residential Care Facilities,Closed,Centerville,615 West Washington Street,cdproffitt@iowatelecom.net,40542,10,Appanoose,52544-1623,(641) 856-8344
Ramsey Village,Residential Care Facilities,Active,Des Moines,1611 27th Street,laura.coco@ramseyvillage.org,770308,41,Polk,50310-5499,(515) 274-3612
Redwood Court,Residential Care Facilities,Active,Rock Valley,1705 19th Street,avanroek@hopehaven.org; kpatters@hopehaven.org; leanblau@hopehaven.org,840979,12,Sioux,51247-1017,(712) 476-2629
Reed Place,Assisted Living Programs,Active,Denison,2506 3rd Ave N,,S0013,43,Crawford,51442-1730,(712) 263-8657
Regency Assisted Living,Assisted Living Programs,Active,Norwalk,815 High Road,,S0232,60,Warren,50211-1462,(515) 981-4576
Ridge Senior Living,Assisted Living Programs,Active,Holstein,801 Benning Drive,manager@holsteinseniorliving.com,S0420,28,Ida,51025,(712) 368-4893
Ridgeview Assisted Living,Assisted Living Programs,Active,Burlington,4925 West Ave,,S0067,72,Des Moines,52601-0000,(319) 752-1200
Ridgeview Assisted Living,Assisted Living Programs,Active,Cedar Rapids,2975 F Avenue Nw,,S0205,88,Linn,52405-2949,(319) 362-1050
Ridgeview Assisted Living - Marion,Assisted Living Programs,Active,Marion,720 Oakbrook Drive,,S0408,60,Linn,52302,(319) 390-8439
Ridgeway Place,Assisted Living Programs,Closed,Waterloo,155 East Ridgeway Ave,lwikle@fm-inc.org,S0130,169,Black Hawk,50702-5000,(319) 272-2622
Ringgold County Group Home,Residential Care Facilities,Active,Mount Ayr,111 Ringgold Street,,800387,8,Ringgold,50854-9574,(641) 464-2871
Rise Ltd Group Home,Residential Care Facilities,Active,Elkader,107 Maxie Avenue,jpensel@riseltd.net,220379,10,Clayton,52043-0696,(563) 245-1868
Risen Son Christian Village,Residential Care Facilities,Active,Council Bluffs,3000 Risen Son Boulevard,mromshek@chliving.org,780641,36,Pottawattamie,51503-1900,(712) 366-9655
River Bend Retirement Community,Assisted Living Programs,Active,Cascade,813 Tyler Street Ne,,S0237,83,Dubuque,52033,(563) 852-5001
River Hills Village,Assisted Living Programs,Active,Keokuk,20 Village Circle,,S0053,64,Lee,52632-2040,(319) 524-5772
River Living Center,Assisted Living Programs,Active,Guttenberg,831 South Hwy 52,,S0279,11,Clayton,52052,(563) 252-3070
River Ridge and Gardens AL,Assisted Living Programs,Active,Fort Dodge,420 Kenyon Road,,S0394,133,Webster,50501,(515) 573-2121
River Valley Residential Services Inc,Residential Care Facilities,Closed,Boone,388 Nature Road,,80028,0,Boone,50036-7283,(515) 432-1822
Riverside Senior Living,Assisted Living Programs,Active,Charles City,209 Park Drive,,S0194,40,Floyd,50616-1619,(641) 228-2800
Riverview Ridge,Assisted Living Programs,Active,Rock Valley,712 Westview Drive,,S0438,76,Sioux,51247,(712) 476-4001
Riverview Terrace,Assisted Living Programs,Active,Spencer,1501 St. Luke Drive,,S0040,117,Clay,51301-6073,(712) 262-5932
"Rock Rapids PE, LLC",Assisted Living Programs,Active,Rock Rapids,1510 S Carroll,,S0047,39,Lyon,51246-2078,(712) 472-4100
Rock Ridge Assisted Living,Assisted Living Programs,Active,Shellsburg,400 Canton Street Nw,,S0235,24,Benton,52332-9645,(319) 436-5570
Rock Ridge Residential Care Center,Residential Care Facilities,Active,Shellsburg,401 Canton Street Nw,rockridgecarecenter@aol.com,60996,30,Benton,52332-0000,(319) 436-5570
Rockwell Residential Care,Residential Care Facilities,Closed,Delmar,302 Center Street,,230510,10,Clinton,52037-0298,(563) 674-4646
Rose Haven Nursing Home,Residential Care Facilities,Active,Marengo,1500 Franklyn Avenue,jwinn@rosehavennursinghome.com,480183,2,Iowa,52301-1399,(319) 642-5533
