Facility Name,State Facility Type 1 Literal,City,Address,Email Address,Facility ID,Capacity,County,Zip Code,Phone Number,Date Accessed,State
Panora Al,ASSISTED LIVING PROGRAMS,Panora,807 EAST MAIN STREET,,S0255,13,Guthrie,50216-1017,(641) 755-2700,6/24/21,IA
Park Centre,ASSISTED LIVING PROGRAMS,Newton,500 1ST STREET NORTH,,S0201,32,Jasper,50208-3119,(641) 791-5000,6/24/21,IA
Park Place Estates,ASSISTED LIVING PROGRAMS,Lemars,900 LINCOLN ST NE,,S0021,60,Plymouth,51031-3345,(712) 546-6793,6/24/21,IA
Park Place Independent & Assisted Living,ASSISTED LIVING PROGRAMS,Sac City,551 PARK AVENUE,,S0281,20,Sac,50583,(712) 662-6260,6/24/21,IA
Parkview Assisted Living,ASSISTED LIVING PROGRAMS,Fairbank,114 FOREST STREET,,S0189,36,Buchanan,50629-7713,(319) 635-2585,6/24/21,IA
Parkview Assisted Living,ASSISTED LIVING PROGRAMS,Coon Rapids,210 PARK STREET,,S0274,24,Carroll,50058,(712) 999-0120,6/24/21,IA
Pennington Square,ASSISTED LIVING PROGRAMS,Monticello,502 PINEHAVEN DR,,S0110,48,Jones,52310-2062,(319) 465-2013,6/24/21,IA
Pennsylvania Place,ASSISTED LIVING PROGRAMS,Ottumwa,ONE PENNSYLVANIA PLACE,,S0421,102,Wapello,52501,(641) 684-4000,6/24/21,IA
Perry Lutheran Homes Eden Acres Campus,ASSISTED LIVING PROGRAMS,Perry,1300 28TH STREET; PO BOX 578,,S0346,16,Dallas,50220,(515) 465-5316,6/24/21,IA
Perry Lutheran Homes Spring Valley Campus,ASSISTED LIVING PROGRAMS,Perry,501 12TH STREET,,S0129,77,Dallas,50220-1913,(515) 465-7500,6/24/21,IA
Petersen Commons,ASSISTED LIVING PROGRAMS,Davenport,1607 WEST 12TH STREET,,S0214,102,Scott,52804-4086,(563) 323-3888,6/24/21,IA
Pine Acres Assisted Living,ASSISTED LIVING PROGRAMS,West Des Moines,1499 OFFICE PARK RD,,S0056,56,Polk,50265-6500,(515) 223-1224,6/24/21,IA
Pleasant View Assisted Living,ASSISTED LIVING PROGRAMS,Whiting,200 SHANNON DR,,S0149,26,Monona,51063-1021,(712) 458-2417,6/24/21,IA
Prairie Creek Assisted Living,ASSISTED LIVING PROGRAMS,West Bend,301 4TH STREET NW,,S0173,32,Palo Alto,50597-5113,(515) 887-4071,6/24/21,IA
Prairie Gate Assisted Living,ASSISTED LIVING PROGRAMS,Council Bluffs,16 VALLEY VIEW DRIVE,nurinko@preshomes.org,S0431,48,Pottawattamie,51503,(712) 352-6600,6/24/21,IA
Prairie Hills At Des Moines,ASSISTED LIVING PROGRAMS,Des Moines,5815 SE 27TH STREET,,S0417,94,Polk,50320,(515) 256-9143,6/24/21,IA
Prairie Hills Senior Living,ASSISTED LIVING PROGRAMS,Cedar Rapids,2903 F AVENUE NW,,S0277,86,Linn,52405,(319) 390-7700,6/24/21,IA
Prairie View Inn,ASSISTED LIVING PROGRAMS,Sanborn,610 N. EASTERN STREET,,S0039,26,O'Brien,51248-1089,(712) 930-3228,6/24/21,IA
Prairie Vista Village,ASSISTED LIVING PROGRAMS,Altoona,2785 1ST AVENUE SOUTH,,S0342,68,Polk,50009,(515) 967-8700,6/24/21,IA
Prime Assisted Living,ASSISTED LIVING PROGRAMS,Lemars,108 1ST AVENUE NW,,S0197,54,Plymouth,51031-3542,(712) 548-5488,6/24/21,IA
Prime Assisted Living,ASSISTED LIVING PROGRAMS,Sioux City,725 PEARL STREET,,S0245,120,Woodbury,51101-1014,(712) 226-6300,6/24/21,IA
Primrose Retirement Community,ASSISTED LIVING PROGRAMS,Council Bluffs,1801 EAST KANESVILLE BLVD.,,S0273,64,Pottawattamie,51503,(712) 352-1111,6/24/21,IA
Reed Place,ASSISTED LIVING PROGRAMS,Denison,2506 3RD AVE N,,S0013,43,Crawford,51442-1730,(712) 263-8657,6/24/21,IA
Regency Assisted Living,ASSISTED LIVING PROGRAMS,Norwalk,815 HIGH ROAD,,S0232,60,Warren,50211-1462,(515) 981-4576,6/24/21,IA
Ridge Senior Living,ASSISTED LIVING PROGRAMS,Holstein,801 BENNING DRIVE,manager@holsteinseniorliving.com,S0420,28,Ida,51025,(712) 368-4893,6/24/21,IA
Ridgeview Assisted Living,ASSISTED LIVING PROGRAMS,Burlington,4925 WEST AVE,,S0067,72,Des Moines,52601-0000,(319) 752-1200,6/24/21,IA
Ridgeview Assisted Living,ASSISTED LIVING PROGRAMS,Cedar Rapids,2975 F AVENUE NW,,S0205,88,Linn,52405-2949,(319) 362-1050,6/24/21,IA
Ridgeview Assisted Living - Marion,ASSISTED LIVING PROGRAMS,Marion,720 OAKBROOK DRIVE,,S0408,60,Linn,52302,(319) 390-8439,6/24/21,IA
River Bend Retirement Community,ASSISTED LIVING PROGRAMS,Cascade,813 TYLER STREET NE,,S0237,83,Dubuque,52033,(563) 852-5001,6/24/21,IA
River Hills Village,ASSISTED LIVING PROGRAMS,Keokuk,20 VILLAGE CIRCLE,,S0053,64,Lee,52632-2040,(319) 524-5772,6/24/21,IA
River Living Center,ASSISTED LIVING PROGRAMS,Guttenberg,831 SOUTH HWY 52,,S0279,11,Clayton,52052,(563) 252-3070,6/24/21,IA
River Ridge And Gardens Al,ASSISTED LIVING PROGRAMS,Fort Dodge,420 KENYON ROAD,,S0394,133,Webster,50501,(515) 573-2121,6/24/21,IA
Riverside Senior Living,ASSISTED LIVING PROGRAMS,Charles City,209 PARK DRIVE,,S0194,40,Floyd,50616-1619,(641) 228-2800,6/24/21,IA
Riverview Ridge,ASSISTED LIVING PROGRAMS,Rock Valley,712 WESTVIEW DRIVE,,S0438,76,Sioux,51247,(712) 476-4001,6/24/21,IA
Riverview Terrace,ASSISTED LIVING PROGRAMS,Spencer,1501 ST. LUKE DRIVE,,S0040,117,Clay,51301-6073,(712) 262-5932,6/24/21,IA
"Rock Rapids Pe, Llc",ASSISTED LIVING PROGRAMS,Rock Rapids,1510 S CARROLL,,S0047,39,Lyon,51246-2078,(712) 472-4100,6/24/21,IA
Rock Ridge Assisted Living,ASSISTED LIVING PROGRAMS,Shellsburg,400 CANTON STREET NW,,S0235,24,Benton,52332-9645,(319) 436-5570,6/24/21,IA
Rose Of Ames,ASSISTED LIVING PROGRAMS,Ames,1315 COCONINO ROAD,,S0209,112,Story,50014-8035,(515) 268-8828,6/24/21,IA
Rose Of Council Bluffs,ASSISTED LIVING PROGRAMS,Council Bluffs,2306 SHERWOOD DRIVE,,S0318,152,Pottawattamie,51503,(712) 322-1000,6/24/21,IA
Rose Of Des Moines,ASSISTED LIVING PROGRAMS,Des Moines,1330 19TH STREET,,S0223,104,Polk,50314-5000,(515) 244-3300,6/24/21,IA
Rose Of Dubuque,ASSISTED LIVING PROGRAMS,Dubuque,3390 LAKE RIDGE DRIVE,,S0331,140,Dubuque,52003,(563) 556-1977,6/24/21,IA
Rose Of East Des Moines,ASSISTED LIVING PROGRAMS,Des Moines,1331 IDAHO STREET,,S0282,128,Polk,50316-2463,(515) 883-1000,6/24/21,IA
Rose Of Waterloo,ASSISTED LIVING PROGRAMS,Waterloo,421 OAK AVENUE,,S0266,128,Black Hawk,50703-3401,(319) 232-6061,6/24/21,IA
Ruthven Community Care Center,ASSISTED LIVING PROGRAMS,Ruthven,2701 MITCHELL STREET,,S0147,30,Palo Alto,51358-7741,(712) 837-5411,6/24/21,IA
Senior Star At Elmore Place Assisted Living,ASSISTED LIVING PROGRAMS,Davenport,4500 ELMORE AVENUE,abuchholz@seniorstar.com,S0295,270,Scott,52807-2597,(563) 359-0100,6/24/21,IA
Senior Suites Of Urbandale,ASSISTED LIVING PROGRAMS,Urbandale,4700 84TH ST,,S0098,100,Polk,50322-7352,(515) 270-9700,6/24/21,IA
Shores At Pleasant Hill,ASSISTED LIVING PROGRAMS,Pleasant Hill,1500 EDGEWATER DRIVE,,S0382,210,Polk,50327,(515) 262-4444,6/24/21,IA
Sigourney Al,ASSISTED LIVING PROGRAMS,Sigourney,810 SOUTH STONE STREET,,S0144,18,Keokuk,52591-1244,(641) 622-2971,6/24/21,IA
Silver Palms,ASSISTED LIVING PROGRAMS,Mt. Pleasant,126 W. STONEBROOK DRIVE,,S0373,38,Henry,52641,(319) 931-6901,6/24/21,IA
Silver Pond Assisted Living,ASSISTED LIVING PROGRAMS,Wellman,1400 6TH AVE N.,,S0160,20,Washington,52356-9232,(319) 646-5802,6/24/21,IA
"Silveridge, An Eventide Community, Llc",ASSISTED LIVING PROGRAMS,Denison,222 SOUTH 20TH STREET,,S0315,72,Crawford,51442,(712) 263-2639,6/24/21,IA
Solon Assisted Living Village,ASSISTED LIVING PROGRAMS,Solon,623 E. 5TH STREET,,S0306,36,Johnson,52333,(319) 624-5353,6/24/21,IA
Southcrest Manor Ii,ASSISTED LIVING PROGRAMS,Waukon,602 2ND ST SW,,S0221,32,Allamakee,52172-2242,(563) 568-4207,6/24/21,IA
Southfield Wellness Community Al,ASSISTED LIVING PROGRAMS,Webster City,2414 DES MOINES STREET,,S0141,50,Hamilton,50595-3514,(515) 832-3715,6/24/21,IA
Spring Creek Independent And Assisted Living,ASSISTED LIVING PROGRAMS,Armstrong,110 2ND AVENUE,,S0302,24,Emmet,50514,(712) 868-5567,6/24/21,IA
Springvale Assisted Living,ASSISTED LIVING PROGRAMS,Humboldt,1050 15TH STREET NORTH,,S0203,32,Humboldt,50548-1076,(515) 332-7660,6/24/21,IA
Stanard Family Assisted Living Center,ASSISTED LIVING PROGRAMS,Cedar Falls,420 E 11TH ST,,S0036,109,Black Hawk,50613-3364,(319) 277-2141,6/24/21,IA
Stirlingshire Of Coralville Al,ASSISTED LIVING PROGRAMS,Coralville,1140 KENNEDY PARKWAY,jackie.scott@fairview.org,S0444,112,Johnson,52241,(319) 338-8100,6/24/21,IA
Stonebridge Suites,ASSISTED LIVING PROGRAMS,Cherokee,921 RIVERVIEW DRIVE,,S0158,24,Cherokee,51012-1578,(712) 225-5724,6/24/21,IA
Stonebridge Suites Of Bancroft,ASSISTED LIVING PROGRAMS,Bancroft,548 EAST RAMSEY,,S0294,18,Kossuth,50517,(515) 885-2463,6/24/21,IA
Stonebridge Suites Of Milford,ASSISTED LIVING PROGRAMS,Milford,1401 H AVENUE,,S0298,44,Dickinson,51351,(712) 338-4742,6/24/21,IA
Stoney Brook Village,ASSISTED LIVING PROGRAMS,West Union,705 SOUTH PINE STREET,,S0238,72,Fayette,52175-1548,(563) 422-7145,6/24/21,IA
Suites Of Ankeny,ASSISTED LIVING PROGRAMS,Ankeny,420 NW ASH DRIVE,,S0357,68,Polk,50021,(515) 635-0936,6/24/21,IA
Summit Heights,ASSISTED LIVING PROGRAMS,Nora Springs,8 S SUMMIT AVE,,S0060,16,Floyd,50458-8638,(641) 749-2411,6/24/21,IA
Summit House Assisted Living,ASSISTED LIVING PROGRAMS,Britt,600 1ST STREET NW,,S0336,90,Hancock,50423,(641) 843-3333,6/24/21,IA
Summit Pointe Senior Living,ASSISTED LIVING PROGRAMS,Marion,3505 ENGLISH GLEN AVENUE,,S0398,178,Linn,52302,(319) 373-4242,6/24/21,IA
Sunrise Assisted Living Suites,ASSISTED LIVING PROGRAMS,Traer,599 TAYLOR STREET,,S0297,30,Tama,50675,(319) 478-2730,6/24/21,IA
Sunrise Villa,ASSISTED LIVING PROGRAMS,Bellevue,308 NORTH 12TH STREET,,S0030,36,Jackson,52031-1944,(563) 872-5521,6/24/21,IA
Swan Place,ASSISTED LIVING PROGRAMS,Carroll,1024 E. 12TH STREET,,S0349,83,Carroll,51401,(712) 792-6974,6/24/21,IA
"Terrace Al Of Hillcrest Home, Inc.",ASSISTED LIVING PROGRAMS,Sumner,915 WEST 1ST STREET,deanna.kahler@westernhome.org,S0363,32,Bremer,50674,(563) 578-8591,6/24/21,IA
Terrace Glen Village,ASSISTED LIVING PROGRAMS,Marion,3400 ALBURNETT ROAD,,S0386,68,Linn,52302,(319) 377-9000,6/24/21,IA
Terrace Park Sr Living,ASSISTED LIVING PROGRAMS,Leon,201SW LORRAINE,,S0109,32,Decatur,50144-1182,(641) 446-8396,6/24/21,IA
The New Homestead,ASSISTED LIVING PROGRAMS,Guthrie Center,2306 STATE ST,,S0087,28,Guthrie,50115-8896,(641) 332-2204,6/24/21,IA
Thornton Heights Assisted Living,ASSISTED LIVING PROGRAMS,Lansing,1329 MAIN ST,,S0183,26,Allamakee,52151-9615,(563) 538-4335,6/24/21,IA
Timberland Village,ASSISTED LIVING PROGRAMS,Story City,725 TIMBERLAND DRIVE,,S0162,48,Story,50248-8772,(515) 733-6500,6/24/21,IA
Tower Living Center,ASSISTED LIVING PROGRAMS,Garnavillo,"103 CENTRE STREET, BOX 477",,S0247,7,Clayton,52049,(563) 964-9090,6/24/21,IA
Turner Pointe Assisted Living,ASSISTED LIVING PROGRAMS,Mcgregor,1203 BUELL AVENUE,,S0246,18,Clayton,52157-7501,(563) 873-3527,6/24/21,IA
Valley Lodge Al,ASSISTED LIVING PROGRAMS,Correctionville,1118 EAST HWY. 20,,S0140,18,Woodbury,51016-8056,(712) 372-4466,6/24/21,IA
Valley View Assisted Living,ASSISTED LIVING PROGRAMS,North English,"150 W. WASHINGTON, PO BOX 430",,S0185,24,Iowa,52316-9514,(319) 664-3257,6/24/21,IA
Valley View Manor Al,ASSISTED LIVING PROGRAMS,Muscatine,2421 LUTHERAN DR,,S0121,28,Muscatine,52761-9382,(563) 263-1241,6/24/21,IA
Village Assisted Living,ASSISTED LIVING PROGRAMS,Des Moines,2571 GUTHRIE AVENUE,,S0308,108,Polk,50317-3096,(515) 265-2571,6/24/21,IA
Vintage Hills Retirement Community Al,ASSISTED LIVING PROGRAMS,Indianola,604 E. HILLCREST AVENUE,,S0390,70,Warren,50125,(515) 961-1924,6/24/21,IA
Vista Prairie At Fieldcrest Al,ASSISTED LIVING PROGRAMS,Sheldon,2501 EAST 6TH STREET,,S0426,138,O'Brien,51201,(712) 324-2338,6/24/21,IA
Walnut Ridge,ASSISTED LIVING PROGRAMS,Clive,1701 CAMPUS DRIVE,,S0396,88,Polk,50325,(515) 457-1111,6/24/21,IA
Wel-Life At Alta,ASSISTED LIVING PROGRAMS,Alta,705 W 7TH ST,,S0096,57,Buena Vista,51002-1525,(712) 200-2620,6/24/21,IA
Wel-Life At Spirit Lake,ASSISTED LIVING PROGRAMS,Spirit Lake,1819 23RD ST,,S0025,53,Dickinson,51360-7096,(712) 336-3553,6/24/21,IA
Wellington Place,ASSISTED LIVING PROGRAMS,Decorah,2475 RIVER ROAD,,S0252,68,Winneshiek,52101-7591,(563) 382-2292,6/24/21,IA
Wesley Acres Central Al,ASSISTED LIVING PROGRAMS,Des Moines,3520 GRAND AVE,,S0075,126,Polk,50312-4359,(515) 271-6500,6/24/21,IA
Wesleylife The Village,ASSISTED LIVING PROGRAMS,Indianola,1203 NORTH E STREET,ewalton2@wesleylife.org,S0212,28,Warren,50125-3276,(515) 961-7458,6/24/21,IA
West Liberty Al Residences,ASSISTED LIVING PROGRAMS,West Liberty,1000 NORTH MILLER STREET,,S0118,36,Muscatine,52776-1102,(319) 627-4775,6/24/21,IA
Westhaven Community,ASSISTED LIVING PROGRAMS,Boone,112 WEST 4TH STREET,,S0321,40,Boone,50036,(515) 432-1393,6/24/21,IA
Westside Assisted Living Suites,ASSISTED LIVING PROGRAMS,Clarksville,110 ELY STREET,,S0334,24,Butler,50619,(319) 278-4900,6/24/21,IA
Whispering Creek Senior Living,ASSISTED LIVING PROGRAMS,Sioux City,2609 NICKLAUS BLVD.,,S0425,78,Woodbury,51106,(712) 276-2091,6/24/21,IA
White Oak Estates,ASSISTED LIVING PROGRAMS,Oskaloosa,914 N. 12TH ST.,,S0134,24,Mahaska,52577-2416,(641) 673-4443,6/24/21,IA
Willow Dale Independent & Assisted Living,ASSISTED LIVING PROGRAMS,Battle Creek,118 NORTH IDA STREET,,S0180,20,Ida,51006-9425,(712) 365-4338,6/24/21,IA
Willow Winds Assisted Living,ASSISTED LIVING PROGRAMS,Denver,121 BREMER AVENUE,,S0370,48,Bremer,50622,(319) 984-5867,6/24/21,IA
Willows (The),ASSISTED LIVING PROGRAMS,Stuart,324 SW 6TH STREET,,S0122,24,Adair,50250-2169,(515) 523-2815,6/24/21,IA
Willows Of Marshalltown,ASSISTED LIVING PROGRAMS,Marshalltown,2315 CAMPBELL DRIVE,,S0385,62,Marshall,50158,(641) 758-3123,6/24/21,IA
Windhaven Assisted Living Center,ASSISTED LIVING PROGRAMS,Cedar Falls,5500 SOUTH MAIN STREET,,S0388,166,Black Hawk,50613,(319) 277-2141,6/24/21,IA
Winding Creek Meadows,ASSISTED LIVING PROGRAMS,Jesup,1044 9TH STREET,,S0338,48,Buchanan,50648,(319) 827-1052,6/24/21,IA
Woodland Park Assisted Living,ASSISTED LIVING PROGRAMS,Anamosa,1207 EAST THIRD STREET,,S0253,32,Jones,52205-1569,(319) 462-2668,6/24/21,IA
