Entity Name,Entity Type,Status,City,Address,Email,Renewal Cycle,Entity Type Renewal Cycle(months),Initial License Date,Expiration Date,Current License Date,Entity Type Survey Cycle(months),Medicaid #,CNN #,Classification #,Occupancy Type,Max Occupancy,County,State,Zip,Administrator / License,Phone,Fax,Url,Closed Date,Months since last survey,Accreditation,Accredited / Deemed,LSC Waiver,Licensure Rule Variance
Davenport Lutheran AL,Assisted Living Programs,Active,Davenport,1128 W 53rd St,,730,24,1/17/01,1/16/23,1/16/21,24,,,S0033,Units,34,Scott,Iowa,52806-2435,Ami McReynolds / Administrator,(563) 386-6933,(563) 386-1056,,,28,FALSE,FALSE,FALSE,FALSE
Davis Center,Residential Care Facilities,Closed,Bloomfield,22425 Overland Avenue,dmccarty@optimaelifeservices.com,365,12,4/13/89,10/1/14,10/1/13,30,,,260567,Beds,6,Davis,Iowa,52537-7169,DAWN  MCCARTY / 02145,(641) 664-3202,(641) 664-3221,,8/22/14,94,FALSE,FALSE,FALSE,FALSE
Deer View Manor,Assisted Living Programs,Active,Sigourney,1212 South Stuart Street,,730,24,1/11/12,1/10/22,1/11/20,24,,,S0325,Units,50,Keokuk,Iowa,52591,Sandra Ahn /,(641) 622-2142,(641) 622-9910,,,16,FALSE,FALSE,FALSE,FALSE
Deerfield Place,Assisted Living Programs,Active,Sheffield,505 East Gilman St,,730,24,12/4/09,12/3/21,12/4/19,24,,,S0304,Units,32,Franklin,Iowa,50475,Cally Olson /,(641) 892-8080,(641) 892-8081,,,17,FALSE,FALSE,FALSE,FALSE
Deerfield Retirement Community,Residential Care Facilities,Active,Urbandale,13731 Hickman Road,,365,12,12/7/11,12/7/21,12/7/20,30,,,770064,Beds,26,Polk,Iowa,50323-2196,Kim Mason /,(515) 331-6900,(515) 331-6955,,,36,FALSE,FALSE,FALSE,FALSE
"Deerfield Retirement Community, Inc.",Assisted Living Programs,Active,Urbandale,13731 Hickman Road,,730,24,11/7/16,11/6/22,11/6/20,24,,,S0362,Units,40,Polk,Iowa,50323,Kim Mason /,(515) 331-6903,(515) 331-6955,,,20,FALSE,FALSE,FALSE,FALSE
Diamond Life Health Care,Residential Care Facilities,Closed,Montezuma,4912 Barnes City Road Box 820,dlife@zumatel.net,365,12,4/1/92,5/14/19,5/14/18,30,895854,,790725,Beds,50,Poweshiek,Iowa,50171-0820,DEBBIE VAN WYK /,(641) 623-5715,(641) 623-5886,,8/30/19,39,FALSE,FALSE,FALSE,FALSE
Dora Barnes Residential Home,Assisted Living Programs,Closed,Centerville,305 W Washington St,,365,24,5/3/00,,,24,,,S0077,Beds,6,Appanoose,Iowa,52544,Elaine  Carter /,(641) 437-1290,(641) 437-1290,,7/27/05,,FALSE,FALSE,FALSE,FALSE
Dubuque Retirement Community,Assisted Living Programs,Closed,Dubuque,2700 Matthew John Drive,mnauman@alcco.com,720,24,2/1/06,1/31/10,2/11/08,24,,,S0227,Units,274,Dubuque,Iowa,52002-2929,Michelle Nauman / Director,(563) 690-1900,(563) 690-0600,,10/1/09,142,FALSE,FALSE,FALSE,FALSE
Duluth House,Residential Care Facilities,Active,Ames,620 Duluth Street,"mlenning@optimaelifeservices.com; 
 mfoster@optimaelifeservices.com",365,12,,5/1/22,5/1/21,30,,,850672,Beds,8,Story,Iowa,50010-5952,MEESHA LENNING /,(515) 956-2600,(515) 956-2601,,,22,FALSE,FALSE,FALSE,FALSE
Dumont Wellness Center,Residential Care Facilities,Closed,Dumont,921 Third Street,kallbee@abcmcorp.com,365,12,,12/31/10,12/31/09,30,892638,,120888,Beds,5,Butler,Iowa,50625-0347,Kathy  Meyer-Allbee / 01808,(641) 857-3401,(641) 857-3651,,12/10/10,,FALSE,FALSE,FALSE,FALSE
Duncan Heights,Residential Care Facilities,Closed,Garner,1465 Highway 18,cboyken@mchsi.com,365,12,,3/1/16,3/2/15,30,894824,,410551,Beds,51,Hancock,Iowa,50438-9619,CHRIS BOYKEN /,(641) 923-3337,(641) 923-3444,,8/6/16,61,FALSE,FALSE,FALSE,FALSE
Dunlap Assisted Living,Assisted Living Programs,Active,Dunlap,1405 Harrison Road,,730,24,1/25/07,1/24/23,1/24/21,24,,,S0249,Units,12,Harrison,Iowa,51529-1565,Kerri Klaahsen / Administrator,(712) 643-2121,(712) 643-5502,,,21,FALSE,FALSE,FALSE,FALSE
Dutchman'S Oak,Assisted Living Programs,Closed,Durant,,,365,24,,,,24,,,s,Beds,0,Cedar,Iowa,52747,Susan Smith /,() -,() -,,8/9/05,,FALSE,FALSE,FALSE,FALSE
Dutchman's Oaks Assisted Living,Assisted Living Programs,Active,Dumont,921 3rd St. P.o. Box 347,,730,24,9/3/03,9/2/21,9/3/19,24,,,S0178,Units,12,Butler,Iowa,50625-1034,Kersten Fisher / Administrator,(641) 857-3401,(641) 857-3615,,,20,FALSE,FALSE,FALSE,FALSE
Eagle Grove Group Home,Residential Care Facilities,Active,Eagle Grove,605 East Broadway,bklug@onevision.org,365,12,4/5/88,4/5/22,4/5/21,30,894550,,990493,Beds,12,Wright,Iowa,50533-1820,BRAD KLUG /,(515) 448-5464,(515) 448-3831,,,29,FALSE,FALSE,FALSE,FALSE
Eagle Pointe Place,Assisted Living Programs,Active,Dubuque,2700 Matthew John Drive,sroth@enlivant.com,730,24,3/31/15,3/30/23,3/30/21,24,,,S0348,Units,138,Dubuque,Iowa,52002,Samantha Roth / null,(563) 690-1900,(563) 690-0600,,,22,FALSE,FALSE,FALSE,FALSE
Eagle Ridge Al,Assisted Living Programs,Closed,Elgin,6000 Harding Rd,eagleridge@acegroup.cc,365,24,11/9/00,11/8/08,11/9/07,24,,,S0099,Units,14,Fayette,Iowa,52141-0000,John  Chapman /,(563) 423-7365,(563) 423-7365,,2/5/08,,FALSE,FALSE,FALSE,FALSE
Eagle Ridge Independent And Assisted Living,Assisted Living Programs,Active,Guttenberg,1329 Acre Street,,730,24,9/1/15,8/31/21,9/1/19,24,,,S0354,Units,36,Clayton,Iowa,52052,Miranda Barnhart /,(563) 252-2288,(563) 252-2287,,,9,FALSE,FALSE,FALSE,FALSE
Eastern Star Masonic Home,Residential Care Facilities,Active,Boone,715 West 3rd Street,rcolby@iowaoeshome.com; cflugstad@iowaoeshome.com,365,12,,10/25/21,10/25/20,30,890210,,80268,Beds,125,Boone,Iowa,50036-4000,Rick  Colby /,(515) 432-5274,(515) 432-5276,,,2,FALSE,FALSE,FALSE,FALSE
Edgewater Assisted Living - Brookside,Assisted Living Programs,Active,West Des Moines,9225 Cascade Avenue,,730,24,8/28/19,8/27/21,8/28/19,24,,,S0414,Units,62,Dallas,Iowa,50266,Susan Arneson / Director,(515) 978-2610,(515) 978-2673,,,19,FALSE,FALSE,FALSE,FALSE
Edinburgh Manor,Residential Care Facilities,Closed,Scotch Grove,13241 E23 County Home Road,rrogerson@communitycareinc.net,365,12,7/1/01,7/1/11,7/1/10,30,896597,,530041,Beds,47,Jones,Iowa,52310-0000,RUSTY ROGERSON /,(319) 462-3875,(319) 487-3623,,11/15/10,137,FALSE,FALSE,FALSE,FALSE
Ellen Kennedy Living Center,Assisted Living Programs,Active,Dyersville,1177 7th Street SW,,730,24,9/27/02,9/26/22,9/26/20,24,,,S0155,Units,64,Dubuque,Iowa,52040-2513,Kari  Wittmeyer /,(563) 875-6323,(563) 875-6268,,,33,FALSE,FALSE,FALSE,FALSE
Elm Care Center,Residential Care Facilities,Closed,Jewell,500 East Lane,,365,12,1/24/01,,,30,,,400800,Beds,37,Hamilton,Iowa,50130-0520,MICHAEL  CUNNINGHAM /,(515) 827-5181,(515) 827-5730,,4/21/04,,FALSE,FALSE,FALSE,FALSE
Elm Crest Retirement Comm,Assisted Living Programs,Active,Harlan,2108 12th Street,,730,24,10/12/99,1/29/22,1/30/20,24,,,S0059,Units,64,Shelby,Iowa,51537-2023,Kathy Goede /,(712) 755-5174,(712) 755-5654,,,39,FALSE,FALSE,FALSE,FALSE
Elm Heights Al,Assisted Living Programs,Closed,Shenandoah,1203 S Elm Street,mwiebold@smchospital.com,365,24,12/10/99,2/13/16,2/13/15,24,,,S0064,Units,11,Page,Iowa,51601-2221,Molly Wiebold /,(712) 246-7600,(712) 246-7500,,10/13/14,84,FALSE,FALSE,FALSE,FALSE
Elm Springs Independent And Assisted Living,Assisted Living Programs,Active,Allison,900 Seventh Street West,,730,24,9/13/00,9/12/22,9/12/20,24,,,S0095,Units,36,Butler,Iowa,50602-9452,Kathy  Miller / Administrator,(319) 267-2791,(319) 267-2422,,,32,FALSE,FALSE,FALSE,FALSE
Elms,Assisted Living Programs,Active,Reinbeck,1007 3rd Street,,730,24,6/10/14,6/9/22,6/9/20,24,,,S0341,Units,24,Grundy,Iowa,50669,Misti Ellis /,(319) 345-6811,(319) 345-2624,,,32,FALSE,FALSE,FALSE,FALSE
"Elmwood PE, LLC",Assisted Living Programs,Active,Onawa,190 North 15th Street,,730,24,6/13/02,6/12/22,6/12/20,24,,,S0142,Units,48,Monona,Iowa,51040-1071,Gidget Wingad /,(712) 423-2510,(712) 423-1754,,,17,FALSE,FALSE,FALSE,FALSE
Emerald Oaks,Assisted Living Programs,Active,Emmetsburg,2603 17th Street,,730,24,2/13/03,2/12/23,2/12/21,24,,,S0169,Units,42,Palo Alto,Iowa,50536-2032,Kasey Sandbulte /,(712) 852-4266,(712) 852-4662,,,20,FALSE,FALSE,FALSE,FALSE
Emerson House,Residential Care Facilities,Closed,Waterloo,2009 Coachman Drive,"carrie.armbrecht@episervice.org; 
 bonnie.kipper@episervice.org; 
 kristine.olson@episervice.org; 
 Julie.loonan@episervice.org",365,12,5/18/76,5/18/21,5/18/20,30,892935,,70497,Beds,12,Black Hawk,Iowa,50701-0000,CARRIE ARMBRECHT /,(319) 232-5215,(319) 232-0453,,6/2/20,32,FALSE,FALSE,FALSE,FALSE
Emerson Point,Assisted Living Programs,Active,Iowa City,1355 Shannon Drive,,730,24,9/24/03,9/23/21,9/24/19,24,,,S0181,Units,108,Johnson,Iowa,52246-4192,Victoria Huffman / Administrator,(319) 466-0200,(319) 466-9370,,,20,FALSE,FALSE,FALSE,FALSE
Epic House,Residential Care Facilities,Active,Waterloo,1210 Idaho Street,megan.henning@episervice.org; callie.johnson@episervice.org; incident.reports@episervice.org,365,12,,3/10/22,3/10/21,30,896852,,70969,Beds,12,Black Hawk,Iowa,50703,CALLIE  JOHNSON /,(319) 235-6183,() -,,,23,FALSE,FALSE,FALSE,FALSE
Estabrook Lodge Assisted Living,Assisted Living Programs,Active,Eldora,2302 Rick Collins Way,,730,24,9/17/02,9/16/22,9/16/20,24,,,S0154,Units,8,Hardin,Iowa,50627-8357,Susan Eichmeier / Administrator,(641) 939-3491,(641) 939-2583,,,32,FALSE,FALSE,FALSE,FALSE
Eventide Lutheran Home,Residential Care Facilities,Closed,Denison,114 South 20th Street,mbaker@eventidehome.com,365,12,,5/6/15,5/6/14,30,890475,,240324,Beds,12,Crawford,Iowa,51442-2297,MINDI  BAKER / 02289,(712) 263-3114,(712) 263-8819,,11/30/14,95,FALSE,FALSE,FALSE,FALSE
Evergreen Estates I,Residential Care Facilities,Active,Cedar Rapids,3410 12th Avenue Sw,"pat@evergreenestates.biz; 
 mgiorgio_1@evergreenestates.biz",365,12,1/1/94,1/1/22,1/1/21,30,,,570002,Beds,50,Linn,Iowa,52404-1307,PAT GIORGIO /,(319) 396-3692,(319) 396-3540,,,3,FALSE,FALSE,FALSE,FALSE
Evergreen Estates II,Residential Care Facilities,Active,Cedar Rapids,307 Edgewood Road SW,,365,12,1/1/94,1/1/22,1/1/21,30,,,570010,Beds,25,Linn,Iowa,52404-1307,KATHY ELY /,(319) 365-4116,(319) 362-3683,,,2,FALSE,FALSE,FALSE,FALSE
Evergreen Estates III,Residential Care Facilities,Active,Cedar Rapids,2204 Johnson Avenue NW,,365,12,6/26/01,6/26/22,6/26/21,30,,,570492,Beds,50,Linn,Iowa,52405-4757,MATT GIORGIO /,(319) 363-8116,(319) 363-8138,,,2,FALSE,FALSE,FALSE,FALSE
Fair Oaks Care Centre,Residential Care Facilities,Closed,Shenandoah,1201 South Walnut Street,admin.forcf@trilliumhcg.com,365,12,3/2/98,3/2/17,3/2/16,30,,,730994,Beds,27,Page,Iowa,51601-2176,TINA DAVIS /,(712) 246-2055,(712) 246-2099,,10/31/16,74,FALSE,FALSE,FALSE,FALSE
Fairview Care Center,Residential Care Facilities,Closed,Anamosa,104 Broadway Place,a_ganzerbovitz@communitycareinc.net,365,12,11/15/10,11/15/13,11/15/12,30,,,530159,Beds,36,Jones,Iowa,52205,ANGELA GANZER-BOVITZ /,(319) 432-7922,(563) 487-3623,,1/4/13,126,FALSE,FALSE,FALSE,FALSE
Faith Home Assisted Living,Assisted Living Programs,Active,Osage,912 Davidson Drive,,730,24,3/23/06,3/22/22,3/22/20,24,,,S0231,Units,28,Mitchell,Iowa,50461-1482,Nikki Belz / Administrator,(641) 832-2580,(641) 832-2582,,,35,FALSE,FALSE,FALSE,FALSE
First Resources Corp,Residential Care Facilities,Active,Keosauqua,19248 Maple Avenue,,365,12,,7/1/21,7/1/20,30,895839,,890403,Beds,15,Van Buren,Iowa,52565-8288,Candace Wonderlich /,(319) 293-3107,(319) 293-3885,,,28,FALSE,FALSE,FALSE,FALSE
Floyd House,Assisted Living Programs,Closed,Sergeant Bluff,403 C St,floydhouse@alcco.com,365,24,11/23/99,1/29/12,1/29/11,24,,,S0062,Units,47,Woodbury,Iowa,51054-7705,Sandi Headid /,(712) 943-7025,(712) 943-7172,,7/6/10,,FALSE,FALSE,FALSE,FALSE
Floyd Place,Assisted Living Programs,Active,Sergeant Bluff,403 C Street,,730,24,9/29/14,9/28/22,9/28/20,24,,,S0343,Units,47,Woodbury,Iowa,51054,Mario Esteves Jr. /,(712) 943-7025,(712) 943-7172,,,3,FALSE,FALSE,FALSE,FALSE
Forest Plaza AL,Assisted Living Programs,Active,Forest City,635 Hwy. 9 East,,730,24,11/29/01,11/28/21,11/29/19,24,,,S0131,Units,80,Winnebago,Iowa,50436-1028,Rick Burke /,(641) 585-1555,(641) 585-2522,,,19,FALSE,FALSE,FALSE,FALSE
Fountain View Assisted Living,Assisted Living Programs,Active,Sioux City,5300 Gordon Drive East,,730,24,3/12/19,3/11/23,3/11/21,24,,,S0403,Units,68,Woodbury,Iowa,51106,Chris Schenkelberg /,(712) 276-3821,(712) 202-0410,,,2,FALSE,FALSE,FALSE,FALSE
Franken Manor,Assisted Living Programs,Active,Sioux Center,527 North Main Ave,,730,24,4/24/98,4/23/23,4/23/21,24,,,S0076,Units,60,Sioux,Iowa,51250-0000,Karen Bentsen /,(712) 722-8174,(712) 722-0787,,,21,FALSE,FALSE,FALSE,FALSE
Friendship Home Association Rcf,Residential Care Facilities,Closed,Audubon,714 North Division Street,friend@friendshiphome.com,365,12,,6/2/15,6/2/14,30,,,50124,Beds,30,Audubon,Iowa,50025-1300,Mary Gross / 02332,(712) 563-2651,(712) 563-2342,,9/26/14,101,FALSE,FALSE,FALSE,FALSE
Garden View,Assisted Living Programs,Active,Carroll,502 South Maple Street,,730,24,6/11/18,6/10/22,6/10/20,24,,,S0376,Units,72,Carroll,Iowa,51401,Jerry Wordekemper /,(712) 794-5050,,,,31,FALSE,FALSE,FALSE,FALSE
Garden View Al,Assisted Living Programs,Closed,Des Moines,4911 Sw 19th St,jstoker@pacificahealth.com,365,24,7/6/00,7/5/12,7/6/11,24,,,S0085,Units,16,Polk,Iowa,50315-4487,Jodie  Stoker /,(515) 285-2559,(515) 285-6487,,6/1/12,128,FALSE,FALSE,FALSE,FALSE
Gardens Assisted Living,Assisted Living Programs,Active,Jefferson,1000 West Washington,,730,24,2/27/08,2/26/22,2/27/20,24,,,S0269,Units,68,Greene,Iowa,50129-4701,Brianne Fister /,(515) 386-2555,(515) 386-3179,,,8,FALSE,FALSE,FALSE,FALSE
Gardens at Cherokee,Assisted Living Programs,Active,Cherokee,1610 Highway 3,,730,24,6/30/08,6/30/22,6/30/20,24,,,S0278,Units,68,Cherokee,Iowa,51012,Jana Utesch /,(712) 225-2999,(712) 225-6290,,,9,FALSE,FALSE,FALSE,FALSE
Gardens of Cedar Rapids,Assisted Living Programs,Active,Cedar Rapids,5710 Dean Road SW,,730,24,8/11/19,8/10/21,8/11/19,24,,,S0411,Units,60,Linn,Iowa,52404,Jenna Gardner /,(319) 632-1350,(319) 632-1389,,,15,FALSE,FALSE,FALSE,FALSE
Gateway Residential Care Facility,Residential Care Facilities,Closed,West Burlington,"Po Box 436,  13702 Washington Road",,365,12,7/1/95,7/1/06,7/1/05,30,891846,,290513,Beds,50,Des Moines,Iowa,52655-0436,DEBRA WOOD /,(319) 753-6261,(319) 752-7996,,3/6/06,198,FALSE,FALSE,FALSE,FALSE
Genesis Development,Residential Care Facilities,Closed,Winterset,1967 Highway 169 North Box 488,tljgenesis@hotmail.com,365,12,1/1/95,,,30,896555,,610431,Beds,51,Madison,Iowa,50273-0230,TERRY  JOHNSON /,(515) 462-9083,(515) 462-9065,,3/25/02,242,FALSE,FALSE,FALSE,FALSE
Georgian Court Of Oskaloosa,Residential Care Facilities,Closed,Oskaloosa,1320 High Avenue West,toweradm@iowatelecom.net,365,12,7/1/98,,,30,,,620807,Beds,47,Mahaska,Iowa,52577-0000,LAURA COCO /,(641) 673-5367,(641) 672-0160,,4/15/04,212,FALSE,FALSE,FALSE,FALSE
Glen Oaks Alzheimer's Special Care Center,Residential Care Facilities,Active,Urbandale,8525 Urbandale Avenue,,365,12,1/12/09,1/11/22,1/11/21,30,,,775543,Units,66,Polk,Iowa,50322-4108,Lisa Eastman / 02085,(515) 331-0970,(515) 331-8935,,,25,FALSE,FALSE,FALSE,FALSE
Golden Horizons,Assisted Living Programs,Active,Ida Grove,800 Byron Godbersen Drive,,730,24,1/11/11,1/10/23,1/10/21,24,,,S0316,Units,46,Ida,Iowa,51445,Jenny Sykes /,(712) 364-4128,(712) 364-2002,,,22,FALSE,FALSE,FALSE,FALSE
Good Samaritan Society - Timber Ridge,Assisted Living Programs,Active,Ottumwa,#2 Oak Ridge Road,,730,24,3/17/10,3/17/22,3/17/20,24,,,S0310,Units,48,Wapello,Iowa,52501,Pamela Wilson /,(641) 684-3553,(641) 684-3557,,,9,FALSE,FALSE,FALSE,FALSE
Good Samaritan Society - Waukon,Residential Care Facilities,Closed,Waukon,21 East Main Street,,365,12,12/1/77,12/1/11,12/1/10,30,,,30276,Beds,6,Allamakee,Iowa,52172-1799,JAMES SEWICK /,(563) 568-3447,(563) 568-2459,,5/1/11,152,FALSE,FALSE,FALSE,FALSE
Goode Residential Care Facility,Residential Care Facilities,Closed,Bloomfield,402 West Goode Street,rochea@mercyhealth.com,365,12,7/1/98,,,30,890525,,260580,Beds,15,Davis,Iowa,52537-0000,IONE  FRIEND /,(641) 664-2764,(641) 664-2788,,10/16/01,242,FALSE,FALSE,FALSE,FALSE
Grand Haven Retirement Community,Assisted Living Programs,Active,Eldridge,201 East Franklin Street,,730,24,7/25/19,7/24/21,7/25/19,24,,,S0410,Units,152,Scott,Iowa,52748,Stephanie Callahan /,(563) 285-4900,(563) 285-4911,,,21,FALSE,FALSE,FALSE,FALSE
Grand Jivante - The Lofts,Assisted Living Programs,Active,Ackley,1008 Second Avenue,,730,24,1/3/13,1/2/23,1/2/21,24,,,S0332,Units,18,Hardin,Iowa,50601,Karla Dewey-Goings / Provisional,(641) 847-3531,(641) 847-3428,,,25,FALSE,FALSE,FALSE,FALSE
Grand Living At Bridgewater,Assisted Living Programs,Closed,Coralville,3 Russell Slade Blvd.,kemrich@grandliving.com,720,24,6/11/18,6/10/19,6/20/17,24,,,S0375,Units,190,Jones,Iowa,52241,Kim Emrich /,(319) 930-3000,(319) 720-9553,,8/20/18,,FALSE,FALSE,FALSE,FALSE
Grand Living at Bridgewater,Assisted Living Programs,Active,Coralville,3 Russell Slade Blvd.,,730,24,6/11/18,6/10/22,6/10/20,24,,,S0383,Units,190,Johnson,Iowa,52241,Kim Emrich /,(319) 930-3000,(319) 720-9553,,,30,FALSE,FALSE,FALSE,FALSE
Grand Living at Indian Creek,Assisted Living Programs,Active,Cedar Rapids,325 Collins Road Se,,730,24,1/25/19,1/24/23,1/24/21,24,,,S0400,Units,182,Linn,Iowa,52403,LIsa Cleland /,(319) 930-3250,,,,25,FALSE,FALSE,FALSE,FALSE
Grand Living At Tower Place Al,Assisted Living Programs,Active,West Des Moines,540 S 51st Street,abarth@grandliving.com,720,24,4/2/21,4/1/22,4/11/20,24,,,S0442,Units,204,Polk,Iowa,50265,AMY BARTH /,(515) 505-0757,() -,,,,FALSE,FALSE,FALSE,FALSE
Grand Meadows AL,Assisted Living Programs,Active,Asbury,5300 Grand Meadow Drive,,730,24,12/11/19,12/9/21,12/10/19,24,,,S0423,Units,16,Dubuque,Iowa,52002,Tracey Long /,(563) 690-7150,(563) 690-9348,,,17,FALSE,FALSE,FALSE,FALSE
Grandview Terrace,Residential Care Facilities,Closed,Davenport,4760 Rockingham Road,myersta@royalneighbors.org,365,12,1/1/03,,,30,,,820293,Beds,54,Scott,Iowa,52802-2347,SAMANTHA  BLAKE /,(563) 322-3591,(563) 322-4203,,10/1/04,207,FALSE,FALSE,FALSE,FALSE
Greenfield AL Community,Assisted Living Programs,Active,Greenfield,615 SE Kent,,730,24,6/11/99,6/10/23,6/10/21,24,,,S0050,Units,40,Adair,Iowa,50849-9454,Kristin Merron /,(641) 743-6131,(641) 343-7090,,,19,FALSE,FALSE,FALSE,FALSE
Greenleaf Health Care,Residential Care Facilities,Closed,Fort Dodge,1305 North 22nd Street,jfowler@dodgenet.com,365,12,7/1/96,7/1/09,7/1/08,30,896365,,940016,Beds,18,Webster,Iowa,50501-5793,JUDY  FOWLER / 02023,(515) 955-4145,(515) 955-1731,,10/15/08,177,FALSE,FALSE,FALSE,FALSE
Griswold Care Center AL,Assisted Living Programs,Active,Griswold,106 Harrison Street,,730,24,3/30/04,3/30/22,3/30/20,24,,,S0188,Units,20,Cass,Iowa,51535-8042,Sherry  Butler /,(712) 778-2534,(712) 778-2675,,,38,FALSE,FALSE,FALSE,FALSE
Halcyon House,Residential Care Facilities,Closed,Washington,1015 South Iowa Avenue,cmarshall@wesleyservices.org,365,12,,1/16/18,1/16/17,30,,,920323,Beds,7,Washington,Iowa,52353-1199,CHRIS MARSHALL / 02142,(319) 653-7264,(319) 653-8383,,4/6/17,57,FALSE,FALSE,FALSE,FALSE
Halcyon House - Sitler Center For Helpful Living,Assisted Living Programs,Active,Washington,1015 South Iowa Avenue,,730,24,9/28/18,9/27/22,9/27/20,24,,,S0392,Units,18,Washington,Iowa,52353,Becky Yoder /,(319) 653-7264,(319) 653-8383,,,32,FALSE,FALSE,FALSE,FALSE
"Hammond Center, LLC",Assisted Living Programs,Active,Grinnell,907 Orchard Drive,,730,24,2/19/19,2/18/23,2/18/21,24,,,S0402,Units,38,Poweshiek,Iowa,50112,Sammi Bryan /,(641) 269-5454,(641) 236-8035,,,22,FALSE,FALSE,FALSE,FALSE
Handicapped Development Center #7,Residential Care Facilities,Active,Davenport,4109 White Pines Drive,keyandraharrington@hdcmail.org,365,12,3/2/88,3/2/22,3/2/21,30,894451,,820465,Beds,8,Scott,Iowa,52804-0000,KEYANDRA HARRINGTON /,(563) 391-4834,(563) 391-5136,,,27,FALSE,FALSE,FALSE,FALSE
Handicapped Development Center #8,Residential Care Facilities,Active,Davenport,3518 Hillandale Road,lindagill@hdcmail.org,365,12,3/7/88,3/7/22,3/7/21,30,894469,,820466,Beds,8,Scott,Iowa,52806-0000,LINDA GILL /,(563) 391-4834,(563) 391-5136,,,27,FALSE,FALSE,FALSE,FALSE
Handicapped Development Center #9,Residential Care Facilities,Active,Davenport,1815 West 59th Street,lindagill@hdcmail.org,365,12,3/7/88,3/7/22,3/7/21,30,894477,,820467,Beds,8,Scott,Iowa,52806-0000,LINDA GILL /,(563) 391-4834,(563) 391-5136,,,27,FALSE,FALSE,FALSE,FALSE
Hartley Senior Wellness Center,Residential Care Facilities,Closed,Hartley,611 Third Street Ne,cmhc@tcaexpress.net,365,12,10/1/88,10/1/08,10/2/07,30,894717,,710023,Beds,19,O'Brien,Iowa,51346-8010,JEANNIE  BUNGE / 1868,(712) 728-2231,(712) 728-2429,,10/1/08,167,FALSE,FALSE,FALSE,FALSE
Hazel House,Residential Care Facilities,Closed,Ames,124 South Hazel Avenue,"mfoster@optimaelifeservices.com; 
 jbarber@optimaelifeservices.com",365,12,,5/1/16,5/2/15,30,895425,,850670,Beds,8,Story,Iowa,50010-5952,ED BIEBEL /,(515) 956-2600,(515) 956-2601,,6/1/18,46,FALSE,FALSE,FALSE,FALSE
Heartland Care Center,Assisted Living Programs,Active,Marcus,604 E. Fenton,,730,24,6/11/98,6/9/22,6/9/20,24,,,S0014,Units,21,Cherokee,Iowa,51035-7170,Kody Nelson /,(712) 376-2500,(712) 376-2512,,,28,FALSE,FALSE,FALSE,FALSE
Heartland Care Ctr AL,Assisted Living Programs,Closed,Marcus,604 East Fenton,,730,24,6/11/98,,,24,,,S0014,Beds,21,Cherokee,Iowa,51035-0000,LuAnn  Rogge /,(712) 376-2500,(712) 376-2512,,2/8/05,,FALSE,FALSE,FALSE,FALSE
Heartwood Heights,Assisted Living Programs,Active,Sibley,409 9th Ave North,,730,24,12/7/00,12/6/22,12/6/20,24,,,S0101,Units,44,Osceola,Iowa,51249-0000,Sarah Loerts /,(712) 754-3009,(712) 754-3782,,,21,FALSE,FALSE,FALSE,FALSE
Heritage At Fox Run Assisted Living,Assisted Living Programs,Active,Council Bluffs,3121 Macineery Drive,,730,24,7/1/04,6/30/22,6/30/20,24,,,S0193,Units,132,Pottawattamie,Iowa,51501,Don Ridder /,(712) 256-2741,(712) 256-7609,,,3,FALSE,FALSE,FALSE,FALSE
Heritage House,Assisted Living Programs,Active,Atlantic,1200 Brookridge Cir,,730,24,7/15/99,7/14/21,7/15/19,24,,,S0055,Units,108,Cass,Iowa,50022-2304,Peter Gray /,(712) 243-1850,(712) 243-3418,,,19,FALSE,FALSE,FALSE,FALSE
Heritage House,Residential Care Facilities,Closed,Atlantic,1200 Brookridge Circle,,365,12,,1/14/08,1/14/07,30,890301,,150075,Beds,15,Cass,Iowa,50022-2351,ROBERT JOHANNSEN / 2207,(712) 243-1850,(712) 243-3418,,1/30/09,167,FALSE,FALSE,FALSE,FALSE
Heritage House,Residential Care Facilities,Closed,Malvern,103 Third Street,,365,12,6/24/76,12/4/05,12/4/04,30,890939,,650302,Beds,25,Mills,Iowa,51551-0060,TRICIA  WERNER /,(712) 624-8000,() -,,4/22/05,205,FALSE,FALSE,FALSE,FALSE
Heritage Residence,Residential Care Facilities,Active,New Hampton,2275 South Linn Avenue Po Box  110,,365,12,8/1/87,8/1/21,8/1/20,30,894162,,190405,Beds,16,Chickasaw,Iowa,50659-0110,LAURA PEYTON /,(641) 394-2391,(641) 394-5753,,,4,FALSE,FALSE,FALSE,FALSE
Highland Park Care Center,Residential Care Facilities,Closed,Des Moines,3620 Fourth Street,,365,12,1/1/99,,,30,892760,,770897,Beds,15,Polk,Iowa,50313-4343,SHARON  CHRISTY /,(515) 243-2150,() -,,9/1/98,,FALSE,FALSE,FALSE,FALSE
Highland Place,Residential Care Facilities,Closed,Ottumwa,13011 120th Avenue,deb.lang@hillcrest-fs.org; jim.mcdaniel@hillcrest-fs.org; carol.allman@hillcrest-fs.org,365,12,7/1/01,7/1/15,7/1/14,30,896589,,900434,Beds,31,Wapello,Iowa,52501-8662,DEB LANG /,(641) 684-6692,(641) 684-7691,,10/31/14,91,FALSE,FALSE,FALSE,FALSE
