Facility Name,State Facility Type 1 Literal,License Number,State Facility Type 2 Literal,Address,State,County,Phone Number,Capacity,Date Accessed
Divinity Homecare,RESIDENTIAL FACILITY FOR GROUPS,8483-AGC-5,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,3944 KENTWOOD COURT RENO NV 89503,NV,Washoe,775-384-6812,7,6/29/21
Duncan Manor Group Home,RESIDENTIAL FACILITY FOR GROUPS,158-AGC-34,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",6165 DUNCAN DRIVE LAS VEGAS NV 89108,NV,Clark,702-396-4663,9,6/29/21
Eagle Valley Care Centre,RESIDENTIAL FACILITY FOR GROUPS,160-AGC-31,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,1807 E LONG STREET CARSON CITY NV 89701,NV,Carson City,775-883-4449,38,6/29/21
Elkhorn Jones Memory Care Llc,RESIDENTIAL FACILITY FOR GROUPS,8700-AGC-4,ALZHEIMER DISEASE,6017 ELKHORN ROAD LAS VEGAS NV 89131,NV,Clark,702-247-7788,24,6/29/21
Embry Ridge Senior Care Llc,RESIDENTIAL FACILITY FOR GROUPS,10339-AGC-0,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",5313 PADUA WAY LAS VEGAS NV 89107,NV,Clark,702-258-1669,7,6/29/21
European Home Care,RESIDENTIAL FACILITY FOR GROUPS,6035-AGC-10,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3212 EL CAMINO RD LAS VEGAS NV 89146,NV,Clark,714-797-9927,10,6/29/21
European Seniors Living Llc,RESIDENTIAL FACILITY FOR GROUPS,7722-AGC-10,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3045 S. MONTE CRISTO WAY LAS VEGAS NV 89117,NV,Clark,702-906-1284,10,6/29/21
Evergreen Living Llc,RESIDENTIAL FACILITY FOR GROUPS,9560-AGC-2,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",7481 ROME BLVD LAS VEGAS NV 89131,NV,Clark,702-982-1753,10,6/29/21
Evergreen Residence,RESIDENTIAL FACILITY FOR GROUPS,3275-AGC-23,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1305 KINGS COURT RENO NV 89503,NV,Washoe,775-787-9520,8,6/29/21
Everlasting Senior Care,RESIDENTIAL FACILITY FOR GROUPS,8615-AGC-5,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2117 CALIFORNIA ST CARSON CITY NV 89701,NV,Carson City,775-530-7882,6,6/29/21
Fairway Residential Care Home,RESIDENTIAL FACILITY FOR GROUPS,330-AGC-33,ALZHEIMER DISEASE,3817 FAIRWAY CIRCLE LAS VEGAS NV 89108,NV,Clark,702-646-9224,10,6/29/21
Faith & Hope Home Care Llc,RESIDENTIAL FACILITY FOR GROUPS,8827-AGC-3,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,973 LEPORI WAY SPARKS NV 89431-1165,NV,Washoe,775-250-0431,8,6/29/21
Family Home Care Rhl,RESIDENTIAL FACILITY FOR GROUPS,168-AGC-31,"CHRONIC ILLNESS, MENTAL ILLNESS",975 CORDONE AVENUE RENO NV 89502,NV,Washoe,775-324-2708,9,6/29/21
Fernley Estates,RESIDENTIAL FACILITY FOR GROUPS,7766-AGC-8,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1130 CHISHOLM TRAIL FERNLEY NV 89408,NV,Lyon,775-372-8625,72,6/29/21
Five Star Premier Residences Of Reno,RESIDENTIAL FACILITY FOR GROUPS,116-AGC-36,"ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3201 PLUMAS STREET RENO NV 89509,NV,Washoe,775-829-1050,41,6/29/21
Florence Senior Care Home,RESIDENTIAL FACILITY FOR GROUPS,2699-AGC-26,ALZHEIMER DISEASE,2338 FLORENCE AVENUE LAS VEGAS NV 89119,NV,Clark,702-798-0711,7,6/29/21
Forever Living Residence Home Care Llc,RESIDENTIAL FACILITY FOR GROUPS,7507-AGC-10,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1608 AZTEC WAY LAS VEGAS NV 89169,NV,Clark,702-331-1695,6,6/29/21
Forget Me Not Home Care I,RESIDENTIAL FACILITY FOR GROUPS,409-AGC-40,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",5513 FLORA SPRAY ST LAS VEGAS NV 89130,NV,Clark,702-461-5862,7,6/29/21
Garden Breeze Alzheimer Villa,RESIDENTIAL FACILITY FOR GROUPS,4959-AGC-14,ALZHEIMER DISEASE,950 GARDEN BREEZE WAY LAS VEGAS NV 89123,NV,Clark,702-616-2489,8,6/29/21
Gentle Breeze Care Home,RESIDENTIAL FACILITY FOR GROUPS,7915-AGC-10,"CHRONIC ILLNESS, MENTAL ILLNESS",6862 BAILE RD LAS VEGAS NV 89146,NV,Clark,702-816-4591,10,6/29/21
Gentle Spring Care Home,RESIDENTIAL FACILITY FOR GROUPS,4009-AGC-25,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",6418 SPRING MEADOW DRIVE LAS VEGAS NV 89103,NV,Clark,702-478-5997,10,6/29/21
Glenda Care,RESIDENTIAL FACILITY FOR GROUPS,9070-AGC-2,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,1235 GLENDA WAY RENO NV 89509,NV,Washoe,775-828-2157,30,6/29/21
Golden Heart Group Home Care I,RESIDENTIAL FACILITY FOR GROUPS,9415-AGC-2,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3413 ALPLAND LANE SPARKS NV 89434,NV,Washoe,775-626-2909,7,6/29/21
Golden Heart Group Home Care Ii,RESIDENTIAL FACILITY FOR GROUPS,9836-AGC-1,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3990 LAKESIDE DRIVE RENO NV 89509,NV,Washoe,775-453-2085,10,6/29/21
Golden Lake Care Home,RESIDENTIAL FACILITY FOR GROUPS,7557-AGC-11,"CHRONIC ILLNESS, MENTAL ILLNESS",9719 TUMBLE LAKE COURT LAS VEGAS NV 89147,NV,Clark,702-471-0221,10,6/29/21
Golden Manor,RESIDENTIAL FACILITY FOR GROUPS,6389-AGC-12,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,416 SYSONBY CT RENO NV 89521,NV,Washoe,775-762-2162,6,6/29/21
Golden Meadows Residential,RESIDENTIAL FACILITY FOR GROUPS,3382-AGC-23,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4119 MEADOWGLEN CIRCLE LAS VEGAS NV 89121,NV,Clark,702-434-7040,10,6/29/21
Golden Rose Home,RESIDENTIAL FACILITY FOR GROUPS,9832-AGC-0,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",8055 OPAL STATION DRIVE RENO NV 89506,NV,Washoe,775-440-4097,9,6/29/21
Golden Sunshine Home,RESIDENTIAL FACILITY FOR GROUPS,5460-AGC-16,"ALZHEIMER DISEASE, CHRONIC ILLNESS",8333 JEREMIAH LODGE AVENUE LAS VEGAS NV 89131,NV,Clark,702-845-3974,10,6/29/21
Golden Valley Group Care,RESIDENTIAL FACILITY FOR GROUPS,205-AGC-31,MENTAL ILLNESS,2690 MARGARET DRIVE RENO NV 89506,NV,Washoe,775-972-6318,10,6/29/21
Golden Valley Group Care Ii,RESIDENTIAL FACILITY FOR GROUPS,1796-AGC-31,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1140 MANHATTAN STREET RENO NV 89512,NV,Washoe,775-688-8035,10,6/29/21
Golden Villa Care Home,RESIDENTIAL FACILITY FOR GROUPS,6414-AGC-14,"CHRONIC ILLNESS, MENTAL ILLNESS",1505 DUNEVILLE ST LAS VEGAS NV 89146,NV,Clark,702-998-6185,10,6/29/21
Golden Years Castle 2,RESIDENTIAL FACILITY FOR GROUPS,5231-AGC-16,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",5175 SLEEPY HOLLOW DR RENO NV 89502,NV,Washoe,775-857-4447,10,6/29/21
Golden Years Castle Home Care,RESIDENTIAL FACILITY FOR GROUPS,3867-AGC-22,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,2060 ARCANE AVE RENO NV 89503,NV,Washoe,775-747-7171,8,6/29/21
Golden Years Castle Home Of Fernley,RESIDENTIAL FACILITY FOR GROUPS,9431-AGC-2,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",575 FARM DISTRICT ROAD FERNLEY NV 89408,NV,Lyon,775-575-9200,16,6/29/21
Golden Years Castle Home Of Lovelock,RESIDENTIAL FACILITY FOR GROUPS,9432-AGC-2,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,685 AMHERST AVENUE LOVELOCK NV 89419,NV,Pershing,775-240-9305,10,6/29/21
Golden Years Memory Care Llc,RESIDENTIAL FACILITY FOR GROUPS,9883-AGC-1,"CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",8920 LOGGERS MILL AVE LAS VEGAS NV 89143,NV,Clark,702-202-6475,8,6/29/21
Golden Years Residential Care Llc,RESIDENTIAL FACILITY FOR GROUPS,9328-AGC-2,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",6990 EDNA AVE LAS VEGAS NV 89117,NV,Clark,702-901-9281,10,6/29/21
Good Samaritan Group Home Inc,RESIDENTIAL FACILITY FOR GROUPS,4876-AGC-19,ALZHEIMER DISEASE,3696 S PECOS ROAD LAS VEGAS NV 89121,NV,Clark,702-463-3653,10,6/29/21
Grace Of Monaco - Section 10,RESIDENTIAL FACILITY FOR GROUPS,6261-AGC-11,ALZHEIMER DISEASE,7460 PALMYRA AVE LAS VEGAS NV 89117,NV,Clark,702-522-7741,10,6/29/21
Grace Of Monaco Angel Park,RESIDENTIAL FACILITY FOR GROUPS,4367-AGC-22,ALZHEIMER DISEASE,8617 HIGHLANDVIEW AVE LAS VEGAS NV 89145,NV,Clark,702-360-5003,6,6/29/21
Graceful Living,RESIDENTIAL FACILITY FOR GROUPS,7914-AGC-9,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,2690 TRAIL RIDER DRIVE RENO NV 89521,NV,Washoe,775-971-4421,8,6/29/21
Grandmothers Crib,RESIDENTIAL FACILITY FOR GROUPS,5703-AGC-17,MENTAL ILLNESS,700 SIENNA STATION WAY RENO NV 89512,NV,Washoe,775-470-5131,6,6/29/21
Hacienda Hill Manor,RESIDENTIAL FACILITY FOR GROUPS,3643-AGC-17,ALZHEIMER DISEASE,5544 SURREY STREET LAS VEGAS NV 89119,NV,Clark,702-597-4697,6,6/29/21
Happy Adult Care,RESIDENTIAL FACILITY FOR GROUPS,2406-AGC-34,ALZHEIMER DISEASE,1905 QUAIL POINT COURT LAS VEGAS NV 89117,NV,Clark,702-838-6388,6,6/29/21
Happy Adult Care Ii,RESIDENTIAL FACILITY FOR GROUPS,5564-AGC-15,ALZHEIMER DISEASE,2021 SEDONA MORNING DR LAS VEGAS NV 89128,NV,Clark,702-638-2888,6,6/29/21
Hastings House,RESIDENTIAL FACILITY FOR GROUPS,7545-AGC-9,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES",3253 HASTINGS AVENUE LAS VEGAS NV 89107,NV,Clark,702-821-0823,8,6/29/21
Havenbrook,RESIDENTIAL FACILITY FOR GROUPS,10081-AGC-1,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",7711 FOREDAWN DRIVE LAS VEGAS NV 89123,NV,Clark,702-802-8680,10,6/29/21
Health Life Llc,RESIDENTIAL FACILITY FOR GROUPS,110-AGC-33,ALZHEIMER DISEASE,5220 RANCHER AVE LAS VEGAS NV 89108,NV,Clark,702-515-1393,8,6/29/21
Healthy Home Care,RESIDENTIAL FACILITY FOR GROUPS,364-AGC-32,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1812 STARBUCK DRIVE LAS VEGAS NV 89108,NV,Clark,702-269-8217,8,6/29/21
Heart To Heart,RESIDENTIAL FACILITY FOR GROUPS,7558-AGC-9,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,201 RHODES ROAD RENO NV 89511,NV,Washoe,775-720-4603,7,6/29/21
Helping Hands Care Home,RESIDENTIAL FACILITY FOR GROUPS,3675-AGC-29,ALZHEIMER DISEASE,2757 GALLANT HILLS DRIVE LAS VEGAS NV 89135,NV,Clark,702-324-0314,6,6/29/21
Helping Hands Care Home Ii,RESIDENTIAL FACILITY FOR GROUPS,6262-AGC-13,"ALZHEIMER DISEASE, CHRONIC ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",11745 STONEWALL SPRINGS AVE LAS VEGAS NV 89138,NV,Clark,702-445-0088,10,6/29/21
Henderson Care Home,RESIDENTIAL FACILITY FOR GROUPS,9981-AGC-1,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",609 CADENCE VISTA DRIVE HENDERSON NV 89011,NV,Clark,725-735-6911,10,6/29/21
Heritage Springs Assisted Living & Memory Care,RESIDENTIAL FACILITY FOR GROUPS,9830-AGC-1,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",8720 W FLAMINGO RD LAS VEGAS NV 89147,NV,Clark,702-360-6023,127,6/29/21
Highland Inn Of Elko,RESIDENTIAL FACILITY FOR GROUPS,5654-AGC-16,"ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2850 RUBY VISTA DR ELKO NV 89801,NV,Elko,775-753-3727,57,6/29/21
Highland Inn Of Fallon,RESIDENTIAL FACILITY FOR GROUPS,5653-AGC-16,"ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",550 N SHERMAN ST FALLON NV 89406,NV,Churchill,775-423-7800,37,6/29/21
Hillside Manor At Mountains Edge,RESIDENTIAL FACILITY FOR GROUPS,5316-AGC-20,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",9651 TRATTORIA ST LAS VEGAS NV 89178,NV,Clark,702-485-1876,9,6/29/21
Holy Angel Care Home I,RESIDENTIAL FACILITY FOR GROUPS,8156-AGC-9,ALZHEIMER DISEASE,1517 GENTLE BROOK STREET N. LAS VEGAS NV 89084,NV,Clark,702-443-1964,10,6/29/21
Holy Child Residential Care Home,RESIDENTIAL FACILITY FOR GROUPS,3879-AGC-21,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,2225 JESTER COURT RENO NV 89503,NV,Washoe,775-787-2100,6,6/29/21
Holy Child Residential Care Iv,RESIDENTIAL FACILITY FOR GROUPS,4582-AGC-17,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,5825 TAPPAN DRIVE RENO NV 89523,NV,Washoe,775-746-8181,5,6/29/21
Holy Family Home Care,RESIDENTIAL FACILITY FOR GROUPS,3658-AGC-26,MENTAL ILLNESS,3235 DELNA DRIVE SPARKS NV 89431,NV,Washoe,775-815-3768,8,6/29/21
Honeybee Home,RESIDENTIAL FACILITY FOR GROUPS,2769-AGC-25,CHRONIC ILLNESS,1821 E AMBUSH ST PAHRUMP NV 89041,NV,Nye,775-751-3611,10,6/29/21
Horizon Hills Residential Group Care I,RESIDENTIAL FACILITY FOR GROUPS,119-AGC-30,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",8115 MOHAWK LANE RENO NV 89506,NV,Washoe,775-750-0006,8,6/29/21
House Of Grace,RESIDENTIAL FACILITY FOR GROUPS,4185-AGC-17,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",7017 CARMEN BLVD LAS VEGAS NV 89128,NV,Clark,702-240-8555,20,6/29/21
In Touch Residential Care I,RESIDENTIAL FACILITY FOR GROUPS,2724-AGC-26,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4131 SATINWOOD DR LAS VEGAS NV 89147,NV,Clark,702-362-1970,7,6/29/21
In Touch Residential Care Ii,RESIDENTIAL FACILITY FOR GROUPS,3730-AGC-21,"CHRONIC ILLNESS, MENTAL ILLNESS",7457 WALNUT CREEK DRIVE LAS VEGAS NV 89147,NV,Clark,702-876-7783,8,6/29/21
Infinite Care,RESIDENTIAL FACILITY FOR GROUPS,5704-AGC-16,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES",3821 TOPAZ ST LAS VEGAS NV 89121,NV,Clark,702-722-2896,10,6/29/21
Inspirations Senior Living In Pahrump,RESIDENTIAL FACILITY FOR GROUPS,7556-AGC-14,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",931 HONEYSUCKLE STREET PAHRUMP NV 89048,NV,Nye,775-751-2300,78,6/29/21
Jcr Home Care Inc,RESIDENTIAL FACILITY FOR GROUPS,4093-AGC-21,ALZHEIMER DISEASE,7160 DARBY AVE LAS VEGAS NV 89117,NV,Clark,702-453-3861,10,6/29/21
Johnny Angel'S Care Home,RESIDENTIAL FACILITY FOR GROUPS,8983-AGC-3,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",4460 MARLENA CIRCLE LAS VEGAS NV 89108,NV,Clark,702-636-1140,10,6/29/21
Johnson Group Care #1,RESIDENTIAL FACILITY FOR GROUPS,240-AGC-24,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1895 CARVILLE DR RENO NV 89512,NV,Washoe,775-786-5359,6,6/29/21
Johnson Group Care #2,RESIDENTIAL FACILITY FOR GROUPS,241-AGC-25,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1240 E 10TH STREET RENO NV 89512,NV,Washoe,775-322-1024,9,6/29/21
Joyful Senior Care,RESIDENTIAL FACILITY FOR GROUPS,2973-AGC-23,ALZHEIMER DISEASE,5408 TOPAZ STREET LAS VEGAS NV 89120,NV,Clark,702-433-3735,10,6/29/21
Joyful Senior Care Haven 2,RESIDENTIAL FACILITY FOR GROUPS,3888-AGC-18,ALZHEIMER DISEASE,4353 JODI AVE LAS VEGAS NV 89120,NV,Clark,702-433-3735,10,6/29/21
Jtm Group Home,RESIDENTIAL FACILITY FOR GROUPS,4564-AGC-18,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,1435 AKARD DRIVE RENO NV 89503,NV,Washoe,775-747-1433,8,6/29/21
Kind Hearts Care Home Llc,RESIDENTIAL FACILITY FOR GROUPS,8720-AGC-4,ALZHEIMER DISEASE,386 SEVERN CT HENDERSON NV 89002,NV,Clark,702-629-3594,7,6/29/21
Kings Row Residence,RESIDENTIAL FACILITY FOR GROUPS,9409-AGC-2,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,1254 SAINT ALBERTS DR RENO NV 89503,NV,Washoe,775-746-4419,10,6/29/21
Krystons Home Care,RESIDENTIAL FACILITY FOR GROUPS,3266-AGC-24,"CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",881 W GOLDEN VALLEY ROAD RENO NV 89506,NV,Washoe,775-972-1414,6,6/29/21
Krystons Home Care Ii,RESIDENTIAL FACILITY FOR GROUPS,3659-AGC-22,"MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES",7990 ZINFANDEL DRIVE RENO NV 89506,NV,Washoe,775-772-3452,6,6/29/21
L & J Group Homecare,RESIDENTIAL FACILITY FOR GROUPS,4409-AGC-19,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1604 WILDWOOD DRIVE LAS VEGAS NV 89108,NV,Clark,702-331-5482,10,6/29/21
L & N Home Care,RESIDENTIAL FACILITY FOR GROUPS,253-AGC-31,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,3995 BELMORE WAY RENO NV 89503,NV,Washoe,775-747-4286,8,6/29/21
La Mansion,RESIDENTIAL FACILITY FOR GROUPS,9050-AGC-1,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",5930 NORTH EL CAPITAN WAY LAS VEGAS NV 89149,NV,Clark,702-525-1708,10,6/29/21
Lake Mead Care Home,RESIDENTIAL FACILITY FOR GROUPS,4101-AGC-18,MENTAL ILLNESS,4325 W LAKE MEAD BLVD LAS VEGAS NV 89108-2849,NV,Clark,702-339-6727,6,6/29/21
Lakeview Terrace Retirement Community,RESIDENTIAL FACILITY FOR GROUPS,5567-AGC-18,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",180 VILLE DRIVE BOULDER CITY NV 89005,NV,Clark,702-293-0181,86,6/29/21
Lanikeha Residential,RESIDENTIAL FACILITY FOR GROUPS,10193-AGC-0,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",465 EAST ROBINDALE ROAD LAS VEGAS NV 89123,NV,Clark,714-363-2060,10,6/29/21
Las Vegas Alzheimer & Memory Care 2,RESIDENTIAL FACILITY FOR GROUPS,129-AGC-30,ALZHEIMER DISEASE,3225 BRAZOS STREET LAS VEGAS NV 89169,NV,Clark,702-471-7204,10,6/29/21
Las Vegas Alzheimers & Memory Care 1,RESIDENTIAL FACILITY FOR GROUPS,1970-AGC-30,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3224 BRAZOS STREET LAS VEGAS NV 89169,NV,Clark,702-737-4396,10,6/29/21
Las Vegas Chateau For Seniors,RESIDENTIAL FACILITY FOR GROUPS,7213-AGC-12,"ALZHEIMER DISEASE, MENTAL ILLNESS",4175 N TOMSIK ST LAS VEGAS NV 89129,NV,Clark,702-478-8825,10,6/29/21
Las Vegas Group Home Llc,RESIDENTIAL FACILITY FOR GROUPS,9577-AGC-2,"ALZHEIMER DISEASE, CHRONIC ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1680 SOMBRERO DRIVE LAS VEGAS NV 89169,NV,Clark,702-449-0122,9,6/29/21
Las Ventanas Retirement Comm,RESIDENTIAL FACILITY FOR GROUPS,4000-AGC-26,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",10401 WEST CHARLESTON LAS VEGAS NV 89135,NV,Clark,702-207-4215,76,6/29/21
"Laurelwood Group Home Ii,Llc",RESIDENTIAL FACILITY FOR GROUPS,8761-AGC-4,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,6565 MINTON CT LAS VEGAS NV 89103,NV,Clark,702-580-5123,10,6/29/21
Laurelwood Group Home Llc,RESIDENTIAL FACILITY FOR GROUPS,4240-AGC-18,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,4752 TORRENCE DRIVE LAS VEGAS NV 89103,NV,Clark,702-876-4224,10,6/29/21
Legacies Memory Care At San Martin,RESIDENTIAL FACILITY FOR GROUPS,9548-AGC-2,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",7230 GAGNIER BOULEVARD LAS VEGAS NV 89113,NV,Clark,702-263-6313,50,6/29/21
Legacy House Of Centennial Hills,RESIDENTIAL FACILITY FOR GROUPS,8726-AGC-4,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",6310 N. DURANGO DRIVE LAS VEGAS NV 89149,NV,Clark,702-239-6778,136,6/29/21
Legacy House Of Southern Hills,RESIDENTIAL FACILITY FOR GROUPS,9018-AGC-2,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",9750 W. SUNSET ROAD LAS VEGAS NV 89148,NV,Clark,702-978-5000,158,6/29/21
Liberty Residential Care,RESIDENTIAL FACILITY FOR GROUPS,1955-AGC-28,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3060 LIBERTY CIRCLE SOUTH LAS VEGAS NV 89121,NV,Clark,702-457-7775,10,6/29/21
Life Share Care Home Nevada Inc,RESIDENTIAL FACILITY FOR GROUPS,6087-AGC-12,"CHRONIC ILLNESS, MENTAL ILLNESS",7925 W ROSADA WAY LAS VEGAS NV 89149,NV,Clark,408-854-0735,10,6/29/21
Limestoneshire Llc,RESIDENTIAL FACILITY FOR GROUPS,4952-AGC-19,MENTAL ILLNESS,7474 LIMESTONE DRIVE RENO NV 89511,NV,Washoe,775-852-5870,8,6/29/21
Little Angel Care Home,RESIDENTIAL FACILITY FOR GROUPS,4740-AGC-16,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1436 HEAVEN DRIVE SPARKS NV 89436,NV,Washoe,775-626-8103,5,6/29/21
Little Angel Care Home Llc,RESIDENTIAL FACILITY FOR GROUPS,178-AGC-28,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2570 KEYSTONE AVE RENO NV 89503,NV,Washoe,775-746-8027,5,6/29/21
Live N Love,RESIDENTIAL FACILITY FOR GROUPS,7386-AGC-11,"CHRONIC ILLNESS, MENTAL ILLNESS",4850 ARIZONA AVENUE LAS VEGAS NV 89104,NV,Clark,702-756-5909,9,6/29/21
